book_name,page_ref,line_index,hebrew_text,human_translation,llm_translation,bleu_score,ter_score,cosine_similarity_score,human_sentiment_compound,llm_sentiment_compound,human_sentiment_neg,human_sentiment_neu,human_sentiment_pos,llm_sentiment_neg,llm_sentiment_neu,llm_sentiment_pos
Bava_Metzia,2a,1,"שְׁנַיִם אוֹחֲזִין בְּטַלִּית, זֶה אוֹמֵר: ״אֲנִי מְצָאתִיהָ״, וְזֶה אוֹמֵר: ״אֲנִי מְצָאתִיהָ״. זֶה אוֹמֵר: ״כּוּלָּהּ שֶׁלִּי״, וְזֶה אוֹמֵר: ״כּוּלָּהּ שֶׁלִּי״. זֶה יִשָּׁבַע שֶׁאֵין לוֹ בָּהּ פָּחוֹת מֵחֶצְיָהּ, וְזֶה יִשָּׁבַע שֶׁאֵין לוֹ בָּהּ פָּחוֹת מֵחֶצְיָהּ – וְיַחְלוֹקוּ.","two holding a garment, this says: I found it, and that says: I found it; this says: All of it is mine, and that says: All of it is mine; This takes an oath that he does not have less than half of it, and that takes an oath that he does not have less than half of it, and they divide","Two people holding onto a garment, one says, ""I found it,"" and the other says, ""I found it."" One says, ""It is all mine,"" and the other says, ""It is all mine."" One swears that there is not less than half of it in his possession, and the other swears that there is not less than half of it in his possession - and they shall divide it.",16.4059,74.1935,0.6638,0.0,0.1027,0.0,1.0,0.0,0.0,0.964,0.036
Bava_Metzia,2a,2,"זֶה אוֹמֵר: ״כּוּלָּהּ שֶׁלִּי״, וְזֶה אוֹמֵר: ״חֶצְיָהּ שֶׁלִּי״, הָאוֹמֵר כּוּלָּהּ שֶׁלִּי – יִשָּׁבַע שֶׁאֵין לוֹ בָּהּ פָּחוֹת מִשְּׁלֹשָׁה חֲלָקִים, וְהָאוֹמֵר חֶצְיָהּ שֶׁלִּי – יִשָּׁבַע שֶׁאֵין לוֹ בָּהּ פָּחוֹת מֵרְבִיעַ. זֶה נוֹטֵל שְׁלֹשָׁה חֲלָקִים, וְזֶה נוֹטֵל רְבִיעַ.","this says: All of it is mine, and that says: Half of it is mine, the one who says: All of it is mine, takes an oath that he does not have less than three parts, of it, and the one who says: Half of it is mine, takes an oath that he does not have less than one-quarter of it. This takes three parts, and that takes one-quarter.","This one says: ""It is all mine,"" and this one says: ""Half of it is mine."" One who says, ""It is all mine"" - he must swear that he does not have less than three parts of it, and one who says, ""Half of it is mine"" - he must swear that he does not have less than a quarter of it. This one takes three parts, and this one takes a quarter.",35.9134,50.7246,0.8974,0.0,-0.1027,0.0,1.0,0.0,0.035,0.965,0.0
Bava_Metzia,2a,3,"הָיוּ שְׁנַיִם רוֹכְבִין עַל גַּבֵּי בְּהֵמָה, אוֹ שֶׁהָיָה אֶחָד רוֹכֵב וְאֶחָד מַנְהִיג, זֶה אוֹמֵר: כּוּלָּהּ שֶׁלִּי, וְזֶה אוֹמֵר: כּוּלָּהּ שֶׁלִּי – זֶה יִשָּׁבַע שֶׁאֵין לוֹ בָּהּ פָּחוֹת מֵחֶצְיָהּ, וְזֶה יִשָּׁבַע שֶׁאֵין לוֹ בָּהּ פָּחוֹת מֵחֶצְיָהּ, וְיַחְלוֹקוּ.","two were sitting on an animal, or one was sitting and one was leading this says: All of it is mine, and that says: All of it is mine, This takes an oath that he does not have less than half of it, and that takes an oath that he does not have less than half of it, and they divide","Two were riding on the back of an animal, or if one was riding and one was leading, this one says: ""It is all mine,"" and this one says: ""It is all mine"" - this one must swear that he does not have less than half of it, and this one must swear that he does not have less than half of it, and they shall divide it.",39.2504,45.9016,0.7138,0.0,-0.1027,0.0,1.0,0.0,0.036,0.964,0.0
Bava_Metzia,2a,4,בִּזְמַן שֶׁהֵם מוֹדִים אוֹ שֶׁיֵּשׁ לָהֶן עֵדִים – חוֹלְקִין בְּלֹא שְׁבוּעָה.,"When they admit or when they have witnesses they divide without an oath,",At the time when they admit or when they have witnesses - they divide without an oath.,52.9203,38.4615,0.938,0.2023,0.2023,0.0,0.87,0.13,0.0,0.893,0.107
Bava_Metzia,2a,5,"גְּמָ׳ לְמָה לִי לְמִתְנָא זֶה אוֹמֵר אֲנִי מְצָאתִיהָ וְזֶה אוֹמֵר אֲנִי מְצָאתִיהָ, זֶה אוֹמֵר כּוּלָּהּ שֶׁלִּי וְזֶה אוֹמֵר כּוּלָּהּ שֶׁלִּי? לִיתְנֵי חֲדָא! חֲדָא קָתָנֵי: זֶה אוֹמֵר אֲנִי מְצָאתִיהָ וְכוּלָּהּ שֶׁלִּי, וְזֶה אוֹמֵר אֲנִי מְצָאתִיהָ וְכוּלָּהּ שֶׁלִּי.","Why do I to teach This says: I found it, and that says: I found it; This says: All of it is mine, and that says: All of it is mine? Let teach one it teaches one This says: I found it and all of it is mine, and that says: I found it and all of it is mine.","Gemara: Why do I need this Mishnah? One says, ""I found it,"" and the other says, ""I found it."" One says, ""It is all mine,"" and the other says, ""It is all mine?"" Let one of them concede! One concedes: One says, ""I found it, and it is all mine,"" and the other says, ""I found it, and it is all mine.""",11.7467,73.3333,0.8481,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Bava_Metzia,2a,6,"וְלִיתְנֵי ״אֲנִי מְצָאתִיהָ״, וַאֲנָא יָדַעְנָא דְּכוּלָּהּ שֶׁלִּי! אִי תְּנָא ״אֲנִי מְצָאתִיהָ״, הֲוָה אָמֵינָא: מַאי ״מְצָאתִיהָ״ – רְאִיתִיהָ. אַף עַל גַּב דְּלָא אֲתַאי לִידֵיהּ – בִּרְאִיָּה בְּעָלְמָא קָנֵי, תְּנָא: ״כּוּלָּהּ שֶׁלִּי״ – דְּבִרְאִיָּה לָא קָנֵי.","But let teach I found it, and I would know that All of it is mine. If would teach I found it, I would say what found it? saw it. even though it did not reach his possession, he acquired through mere sight. teaches All of it is mine, that does not acquire through sight","And it should have taught ""I found it,"" and I know that it is all mine! If it had taught ""I found it,"" I would have said: What is ""I found it"" - I saw it. Even though it did not come into her possession - seeing in the world is acquiring. It was taught: ""It is all mine"" - verbal declaration does not acquire.",14.0483,80.0,0.5514,-0.0286,0.0,0.022,0.978,0.0,0.0,1.0,0.0
Bava_Metzia,2a,7,"וּמִי מָצֵית אָמְרַתְּ מַאי ״מְצָאתִיהָ״ – רְאִיתִיהָ, וְהָא אָמַר רַבְנַאי ״וּמְצָאתָהּ״ – דַּאֲתַאי לִידֵיהּ מַשְׁמַע.","But how can you say what found it, saw it? But didn’t Rabbenai say “and you have found it” indicates that it came into his possession?","""And who found you say what 'I have found her' - you saw her, and this is what Rabnai said 'and you found her' - that it came to his hands meaning.""",8.2345,80.7692,0.4223,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Bava_Metzia,2a,8,"אִין ״וּמְצָאתָהּ״ דִּקְרָא – דַּאֲתָא לִידֵיהּ מַשְׁמַע, וּמִיהוּ תַּנָּא לִישָּׁנָא דְעָלְמָא נָקֵט, וּמִדְּחָזֵי לֵיהּ אָמַר: אֲנָא אַשְׁכַּחִית, וְאַף עַל גַּב דְּלָא אֲתַאי לִידֵיהּ בִּרְאִיָּה בְּעָלְמָא קָנֵי, תָּנֵי: ״כּוּלָּהּ שֶׁלִּי״ – דְּבִרְאִיָּה בְּעָלְמָא לָא קָנֵי לַהּ.","Indeed, “and you have found it” in the verse indicates that it came into his possession. But tanna employed colloquial language once sees he says: I found it, even if it did not come into his possession, he acquired through mere sight. teaches All of it is mine, that does not acquire through sight","The term ""and you shall find it"" in the verse - it implies that it comes to his hand, but if he taught it to someone else in the world, and he sees it, he says: I have found it, and even though it did not come to his hand in actual possession in the world, he teaches: ""It is all mine"" - in actual possession in the world, it does not acquire it for him.",10.7308,96.2963,0.3777,0.0,0.7506,0.0,1.0,0.0,0.0,0.917,0.083
Bava_Metzia,2a,9,"וְלִיתְנֵי ״כּוּלָּהּ שֶׁלִּי״ וְלָא בָּעֵי ״אֲנִי מְצָאתִיהָ״! אִי תָּנֵי ״כּוּלָּהּ שֶׁלִּי״ הֲוָה אָמֵינָא: בְּעָלְמָא דְּקָתָנֵי ״מְצָאתִיהָ״ בִּרְאִיָּה בְּעָלְמָא קָנֵי, תְּנָא ״אֲנִי מְצָאתִיהָ״ וַהֲדַר תְּנָא ״כּוּלָּהּ שֶׁלִּי״ דְּמִמִּשְׁנָה יַתִּירָה אַשְׁמְעִינַן דִּרְאִיָּה לָא קָנֵי.","But let him teach All of it is mine, and not need I found it. If taught All of it is mine, I would say in general, when teaches found it, acquires through mere sight. taught found it, and then taught All of it is mine, as the superfluous mishna he teaches us that one does not acquire sight","The text reads as follows: ""And let him teach 'It is all mine' and not 'I have found it'! If he teaches 'It is all mine,' I would say: In the world where 'I have found it' is taught, acquisition is through sight; if a Tanna teaches 'I have found it,' and then another Tanna teaches 'It is all mine,' since it is an additional teaching from the Mishnah, we would hear that acquisition is not through sight.""",5.7025,94.9153,0.7218,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Bava_Metzia,2a,10,"וּמִי מָצֵית אָמְרַתְּ חֲדָא קָתָנֵי? וְהָא ״זֶה״ וְ״זֶה״ קָתָנֵי: ״זֶה אוֹמֵר אֲנִי מְצָאתִיהָ וְזֶה אוֹמֵר אֲנִי מְצָאתִיהָ, זֶה אוֹמֵר כּוּלָּהּ שֶׁלִּי״ וְכוּ׳.","But how can you say is teaching one But doesn’t teach: This and This This says: I found it, and that says: I found it; This says: All of it is mine,","And who found saying one Mishnah? And this ""this"" and ""this"" Mishnah: ""This one says I found it, and this one says I found it, this one says it is all mine"" and so on.",12.8384,78.125,0.6945,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
