book_name,page_ref,line_index,hebrew_text,human_translation,llm_translation,bleu_score,ter_score,cosine_similarity_score,human_sentiment_compound,llm_sentiment_compound,human_sentiment_neg,human_sentiment_neu,human_sentiment_pos,llm_sentiment_neg,llm_sentiment_neu,llm_sentiment_pos
Beitzah,2a,1,"בֵּיצָה שֶׁנּוֹלְדָה בְּיוֹם טוֹב, בֵּית שַׁמַּאי אוֹמְרִים: תֵּאָכֵל, וּבֵית הִלֵּל אוֹמְרִים: לֹא תֵּאָכֵל. בֵּית שַׁמַּאי אוֹמְרִים: שְׂאוֹר בְּכַזַּיִת וְחָמֵץ בְּכַכּוֹתֶבֶת, וּבֵית הִלֵּל אוֹמְרִים: זֶה וְזֶה בְּכַזַּיִת.","an egg that was laid on a Festival Beit Shammai say: It may be eaten and Beit Hillel say: It may not be eaten, Beit Shammai say: Leaven, of an olive-bulk. leavened bread of a large date-bulk. And Beit Hillel say: this and that, of an olive-bulk.","Egg that was laid on a festival, Beit Shammai says: it shall be eaten, and Beit Hillel says: it shall not be eaten. Beit Shammai says: leaven in a k'zayit and vinegar in a k'kotevet, and Beit Hillel says: both in a k'zayit.",15.7543,53.1915,0.4365,0.4939,0.4939,0.0,0.932,0.068,0.0,0.922,0.078
Beitzah,2a,2,"הַשּׁוֹחֵט חַיָּה וָעוֹף בְּיוֹם טוֹב, בֵּית שַׁמַּאי אוֹמְרִים: יַחְפּוֹר בַּדָּקָר וִיכַסֶּה, וּבֵית הִלֵּל אוֹמְרִים: לֹא יִשְׁחוֹט אֶלָּא אִם כֵּן הָיָה לוֹ עָפָר מוּכָן מִבְּעוֹד יוֹם. וּמוֹדִים שֶׁאִם שָׁחַט, שֶׁיַּחְפּוֹר בַּדָּקָר וִיכַסֶּה — שֶׁאֵפֶר כִּירָה מוּכָן הוּא.",one who slaughters an undomesticated animal or a bird on a Festival Beit Shammai say: He digs with a shovel and covers And Beit Hillel say: He may not slaughter unless he had earth prepared while it was still day. But concede that if one slaughtered then he should dig with a shovel and cover that the ashes of a stove are prepared,"The one slaughtering a wild animal or bird on a festival, Beit Shammai says: he should dig a hole and cover it, and Beit Hillel says: he should not slaughter unless he had prepared earth from the day before. And they agree that if he slaughtered, he should dig a hole and cover it - for it is considered like prepared ash.",12.3393,57.1429,0.5276,0.5994,0.875,0.0,0.903,0.097,0.0,0.812,0.188
Beitzah,2a,3,"גְּמָ׳ בְּמַאי עָסְקִינַן? אִילֵימָא בְּתַרְנְגוֹלֶת הָעוֹמֶדֶת לַאֲכִילָה, מַאי טַעְמַיְיהוּ דְּבֵית הִלֵּל? אוּכְלָא דְּאִפְּרַת הוּא!","With what are we dealing If we say to a chicken that is designated for eating, what is the reason that Beit Hillel It is food that has been separated [ de’ifrat ].","We are dealing with what? Perhaps with a standing rooster for eating, what is the reasoning of the House of Hillel? It is the calf of Ephraim!",16.4919,72.7273,0.3271,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Beitzah,2a,4,"אֶלָּא, בְּתַרְנְגוֹלֶת הָעוֹמֶדֶת לְגַדֵּל בֵּיצִים.","Rather, of a chicken designated for laying eggs.","Rather, in the case of a hen that stands to lay eggs.",9.8375,100.0,0.2338,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Beitzah,2a,5,מַאי טַעְמַיְיהוּ דְּבֵית שַׁמַּאי? מוּקְצֶה הִיא! וּמַאי קוּשְׁיָא? דִּלְמָא בֵּית שַׁמַּאי לֵית לְהוּ מוּקְצֶה!,what is the reason of Beit Shammai it is muktze . And what is the difficulty? Perhaps Beit Shammai do not hold muktze ?,What is the reason of Beit Shammai? It is a decree! And what is the question? Perhaps Beit Shammai does not have a decree!,35.125,33.3333,0.5374,-0.4137,0.0,0.116,0.884,0.0,0.0,1.0,0.0
Beitzah,2a,6,"קָא סָלְקָא דַּעְתִּין: אֲפִלּוּ מַאן דְּשָׁרֵי בְּמוּקְצֶה, בְּנוֹלָד אָסַר. מַאי טַעְמַיְיהוּ דְּבֵית שַׁמַּאי?","It enters our mind even one who permits set aside prohibits with came into being [ nolad ] What, is the reason of Beit Shammai?","The text states: ""It has been raised as a question: Even one who permits in a case of muktzeh, in the case of a newborn he prohibits. What is the reasoning of Beit Shammai?""",9.9056,104.0,0.2563,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Beitzah,2a,7,"אָמַר רַב נַחְמָן: לְעוֹלָם בְּתַרְנְגוֹלֶת הָעוֹמֶדֶת לְגַדֵּל בֵּיצִים, וּדְאִית לֵיהּ מוּקְצֶה — אִית לֵיהּ נוֹלָד, וּדְלֵית לֵיהּ מוּקְצֶה — לֵית לֵיהּ נוֹלָד. בֵּית שַׁמַּאי כְּרַבִּי שִׁמְעוֹן, וּבֵית הִלֵּל כְּרַבִּי יְהוּדָה.","Rav Naḥman said: Actually, to a chicken designated for laying eggs. who holds muktze holds came into being, who does not hold muktze does not hold came into being Beit Shammai in accordance with Rabbi Shimon, and Beit Hillel in accordance with Rabbi Yehuda,","Rav Nachman said: Always with a hen that stands to incubate eggs, and if it has a muktzeh — it has a born one, and if it does not have a muktzeh — it does not have a born one. Beit Shammai is like Rabbi Shimon, and Beit Hillel is like Rabbi Yehuda.",12.7427,88.6364,0.2104,0.0,0.6124,0.0,1.0,0.0,0.0,0.898,0.102
Beitzah,2a,8,"וּמִי אָמַר רַב נַחְמָן הָכִי? וְהָתְנַן: בֵּית שַׁמַּאי אוֹמְרִים: מַגְבִּיהִין מֵעַל הַשֻּׁלְחָן עֲצָמוֹת וּקְלִיפִּין, וּבֵית הִלֵּל אוֹמְרִים: מְסַלֵּק אֶת הַטַּבְלָא כּוּלָּהּ וּמְנַעֲרָהּ.","And did Rav Naḥman say that But didn’t we learn Beit Shammai say: One remove bones and shells from the table, And Beit Hillel say: one remove the entire board [ tavla ] and shake it","Talmudic text: And who said it thus? And it was taught: Beit Shammai say: One may lift up bones and shells from the table, and Beit Hillel say: One should remove the entire tablecloth and shake it out.",31.2888,55.5556,0.6234,-0.2617,-0.1779,0.058,0.942,0.0,0.044,0.956,0.0
Beitzah,2a,9,"וְאָמַר רַב נַחְמָן: אָנוּ אֵין לָנוּ אֶלָּא בֵּית שַׁמַּאי כְּרַבִּי יְהוּדָה, וּבֵית הִלֵּל כְּרַבִּי שִׁמְעוֹן!","And Rav Naḥman said: we nothing other Beit Shammai in accordance with Rabbi Yehuda, Beit Hillel in accordance with Rabbi Shimon,","And said Rav Nachman: We have only Beit Shammai like Rabbi Yehuda, and Beit Hillel like Rabbi Shimon!",10.6319,61.9048,0.4574,0.0,0.6476,0.0,1.0,0.0,0.0,0.751,0.249
Beitzah,2a,10,"אָמַר לְךָ רַב נַחְמָן: גַּבֵּי שַׁבָּת, דִּסְתַם לַן תְּנָא כְּרַבִּי שִׁמְעוֹן, דִּתְנַן: מְחַתְּכִין אֶת הַדִּלּוּעִין לִפְנֵי הַבְּהֵמָה, וְאֶת הַנְּבֵלָה לִפְנֵי הַכְּלָבִים —","Rav Naḥman said to you With regard to Shabbat, where tanna taught us an unattributed in accordance with Rabbi Shimon, as we learned One cut pumpkins before an animal and an animal carcass before dogs,","Rav Nachman said to you: Regarding Shabbat, the Mishnah teaches us like Rabbi Shimon, as we learned: One may chop up the gourds in front of the animal, and the carcass in front of the dogs —",17.2887,88.5714,0.3253,-0.2732,0.3612,0.058,0.942,0.0,0.0,0.933,0.067
Beitzah,2a,11,מוֹקֵים לָהּ לְבֵית הִלֵּל כְּרַבִּי שִׁמְעוֹן. אֲבָל,"establishes that Beit Hillel in accordance with Rabbi Shimon, However,",Establish for her like the House of Hillel as Rabbi Shimon. But,6.8372,110.0,0.22,0.0,0.1901,0.0,1.0,0.0,0.0,0.863,0.137
Beitzah,2b,1,"גַּבֵּי יוֹם טוֹב, דִּסְתַם לַן תַּנָּא כְּרַבִּי יְהוּדָה, דִּתְנַן: אֵין מְבַקְּעִין עֵצִים מִן הַקּוֹרוֹת וְלֹא מִן הַקּוֹרָה שֶׁנִּשְׁבְּרָה בְּיוֹם טוֹב — מוֹקֵים לָהּ לְבֵית הִלֵּל כְּרַבִּי יְהוּדָה.","with regard to a Festival, tanna taught us an unattributed in accordance with Rabbi Yehuda as we learned One not chop wood from beams nor from a beam that broke on a Festival. establishes of Beit Hillel in accordance with Rabbi Yehuda,","Regarding a festival, a Mishnah was taught to us like Rabbi Yehudah, as we learned: One may not split wood from beams nor from a beam that broke on a festival day - Beit Hillel establishes it like Rabbi Yehudah.",30.0565,52.381,0.5522,0.5574,0.8225,0.062,0.796,0.142,0.063,0.679,0.258
Beitzah,2b,2,"מִכְּדֵי, מַאן סַתְמַיהּ לְמַתְנִיתִין — רַבִּי. מַאי שְׁנָא בְּשַׁבָּת דִּסְתַם לַן כְּרַבִּי שִׁמְעוֹן, וּמַאי שְׁנָא בְּיוֹם טוֹב דִּסְתַם לַן כְּרַבִּי יְהוּדָה?","Now since, Who is the one who the unattributed mishnayot ? Rabbi What is different to Shabbat, that stated the unattributed opinion for us in accordance with Rabbi Shimon, and what is different to a Festival, that stated the unattributed opinion for us in accordance with Rabbi Yehuda?","From where, who is the anonymous Mishnaic authority? — Rabbi. What is the difference on Shabbat that we rule like Rabbi Shimon, and what is the difference on Yom Tov that we rule like Rabbi Yehuda?",13.9526,70.8333,0.1801,0.5514,0.6868,0.0,0.927,0.073,0.0,0.828,0.172
Beitzah,2b,3,"אָמְרִי: שַׁבָּת דַּחֲמִירָא, וְלָא אָתֵי לְזַלְזוֹלֵי בַּהּ — סָתֵם לַן כְּרַבִּי שִׁמְעוֹן דְּמֵיקֵל, יוֹם טוֹב דְּקִיל, וְאָתֵי לְזַלְזוֹלֵי בֵּיהּ — סָתֵם לַן כְּרַבִּי יְהוּדָה דְּמַחְמִיר.","They say: Shabbat, which is stringent and will not come to treat it with contempt, taught us the unattributed in accordance with Rabbi Shimon, who rules leniently. a Festival, which is lenient, and will come to treat it with contempt, stated the unattributed opinion for us in accordance with Rabbi Yehuda, who rules stringently.","They said: Shabbat of strictness, and does not come to be lenient with it - we hold like Rabbi Shimon who is lenient, a festival that is light, and comes to be lenient with it - we hold like Rabbi Yehuda who is strict.",5.9442,72.2222,0.2529,-0.7793,0.91,0.188,0.73,0.082,0.0,0.707,0.293
Beitzah,2b,4,"בְּמַאי אוֹקֵימְתָּא — בְּתַרְנְגוֹלֶת הָעוֹמֶדֶת לְגַדֵּל בֵּיצִים, וּמִשּׁוּם מוּקְצֶה. אִי הָכִי, אַדְּמִפַּלְגִי בְּבֵיצָה, לִפַּלְגוּ בְּתַרְנְגוֹלֶת?","In what did you establish to a chicken designated for laying eggs, and due to muktze . If so, rather than disputing with regard to an egg let them dispute with regard to chicken","In what is it established? - In a standing hen for the purpose of laying eggs, and due to the prohibition of muktzeh. If so, if one splits an egg, should one split the hen?",19.937,79.4118,0.2527,-0.6872,0.0,0.159,0.841,0.0,0.0,1.0,0.0
Beitzah,2b,5,"לְהוֹדִיעֲךָ כֹּחָן דְּבֵית שַׁמַּאי, דִּבְנוֹלָד שְׁרֵי.","to convey the far-reaching nature of Beit Shammai. that in the case of came into being, permit","To inform you the strength of the House of Shammai, for they were born free.",3.307,88.2353,0.114,0.0,0.7579,0.0,1.0,0.0,0.0,0.667,0.333
Beitzah,2b,6,"וְלִפְלוּגי בְּתַרְנְגוֹלֶת, לְהוֹדִיעֲךָ כֹּחָן דְּבֵית הִלֵּל, דִּבְמוּקְצֶה אָסְרִי! וְכִי תֵּימָא כֹּחַ דְּהֶתֵּירָא עֲדִיף — וְנִפְלוֹג בְּתַרְוַיְיהוּ:","And let them disagree with regard to a chicken, to convey the far-reaching nature of Beit Hillel, who prohibit even of muktze . And if you say the strength of leniency is preferable And let them disagree with regard to both of","In the case of Plugi in the henhouse, to inform you of the power of the House of Hillel, for in the extreme they prohibited! And if you say that the power of permitting is preferable - and they both disputed.",8.8159,80.9524,0.2324,-0.25,-0.4003,0.115,0.815,0.07,0.065,0.935,0.0
Beitzah,2b,7,"תַּרְנְגוֹלֶת הָעוֹמֶדֶת לְגַדֵּל בֵּיצִים, הִיא וּבֵיצָתָהּ, בֵּית שַׁמַּאי אוֹמְרִים: תֵּאָכֵל, וּבֵית הִלֵּל אוֹמְרִים: לֹא תֵּאָכֵל.","a chicken designated for laying eggs, it and its eggs, Beit Shammai say: It may be eaten, and Beit Hillel say: It may not be eaten.","The hen that stands to hatch eggs, she and her egg, Beit Shammai say: it shall be eaten, and Beit Hillel say: it shall not be eaten.",40.9885,42.3077,0.572,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Beitzah,2b,8,"אֶלָּא, אָמַר רַבָּה: לְעוֹלָם בְּתַרְנְגוֹלֶת הָעוֹמֶדֶת לַאֲכִילָה, וּבְיוֹם טוֹב שֶׁחָל לִהְיוֹת אַחַר הַשַּׁבָּת עָסְקִינַן, וּמִשּׁוּם הֲכָנָה.","Rather, Rabba said: Actually, We are dealing with a chicken designated for food and we are dealing with on a Festival that occurs after Shabbat, And due to preparation","Rather, Rabah said: Always with a rooster standing for eating, and on a festival that falls after Shabbat we are dealing, and because of preparation.",9.0733,58.6207,0.4634,0.4939,0.4939,0.0,0.89,0.11,0.0,0.873,0.127
Beitzah,2b,9,"וְקָסָבַר רַבָּה, כֹּל בֵּיצָה דְּמִתְיַלְדָא הָאִידָּנָא — מֵאֶתְמוֹל גָּמְרָה לָהּ.","And Rabba holds any egg laid now was fully developed yesterday,","And Rabah holds, any egg that was laid yesterday - it has completed its formation.",6.4685,100.0,0.4867,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Beitzah,2b,10,"וְרַבָּה לְטַעְמֵיהּ. דְּאָמַר רַבָּה, מַאי דִּכְתִיב: ״וְהָיָה בַּיּוֹם הַשִּׁשִּׁי וְהֵכִינוּ אֶת אֲשֶׁר יָבִיאוּ״ — חוֹל מֵכִין לְשַׁבָּת, וְחוֹל מֵכִין לְיוֹם טוֹב, וְאֵין יוֹם טוֹב מֵכִין לְשַׁבָּת, וְאֵין שַׁבָּת מְכִינָה לְיוֹם טוֹב.","And Rabba, to his reasoning. As Rabba said: What is which is written “And it shall come to pass on the sixth day, that they shall prepare that which they bring in” weekday, one prepare for Shabbat, and weekday one prepare for a Festival. a Festival one may not prepare for Shabbat, and on Shabbat one may not prepare for a Festival.","And Rabbah according to his reasoning. For Rabbah said, what is the meaning of what is written: ""And it shall be on the sixth day, that they shall prepare that which they bring in"" — one prepares on a weekday for Shabbat, and one prepares on a weekday for a festival, but a festival does not prepare for Shabbat, and Shabbat does not prepare for a festival.",35.1704,48.3871,0.7478,0.8625,0.8934,0.0,0.854,0.146,0.0,0.844,0.156
Beitzah,2b,11,"אֲמַר לֵיהּ אַבָּיֵי: אֶלָּא מֵעַתָּה, יוֹם טוֹב בְּעָלְמָא תִּשְׁתְּרֵי! גְּזֵרָה מִשּׁוּם יוֹם טוֹב אַחַר הַשַּׁבָּת. שַׁבָּת דְּעָלְמָא תִּשְׁתְּרֵי! גְּזֵרָה מִשּׁוּם שַׁבָּת אַחַר יוֹם טוֹב.","Abaye said to However, if so, let a regular Festival, be permitted. decree, due to a Festival after Shabbat. a regular Shabbat, let be permitted a decree due to a Shabbat after a Festival.","He said to him Abaye: Rather, from now on, a festival in the world will be abolished! A decree due to a festival following the Sabbath. The Sabbath in the world will be abolished! A decree due to a Sabbath following a festival.",8.8691,79.4118,0.2806,0.8858,0.8802,0.0,0.706,0.294,0.0,0.77,0.23
Beitzah,2b,12,וּמִי גָּזְרִינַן? וְהָא תַּנְיָא: הַשּׁוֹחֵט אֶת הַתַּרְנְגוֹלֶת וּמָצָא בָּהּ בֵּיצִים גְּמוּרוֹת — מוּתָּרוֹת לְאָכְלָן בְּיוֹם טוֹב. וְאִם אִיתָא — לִיגְזַר מִשּׁוּם הָנָךְ דְּמִתְיַלְּדָן בְּיוֹמֵיהֶן!,"And do we issue a decree But isn’t it taught one who slaughters a chicken and finds inside it fully developed eggs it is permitted to eat them on the Festival. And if it is so, let him issue a decree due to those that are laid on that day.",And who decreed this? But it was taught: One who slaughters a hen and finds in it fully formed eggs - they are permitted to be eaten on a festival. And if it comes - it is decreed due to the concern that they will be born on their own days!,10.0649,64.0,0.3674,0.6486,0.68,0.0,0.915,0.085,0.0,0.909,0.091
Beitzah,2b,13,"אֲמַר לֵיהּ: בֵּיצִים גְּמוּרוֹת בִּמְעֵי אִמָּן — מִילְּתָא דְלָא שְׁכִיחָא הִיא, וּמִילְּתָא דְלָא שְׁכִיחָא לָא גְּזַרוּ בַּהּ רַבָּנַן.","said to him: fully developed eggs inside their mother is an uncommon matter, and an uncommon matter the Sages did not issue a decree","He said to him: ""Fully formed eggs in the womb of their mother - it is a matter that is not common, and a matter that is not common, the Rabbis did not decree upon it.""",9.3351,104.1667,0.4063,0.0516,0.0516,0.0,0.905,0.095,0.0,0.934,0.066
Beitzah,2b,14,רַב יוֹסֵף אָמַר: גְּזֵרָה מִשּׁוּם פֵּרוֹת הַנּוֹשְׁרִין.,Rav Yosef said: a decree due to fruits that fall,Rav Yosef said: A decree due to forbidden fruits.,35.0844,30.0,0.7428,0.0,-0.4215,0.0,1.0,0.0,0.286,0.714,0.0
Beitzah,2b,15,אֲמַר לֵיהּ אַבָּיֵי: פֵּרוֹת הַנּוֹשְׁרִין טַעְמָא מַאי —,"Abaye said to fruits that fall, what is the reason","He said to him Abaye: Fruits that are peeled, what is the taste —",19.5648,70.0,0.4205,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Beitzah,3a,1,"גְּזֵרָה שֶׁמָּא יַעֲלֶה וְיִתְלוֹשׁ. הִיא גּוּפַהּ גְּזֵרָה, וַאֲנַן נֵיקוּם וְנִגְזוֹר גְּזֵרָה לִגְזֵרָה? כּוּלָּהּ חֲדָא גְּזֵרָה הִיא.",a decree lest climb and pick is itself a decree. And will we arise and issue a decree to decree? all are one decree.,"Decree lest he ascend and be lost. It itself decree, and we should establish and decree a decree for a decree? It is one decree in its entirety.",5.6021,79.1667,0.7206,0.0,-0.3182,0.0,1.0,0.0,0.084,0.916,0.0
Beitzah,3a,2,רַבִּי יִצְחָק אָמַר: גְּזֵרָה מִשּׁוּם מַשְׁקִין שֶׁזָּבוּ.,Rabbi Yitzḥak said a decree due to liquids that seeped,Rabbi Yitzchak said: A decree due to liquids that flowed.,34.4844,30.0,0.5256,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Beitzah,3a,3,"אֲמַר לֵיהּ אַבָּיֵי: מַשְׁקִין שֶׁזָּבוּ טַעְמָא מַאי — גְּזֵרָה שֶׁמָּא יִסְחוֹט, הִיא גּוּפַהּ גְּזֵרָה, וַאֲנַן נֵיקוּם וְנִגְזוֹר גְּזֵרָה לִגְזֵרָה? כּוּלַּהּ חֲדָא גְּזֵרָה הִיא.",Abaye said to him: liquid that seeped what is the reason a decree lest one squeeze is itself decree. And will we arise and issue a decree to decree? All are one decree.,"He said to him Abaye: ""Liquids that have absorbed flavor, what is the ruling?"" - It is a decree lest one wring it out, it is a decree in itself, and shall we establish and decree a decree upon a decree? It is all one decree.",11.3846,81.8182,0.6638,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
