book_name,page_ref,line_index,hebrew_text,human_translation,llm_translation,bleu_score,ter_score,cosine_similarity_score,human_sentiment_compound,llm_sentiment_compound,human_sentiment_neg,human_sentiment_neu,human_sentiment_pos,llm_sentiment_neg,llm_sentiment_neu,llm_sentiment_pos
Bekhorot,2a,1,"מַתְנִי׳ הַלּוֹקֵחַ עוּבַּר חֲמוֹרוֹ שֶׁל נָכְרִי, וְהַמּוֹכֵר לוֹ, אַף עַל פִּי שֶׁאֵינוֹ רַשַּׁאי, הַמִּשְׁתַּתֵּף לוֹ, וְהַמְקַבֵּל הֵימֶנּוּ, וְהַנּוֹתֵן לוֹ בְּקַבָּלָה — פָּטוּר מִן הַבְּכוֹרָה, שֶׁנֶּאֱמַר: ״בְּיִשְׂרָאֵל״, אֲבָל לֹא בַּאֲחֵרִים.","one who purchases the fetus of a donkey that belongs to a gentile, and one who sells to although he is not permitted one who enters into a partnership with and one who receives from and one who gives to in receivership, exempt from the firstborn status, as it is stated: in Israel, but not upon others.","The Mishnah teaches: One who acquires the unborn fetus of a non-Jew's donkey, and then sells it to another, even though he is not permitted to do so, the one who participates with him, and the one who receives it from him, and the one who gives it as a gift through acquisition - is exempt from the firstborn animal offering, as it is stated: ""among the children of Israel,"" but not among others.",18.0793,73.6842,0.5442,0.0516,0.2846,0.0,0.978,0.022,0.0,0.956,0.044
Bekhorot,2a,2,גְּמָ׳ כׇּל הָנֵי לְמָה לִי?,Why do I all these,"Gemara: ""G'ma, kol hanei l'mah li?"" Translation: ""Complete, all these to me why?""",3.2933,220.0,0.2976,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Bekhorot,2a,3,"צְרִיכִי, דְּאִי תְּנָא לוֹקֵחַ — הֲוָה אָמֵינָא מִשּׁוּם דְּקָא מַיְיתֵי לַהּ לִקְדוּשָּׁה, אֲבָל מוֹכֵר דְּקָא מַפְקַע לַהּ מִקְּדוּשָּׁה — אֵימָא לִיקְנְסֵיהּ, קָא מַשְׁמַע לַן.","are necessary. As, had taught purchases I would say because brings it to sanctity But sells where he abrogates sanctity, say should penalize him [ likneseih ] teaches us","It is necessary, for if a Tanna teaches that he acquires - I would have said that it is because he brings it into sanctity, but if he sells, which causes it to be removed from sanctity - say that he should acquire it, for this is what we hear.",3.1922,144.8276,0.4579,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Bekhorot,2a,4,"וְהַמִּשְׁתַּתֵּף לוֹ, לְמָה לִי? לְאַפּוֹקֵי מִדְּרַבִּי יְהוּדָה, דְּאָמַר: שׁוּתָּפוּת גּוֹיִ חַיֶּיבֶת בִּבְכוֹרָה, קָמַשְׁמַע לַן דִּפְטוּרָה מִן הַבְּכוֹרָה.","And why do I one who enters into a partnership with to exclude of Rabbi Yehuda, who says: partnership a gentile is obligated, a firstborn. teaches us that is exempt from a firstborn.","And one who partners with him, why do I need it? To go out from Rabbi Yehuda, who said: Partnership of a non-Jew is obligated in firstborn, it is heard to us that she is exempt from firstborn.",13.6889,63.6364,0.5679,-0.128,0.1027,0.065,0.887,0.048,0.0,0.962,0.038
Bekhorot,2a,5,"וְהַמְקַבֵּל, לְמָה לִי? מִשּׁוּם דְּקָא בָּעֵי לְמִיתְנֵי וְהַנּוֹתֵן לוֹ בְּקַבָּלָה.","And why do I one who receives because wants to teach And one who gives to in receivership,","""And the one who receives, why do I need it? Because he wants to learn to give, and the one who gives to him in reception.""",15.3569,72.2222,0.6508,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Bekhorot,2a,6,"וְהַנּוֹתֵן לוֹ בְּקַבָּלָה, לְמָה לִי? אִיצְטְרִיךְ, סָלְקָא דַּעְתָּךְ אָמֵינָא: הוֹאִיל וְעִיקַּר בְּהֵמָה דְּיִשְׂרָאֵל הִיא, לִיקְנְסֵיהּ, דִּלְמָא אָתֵי לְאִיחַלּוֹפֵי בִּבְהֵמָה אַחֲרִיתִי, קָמַשְׁמַע לַן.","And why do I one who gives to in receivership was necessary, enter your mind to say since the primary animal belongs to the Jew, should penalize him lest be confused with another animal teaches us","And one who gives it to him as a gift, why do I need it? It is necessary, for I might have thought: Since the main part of the animal belongs to Israel, let him acquire it, lest he come to exchange it for another animal, it has been heard for us.",6.8917,102.7778,0.3912,-0.3182,0.4404,0.063,0.937,0.0,0.0,0.943,0.057
Bekhorot,2a,7,"תְּנַן הָתָם: רַבִּי יְהוּדָה מַתִּיר בַּשְּׁבוּרָה, בֶּן בְּתִירָא מַתִּיר בַּסּוּס.","We learned elsewhere Rabbi Yehuda deems of a damaged permitted and ben Beteira deems of a horse permitted,","We learned there: Rabbi Yehuda permits with a shvurah, Ben B'tira permits with a sus.",6.6092,61.1111,0.1287,-0.4404,0.0,0.162,0.838,0.0,0.0,1.0,0.0
Bekhorot,2a,8,"אִיבַּעְיָא לְהוּ: עוּבָּר מָה לִי אָמַר רַבִּי יְהוּדָה? טַעְמָא דְּרַבִּי יְהוּדָה הָתָם דְּשָׁרֵי, מִשּׁוּם דִּשְׁבוּרָה, עוּבָּר נָמֵי שָׁבוּר הוּא. אוֹ דִלְמָא: שְׁבוּרָה לָאו הַיְינוּ אוֹרְחֵיהּ, אֲבָל עוּבָּר, כֵּיוָן דְּהַיְינוּ אוֹרְחֵיהּ, לָאו שָׁבוּר הוּא?","A dilemma was raised before a fetus, what Rabbi Yehuda say to me reason that Rabbi Yehuda deems permitted there because damaged and a fetus is also damaged Or, perhaps a damaged that is not its natural But a fetus, since that is its natural is not damaged,","He asked them: What is the difference, said Rabbi Yehuda? The reason of Rabbi Yehuda there is because it is permitted, due to it being broken, a limb is also broken. Or perhaps: Broken is not its way, but a limb, since it is its way, is not broken?",5.5116,72.9167,0.2098,-0.9056,-0.8645,0.298,0.702,0.0,0.199,0.801,0.0
Bekhorot,2a,9,"תָּא שְׁמַע: וְהַמּוֹכֵר לוֹ, אַף עַל פִּי שֶׁאֵינוֹ רַשַּׁאי. וְלָא פְּלִיג רַבִּי יְהוּדָה.",Come hear And one who sells to although is not permitted And Rabbi Yehuda does not disagree,"Talmudic text: ""Ta shema: ve'hamocher lo, af al pi she'eino rashai. Ve'lo plig Rabbi Yehuda."" English translation: ""Come and hear: And the seller to him, even though he is not authorized. And Rabbi Yehuda does not disagree.""",10.9555,164.7059,0.2459,0.2924,0.0,0.0,0.88,0.12,0.0,1.0,0.0
Bekhorot,2a,10,"וְלִיטַעְמָיךְ, הַמִּשְׁתַּתֵּף לוֹ, וְהַמְקַבֵּל מִמֶּנּוּ, וְהַנּוֹתֵן לוֹ בְּקַבָּלָה, דְּלָא קָתָנֵי — הָכִי נָמֵי דְּלָא פְּלִיג?","And according to your reasoning, one who enters into a partnership with and one who receives from and one who gives to in receivership, which does not teach so too that he does not disagree","""And to taste, one who participates with him, and one who receives from him, and one who gives to him in a kabbalah, for it is not taught — is it not so that he does not disagree?""",27.9555,62.8571,0.5024,0.2924,0.0,0.0,0.938,0.062,0.0,1.0,0.0
Bekhorot,2a,11,"אֶלָּא — פְּלִיג, וְלָא קָתָנֵי. הָכָא נָמֵי — פְּלִיג, וְלָא קָתָנֵי.","Rather, does disagree, but does not teach Here too, he disagrees, but does not teach","Rather — he disputes, but it is not taught. Here too — he disputes, but it is not taught.",6.4812,86.6667,0.2435,-0.5789,-0.4939,0.268,0.732,0.0,0.219,0.781,0.0
