book_name,page_ref,line_index,hebrew_text,human_translation,llm_translation,bleu_score,ter_score,cosine_similarity_score,human_sentiment_compound,llm_sentiment_compound,human_sentiment_neg,human_sentiment_neu,human_sentiment_pos,llm_sentiment_neg,llm_sentiment_neu,llm_sentiment_pos
Chagigah,2a,1,"הַכֹּל חַיָּיבִין בִּרְאִיָּיה, חוּץ מֵחֵרֵשׁ שׁוֹטֶה וְקָטָן, וְטוּמְטוּם וְאַנְדְּרוֹגִינוֹס, וְנָשִׁים, וַעֲבָדִים שֶׁאֵינָם מְשׁוּחְרָרִים, הַחִיגֵּר וְהַסּוֹמֵא, וְהַחוֹלֶה וְהַזָּקֵן, וּמִי שֶׁאֵינוֹ יָכוֹל לַעֲלוֹת בְּרַגְלָיו.","All are obligated in the appearance, except for a deaf-mute, an imbecile, and a minor; and a tumtum , and a hermaphrodite, and women, and slaves who are not emancipated; and the lame, and the blind, and the sick, and the old, and one who is unable to ascend on his legs.","All are obligated in seeing the new moon, except for a deaf-mute, imbecile, minor, one who is mentally incompetent, hermaphrodites, women, non-Jewish slaves, the blind, the deaf, the sick, the elderly, and one who cannot walk on his own feet.",22.1303,65.3846,0.4813,-0.9001,-0.9062,0.218,0.782,0.0,0.26,0.74,0.0
Chagigah,2a,2,"אֵיזֶהוּ קָטָן — כֹּל שֶׁאֵינוֹ יָכוֹל לִרְכּוֹב עַל כְּתֵפָיו שֶׁל אָבִיו וְלַעֲלוֹת מִירוּשָׁלַיִם לְהַר הַבַּיִת, דִּבְרֵי בֵּית שַׁמַּאי. וּבֵית הִלֵּל אוֹמְרִים: כֹּל שֶׁאֵינוֹ יָכוֹל לֶאֱחוֹז בְּיָדוֹ שֶׁל אָבִיו וְלַעֲלוֹת מִירוּשָׁלַיִם לְהַר הַבַּיִת, שֶׁנֶּאֱמַר: ״שָׁלֹשׁ רְגָלִים״.","Who a minor Any who is unable to ride on his father’s shoulders and ascend from Jerusalem to the Temple Mount; the statement of Beit Shammai. And Beit Hillel say: Any who is unable to hold his father’s hand and ascend from Jerusalem to the Temple Mount, as it is stated: “Three times [ regalim ]”","Talmudic text: Who is considered a minor? — Anyone who is unable to ride on his father's shoulders and ascend from Jerusalem to the Temple Mount, the words of Beit Shammai. Beit Hillel say: Anyone who is unable to grasp his father's hand and ascend from Jerusalem to the Temple Mount, as it is stated: ""Three times a year.""",51.3542,32.1429,0.8446,0.4939,0.4939,0.0,0.943,0.057,0.0,0.945,0.055
Chagigah,2a,3,"בֵּית שַׁמַּאי אוֹמְרִים: הָרְאִיָּיה — שְׁתֵּי כֶסֶף, וְהַחֲגִיגָה — מָעָה כֶּסֶף. וּבֵית הִלֵּל אוֹמְרִים: הָרְאִיָּיה מָעָה כֶּסֶף, וְהַחֲגִיגָה שְׁתֵּי כֶסֶף.",Beit Shammai say: The appearance two silver and the Festival peace silver ma’a And Beit Hillel say: The appearance silver ma’a and the Festival peace two silver,"House of Shammai say: The ""Re'iyah"" - two silver coins, and the ""Chagigah"" - one silver coin. And House of Hillel say: The ""Re'iyah"" - one silver coin, and the ""Chagigah"" - two silver coins.",13.1488,66.6667,0.5014,0.9246,0.0,0.0,0.632,0.368,0.0,1.0,0.0
Chagigah,2a,4,"גְּמָ׳ ״הַכֹּל״ לְאֵתוֹיֵי מַאי? לְאֵתוֹיֵי מִי שֶׁחֶצְיוֹ עֶבֶד וְחֶצְיוֹ בֶּן חוֹרִין. וּלְרָבִינָא דְּאָמַר מִי שֶׁחֶצְיוֹ עֶבֶד וְחֶצְיוֹ בֶּן חוֹרִין פָּטוּר מִן הָרְאִיָּיה, ״הַכֹּל״ לְאֵתוֹיֵי מַאי? לְאֵתוֹיֵי חִיגֵּר בְּיוֹם רִאשׁוֹן וְנִתְפַּשֵּׁט בְּיוֹם שֵׁנִי.","to add what to add one who is half-slave half-freeman. And according to Ravina, who said: One who is half-slave half-freeman is exempt from the appearance All, to add what? to add lame on first day and was healed on second day","Talmudic text: ""Gemara: 'Hakol' le'etuyei mai? Le'etuyei mi shechatzoy eved ve'chatzoy ben chorin. U'l'Ravina de'amar mi shechatzoy eved ve'chatzoy ben chorin patur min ha'reiyah, 'hakol' le'etuyei mai? Le'etuyei chigger b'yom rishon ve'nitpashet b'yom sheni."" English translation: Gemara: ""What does 'everything' come to include? To include one who is half slave and half free. And according to Ravina who said one who is half slave and half free is exempt from the obligation of seeing the new moon, 'everything' comes to include what? To include one who was inspected on the first day and was found to be blemished on the second day.""",9.5479,183.3333,0.3039,-0.34,0.8385,0.063,0.905,0.032,0.0,0.917,0.083
Chagigah,2a,5,"הָנִיחָא לְמַאן דְּאָמַר כּוּלָּן תַּשְׁלוּמִין זֶה לָזֶה. אֶלָּא לְמַאן דְּאָמַר כּוּלָּן תַּשְׁלוּמִין דְּרִאשׁוֹן, ״הַכֹּל״ לְאֵתוֹיֵי מַאי? לְאֵתוֹיֵי סוֹמֵא בְּאַחַת מֵעֵינָיו.","This works out well according to the one who said all redress one another, However, according to the one who said all redress the first All, to add what? to add blind in one of his eyes.","He left it for the one who says all payments are for each other. Rather, for the one who says all the payments of the first, ""all"" - to include what? To include a blind person in one of his eyes.",17.4761,67.5676,0.3587,-0.1531,-0.4019,0.068,0.879,0.053,0.066,0.934,0.0
Chagigah,2a,6,"וּדְלָא כִּי הַאי תַּנָּא, דְּתַנְיָא: יוֹחָנָן בֶּן דַּהֲבַאי אוֹמֵר מִשּׁוּם רַבִּי יְהוּדָה: סוֹמֵא בְּאַחַת מֵעֵינָיו פָּטוּר מִן הָרְאִיָּיה, שֶׁנֶּאֱמַר: ״יִרְאֶה״, ״יֵרָאֶה״ — כְּדֶרֶךְ שֶׁבָּא לִרְאוֹת כָּךְ בָּא לֵירָאוֹת. מָה לִרְאוֹת בִּשְׁתֵּי עֵינָיו, אַף לֵירָאוֹת בִּשְׁתֵּי עֵינָיו.","And not in accordance with this tanna , as it is taught Yoḥanan ben Dehavai says in the name of Rabbi Yehuda: blind in one of his eyes is exempt from the appearance, as it is stated: will appear [ yera’e ] will see [ yireh ] in the manner that one comes to see, so he comes to be seen: Just as to see with both one’s eyes, so too to be seen with both his eyes.","And not like this Mishnah, as it was taught: Yochanan ben Dahavai says in the name of Rabbi Yehuda: One who is blind in one of his eyes is exempt from seeing, as it is stated: ""He shall see,"" ""He shall be seen"" - just as in the manner he came to see, so too he came to be seen. Just as to see with two eyes, so too to be seen with two eyes.",41.3832,42.3077,0.7273,-0.3182,-0.5283,0.036,0.945,0.019,0.062,0.92,0.018
Chagigah,2a,7,"וְאִיבָּעֵית אֵימָא: לְעוֹלָם כִּדְאָמְרִי מֵעִיקָּרָא, וּדְקָא קַשְׁיָא לָךְ הָא דְּרָבִינָא — לָא קַשְׁיָא: כָּאן כְּמִשְׁנָה רִאשׁוֹנָה, כָּאן כְּמִשְׁנָה אַחֲרוֹנָה. דִּתְנַן: מִי שֶׁחֶצְיוֹ עֶבֶד וְחֶצְיוֹ בֶּן חוֹרִין — עוֹבֵד אֶת רַבּוֹ יוֹם אֶחָד וְאֶת עַצְמוֹ יוֹם אֶחָד, דִּבְרֵי בֵּית הִלֵּל.","And if you wish, say Actually, as we said initially, And which a difficulty to of Ravina, not difficult: Here the initial mishna, there, in accordance with the ultimate mishna. As we learned One who is half-slave half-freeman serves his master one day himself one day. the statement of Beit Hillel.","And if you wish, say: Always as they say from the beginning, and this that Ravina finds difficult for you — it is not difficult: here it is like the first Mishnah, here it is like the last Mishnah. As we learned: One whose half is a slave and half is free — he works for his master one day and for himself one day, the words of Beit Hillel.",18.8327,88.2353,0.5112,0.3421,0.7184,0.044,0.867,0.089,0.065,0.792,0.143
Chagigah,2a,8,אָמְרוּ לָהֶם בֵּית שַׁמַּאי:,Beit Shammai said to them:,"They said to them, Beit Shammai:",27.0541,80.0,0.9364,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Chagigah,2b,1,"תִּקַּנְתֶּם אֶת רַבּוֹ, וְאֶת עַצְמוֹ לֹא תִּקַּנְתֶּם. לִישָּׂא שִׁפְחָה אֵינוֹ יָכוֹל, בַּת חוֹרִין אֵינוֹ יָכוֹל.","You have remedied his master, but his own you have not remedied. He is unable to marry a maidservant, He unable a free woman,","You have established his master, but you have not established himself. To marry a maidservant he is unable, to marry a free woman he is unable.",21.8967,58.3333,0.6809,0.6652,0.6652,0.0,0.825,0.175,0.0,0.838,0.162
Chagigah,2b,2,"לִיבְטֵּיל — וַהֲלֹא לֹא נִבְרָא הָעוֹלָם אֶלָּא לִפְרִיָּה וּרְבִיָּה, שֶׁנֶּאֱמַר: ״לֹא תֹהוּ בְרָאָהּ לָשֶׁבֶת יְצָרָהּ״. אֶלָּא מִפְּנֵי תִּיקּוּן הָעוֹלָם, כּוֹפִין אֶת רַבּוֹ וְעוֹשֶׂה אוֹתוֹ בֶּן חוֹרִין, וְכוֹתֵב לוֹ שְׁטָר עַל חֲצִי דָּמָיו. וְחָזְרוּ בֵּית הִלֵּל לְהוֹרוֹת כְּדִבְרֵי בֵּית שַׁמַּאי.","he should be idle but isn’t it the world was created only for procreation, as it is stated: “He did not create it to be a waste; He formed it to be inhabited” Rather, for the betterment of the world we force his master to make him a freeman, and writes a bill to half his value And Beit Hillel retracted to rule in accordance with the statement of Beit Shammai","Talmudic text: ""Livteil - vahalo nivra ha'olam ela lifriyah urbiyah, shene'emar: 'Lo tohu vera'ah lashavet yetzarah.' Ela mepnei tikun ha'olam, kofin et rabo ve'oseh oto ben chorin, vekotev lo shtar al chatzi damav. Vechazru Beit Hillel lehorot kedivrei Beit Shammai."" English translation: ""To bear fruit - and was not the world created except for procreation, as it is said: 'He did not create it a waste, He formed it to be inhabited.' But due to the repair of the world, they compel his master and make him a free man, and write for him a document for half of his value. And the House of Hillel retraced to teach in accordance with the words of the House of Shammai.""",13.2658,115.493,0.3904,0.4988,0.8146,0.076,0.807,0.117,0.023,0.901,0.076
