book_name,page_ref,line_index,hebrew_text,human_translation,llm_translation,bleu_score,ter_score,cosine_similarity_score,human_sentiment_compound,llm_sentiment_compound,human_sentiment_neg,human_sentiment_neu,human_sentiment_pos,llm_sentiment_neg,llm_sentiment_neu,llm_sentiment_pos
Chullin,2a,1,מתני׳ הכל שוחטין ושחיטתן כשרה חוץ מחרש שוטה וקטן שמא יקלקלו את שחיטתן וכולן ששחטו ואחרים רואין אותן שחיטתן כשרה:,"Everyone slaughters and their slaughter is valid, except for a deaf-mute, an imbecile, and a minor, lest they ruin their slaughter And all of them, when they slaughtered and others see them, their slaughter is valid.","Mishnah: Everyone slaughters, and their slaughter is valid, except for a deaf-mute, a fool, and a minor, lest they spoil their slaughter. And all of them who slaughtered, and others see their slaughter, their slaughter is valid.",53.4004,33.3333,0.8308,-0.7906,-0.4404,0.179,0.821,0.0,0.081,0.919,0.0
Chullin,2a,2,גמ׳ הכל שוחטין לכתחלה ושחיטתן כשרה דיעבד,"Everyone slaughters ab initio , And their slaughter is valid, after the fact.","Gemara: All slaughter initially, and their slaughter is valid, let it be done.",23.2879,69.2308,0.2571,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Chullin,2a,3,"אמר ליה רב אחא בריה דרבא לרב אשי וכל הכל לכתחלה הוא אלא מעתה הכל ממירין אחד האנשים ואחד הנשים ה""נ דלכתחלה הוא והא כתיב (ויקרא כז, י) לא יחליפנו ולא ימיר אותו טוב ברע או רע בטוב","Rav Aḥa, son of Rava, said to Rav Ashi: And every Everyone, ab initio ? If that is so, Everyone substitutes both men and women, is also that ab initio ? But isn’t it written: “He shall neither exchange it, nor substitute it, good for bad, or bad for good”","He said to him, Rav Acha, son of Rava, to Rav Ashi, ""And everything at first is indeed so, but now everything changes, both men and women."" Is this not at first? But it is written (Leviticus 27:10), ""He shall not alter it, nor change it, a good for a bad, or a bad for a good.""",15.0971,74.0,0.4919,-0.9321,-0.9275,0.224,0.776,0.0,0.201,0.799,0.0
Chullin,2a,4,התם כדקתני טעמא לא שהאדם רשאי להמיר אלא שאם המיר מומר וסופג את הארבעים,"There, the reason that it teaches: not that it is permitted for a person to substitute; rather, that if one did substitute substitution takes effect, and incurs [ vesofeg ] the forty","There, as it was taught: the reason is not that a person is permitted to exchange, but that if he exchanges, he is considered a transgressor and incurs the forty lashes.",6.0381,65.625,0.3323,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Chullin,2a,5,"אלא הכל מעריכין ונערכין נודרין ונידרין הכי נמי דלכתחלה והא כתיב (דברים כג, כג) וכי תחדל לנדור לא יהיה בך חטא","But Everyone takes valuation and is valuated, vows and a vow also that ab initio ? But it is written: “And if you shall cease to vow, there shall be no sin in you”","Rather, all are appraised and appraisable, vowed and vowable. So too, initially. But isn't it written (Deuteronomy 23:24), ""When you refrain from vowing, it will not be considered a sin for you""?",1.5091,82.3529,0.1342,-0.8271,0.5975,0.204,0.796,0.0,0.0,0.885,0.115
Chullin,2a,6,"וכתיב (קהלת ה, ד) טוב אשר לא תדור משתדור ולא תשלם ותניא טוב מזה ומזה שאינו נודר כל עיקר דברי רבי מאיר ר' יהודה אומר טוב מזה ומזה נודר ומשלם ואפי' רבי יהודה לא קאמר אלא באומר הרי זו אבל","And it is written: “It is better that you should not vow, than that you should vow and not pay” and it is taught Better than this and that one who does not take a vow at all; the statement of Rabbi Meir. Rabbi Yehuda says: Better than this and that one who vows and pays And even Rabbi Yehuda states only in says: This is","And it is written (Ecclesiastes 5:4), ""It is better that you should not vow, than that you should vow and not pay."" And it was taught: ""Better than this and that is one who does not vow at all."" This is the main point of the words of Rabbi Meir. Rabbi Yehuda says: ""Better than this and that is one who vows and pays."" And even Rabbi Yehuda only said this regarding one who says, ""Behold, this is it,"" but...",38.3537,46.9697,0.9192,0.8271,0.8271,0.0,0.877,0.123,0.0,0.898,0.102
Chullin,2b,1,אבל אמר הרי עלי לא,"But says: It upon me no,","But he said, ""Behold, upon me not.""",8.0545,66.6667,0.5708,-0.4215,0.0,0.359,0.641,0.0,0.0,1.0,0.0
Chullin,2b,2,וכל הכל לאו לכתחלה הוא אלא הכל חייבים בסוכה הכל חייבין בציצית הכי נמי דלאו לכתחלה,"And every Everyone, is not ab initio ? Rather, Everyone is obligated in sukka , Everyone is obligated in ritual fringes, also that not ab initio ?",And all the all not to beginning he is but all obligated in sukkah all obligated in tzitzit so too not to beginning,4.0854,74.0741,0.1698,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Chullin,2b,3,"חייבין לא קאמינא אלא מעתה הכל סומכין אחד האנשים ואחד הנשים הכי נמי דלאו לכתחלה והא כתיב (ויקרא א, ד) וסמך ידו ונרצה","I am not speaking obligated, If that is so, Everyone places hands both men and women also that not ab initio ? But isn’t it written: “And he shall place his hand and it shall be accepted","""Chayavin lo ka'amina ela me'ata hakol sumchin echad ha'anashim ve'echad hanashim hakhi nami de'lav lekatchila ve'ha kativ (Vayikra 1:4) u'samach yado venirtza.""",0.8805,100.0,0.0,0.7876,0.0,0.0,0.826,0.174,0.0,1.0,0.0
Chullin,2b,4,אין איכא הכל לכתחלה ואיכא הכל דיעבד אלא הכל דהכא ממאי דלכתחלה הוא דתקשי לך דלמא דיעבד הוא ולא תקשי לך,"Indeed, there are Everyone, ab initio , and there are Everyone, after the fact. Rather, Everyone, that here from where that it is ab initio , that will be difficult for you? Perhaps after the fact, and not will be difficult for you.","There is not all at the outset, and there is all that is done. Rather, all is from here. What is at the outset that it should be difficult for you? Perhaps it is that which is done, and it should not be difficult for you.",23.3468,69.7674,0.3006,-0.6124,-0.6124,0.114,0.886,0.0,0.102,0.898,0.0
