book_name,page_ref,line_index,hebrew_text,human_translation,llm_translation,bleu_score,ter_score,cosine_similarity_score,human_sentiment_compound,llm_sentiment_compound,human_sentiment_neg,human_sentiment_neu,human_sentiment_pos,llm_sentiment_neg,llm_sentiment_neu,llm_sentiment_pos
Eruvin,2a,1,מָבוֹי שֶׁהוּא גָּבוֹהַּ לְמַעְלָה מֵעֶשְׂרִים אַמָּה — יְמַעֵט. רַבִּי יְהוּדָה אוֹמֵר: אֵינוֹ צָרִיךְ.,"an alleyway height above twenty cubits, one must diminish Rabbi Yehuda says: He need not",The alleyway that is higher than twenty cubits - diminishes. Rabbi Yehuda says: It is not necessary.,15.3168,80.0,0.3975,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Eruvin,2a,2,"וְהָרָחָב מֵעֶשֶׂר אַמּוֹת יְמַעֵט. וְאִם יֵשׁ לוֹ צוּרַת הַפֶּתַח, אַף עַל פִּי שֶׁהוּא רָחָב מֵעֶשֶׂר אַמּוֹת אֵין צָרִיךְ לְמַעֵט.","wider than ten cubits, one must diminish However, if has the form of a doorway, even if it is wider than ten cubits, he need not diminish","And the width more than ten cubits diminishes. And if it has a form of a doorway, even though it is wider than ten cubits, it does not need to be diminished.",34.7353,66.6667,0.6444,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Eruvin,2a,3,"גְּמָ׳ תְּנַן הָתָם: סוּכָּה שֶׁהִיא גְּבוֹהָה לְמַעְלָה מֵעֶשְׂרִים אַמָּה פְּסוּלָה, וְרַבִּי יְהוּדָה מַכְשִׁיר. מַאי שְׁנָא גַּבֵּי סוּכָּה דְּתָנֵי ״פְּסוּלָה״ וְגַבֵּי מָבוֹי תָּנֵי תַּקַּנְתָּא?","We learned there, A sukka that is more than twenty cubits high is unfit, and Rabbi Yehuda deems it fit. What is the difference with regard to a sukka teaches unfit, whereas with regard to an alleyway, it teaches rectification,","We learned in a Mishnah there: A sukkah that is taller than twenty cubits is invalid, and Rabbi Yehuda deems it valid. What is the difference regarding a sukkah that it teaches ""invalid,"" and regarding an alleyway it teaches a corrective measure?",23.9747,57.5,0.3421,0.3612,0.0,0.0,0.937,0.063,0.0,1.0,0.0
Eruvin,2a,4,"סוּכָּה דְּאוֹרָיְיתָא, תָּנֵי ״פְּסוּלָה״. מָבוֹי דְּרַבָּנַן, תָּנֵי תַּקַּנְתָּא.","sukka , by Torah law, teaches unfit, an alleyway, by rabbinic law, teaches rectification,","Sukkah of the Torah, it teaches ""pesulah."" Mavoi of the Rabbis, it teaches takanta.",2.863,85.7143,0.2117,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Eruvin,2a,5,"וְאִיבָּעֵית אֵימָא: דְּאוֹרָיְיתָא נָמֵי תָּנֵי תַּקַּנְתָּא. אֶלָּא, סוּכָּה דִּנְפִישִׁין מִילֵּיהּ — פָּסֵיק וְתָנֵי ״פְּסוּלָה״. מָבוֹי דְּלָא נְפִישִׁי מִילֵּיהּ — תָּנֵי תַּקַּנְתָּא.","And if you wish, say even by Torah law, rectification. However, sukka , whose matters are numerous, it categorically teaches unfit. an alleyway, whose matters are not numerous, teaches rectification.","And if you wish, say: that from the Torah it is also taught as a regulation. Rather, a sukkah whose walls are higher than its roof - it is interrupted and it is taught ""invalid."" A courtyard whose walls are not higher than its roof - it is taught as a regulation.",10.1127,136.6667,0.163,0.4404,0.128,0.0,0.841,0.159,0.045,0.9,0.055
Eruvin,2a,6,"אָמַר רַב יְהוּדָה אָמַר רַב: חֲכָמִים לֹא לְמָדוּהָ אֶלָּא מִפִּתְחוֹ שֶׁל הֵיכָל, וְרַבִּי יְהוּדָה לֹא לְמָדָהּ אֶלָּא מִפִּתְחוֹ שֶׁל אוּלָם.","Rav Yehuda said Rav said: The Rabbis only derived from the doorway of the Sanctuary, And Rabbi Yehuda only derived from the doorway of the Entrance Hall","Rav Yehudah said in the name of Rav: The sages learned it only from the entrance of the sanctuary, and Rabbi Yehudah learned it only from the entrance of the hall.",5.5585,66.6667,0.4996,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Eruvin,2a,7,"דִּתְנַן: פִּתְחוֹ שֶׁל הֵיכָל גׇּבְהוֹ עֶשְׂרִים אַמָּה וְרׇחְבּוֹ עֶשֶׂר אַמּוֹת, וְשֶׁל אוּלָם גׇּבְהוֹ אַרְבָּעִים אַמָּה וְרׇחְבּוֹ עֶשְׂרִים אַמּוֹת.","As we learned The doorway of the Sanctuary is twenty cubits high and ten cubits wide, and that of the Entrance Hall is forty cubits high and twenty cubits wide.","We learned in a Mishnah: The entrance of the Sanctuary was twenty cubits high and ten cubits wide, and the entrance of the Hall was forty cubits high and twenty cubits wide.",48.4597,30.0,0.9248,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Eruvin,2a,8,"וּשְׁנֵיהֶן מִקְרָא אֶחָד דָּרְשׁוּ: ״וּשְׁחָטוֹ פֶּתַח אֹהֶל מוֹעֵד״, דְּרַבָּנַן סָבְרִי: קְדוּשַּׁת הֵיכָל לְחוּד וּקְדוּשַּׁת אוּלָם לְחוּד. וְכִי כְּתִיב ״פֶּתַח אֹהֶל מוֹעֵד״ — אַהֵיכָל כְּתִיב.","Both of them, interpreted the same verse homiletically: and slaughter it at the doorway of the Tent of Meeting, As the Rabbis hold the sanctity of the Sanctuary is discrete and the sanctity of the Entrance Hall is discrete, And when speaks of the doorway of the Tent of Meeting, it is referring to the Sanctuary.","Talmudic text: And both of them expounded one verse: ""And they shall slaughter it at the entrance of the Tent of Meeting."" The Rabbis hold: The sanctity of the Sanctuary is distinct, and the sanctity of the Hall is distinct. But is it written ""the entrance of the Tent of Meeting""? — It is written ""Tent.""",26.3034,51.7857,0.6902,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Eruvin,2a,9,וְרַבִּי יְהוּדָה סָבַר: הֵיכָל וְאוּלָם קְדוּשָּׁה אַחַת הִיא. וְכִי כְּתִיב: ״פֶּתַח אֹהֶל מוֹעֵד״ — אַתַּרְוַיְיהוּ הוּא דִּכְתִיב.,"And Rabbi Yehuda holds the Sanctuary and the Entrance Hall are one, sanctity, and when it is written: “The doorway of the Tent of Meeting,” it is referring to both of them,","Rabbi Yehuda holds: the Sanctuary and the Hall are one. Is it written: ""The entrance of the Tent of Meeting"" - this is its location as it is written.",25.1253,56.25,0.7117,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Eruvin,2a,10,וְאִיבָּעֵית אֵימָא: לְרַבִּי יְהוּדָה נָמֵי קְדוּשַּׁת אוּלָם לְחוּד וּקְדוּשַּׁת הֵיכָל לְחוּד. וְהָכָא הַיְינוּ טַעְמָא דְּרַבִּי יְהוּדָה — דִּכְתִיב: ״אֶל פֶּתַח אוּלָם הַבַּיִת״.,"And if you wish, say even according to Rabbi Yehuda, the sanctity of the Sanctuary is discrete and the sanctity of the Entrance Hall is discrete. And here, this is the reasoning of Rabbi Yehuda: as it is written: To the doorway of the Entrance Hall of the House.","And if you wish, say: According to Rabbi Yehuda, the sanctity of the Temple is distinct, and the sanctity of the chamber is distinct. And here is the reason for Rabbi Yehuda's opinion - as it is written: ""At the entrance of the chamber of the house.""",39.0034,38.7755,0.5409,0.4019,0.4019,0.0,0.947,0.053,0.0,0.943,0.057
