book_name,page_ref,line_index,hebrew_text,human_translation,llm_translation,bleu_score,ter_score,cosine_similarity_score,human_sentiment_compound,llm_sentiment_compound,human_sentiment_neg,human_sentiment_neu,human_sentiment_pos,llm_sentiment_neg,llm_sentiment_neu,llm_sentiment_pos
Gittin,2a,1,"הַמֵּבִיא גֵּט מִמְּדִינַת הַיָּם, צָרִיךְ שֶׁיֹּאמַר בְּפָנַי נִכְתַּב וּבְפָנַי נֶחְתַּם.","who brings a bill of divorce [ get ] from a country overseas, is required to state was written in my presence and it was signed in my presence.","The one who brings a bill of divorce from the country of the sea, must say, ""It was written in my presence and signed in my presence.""",41.1057,51.7241,0.7198,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Gittin,2a,2,רַבָּן גַּמְלִיאֵל אוֹמֵר: אַף הַמֵּבִיא מִן הָרְקָם וּמִן הַחֶגֶר. רַבִּי אֱלִיעֶזֶר אוֹמֵר: אֲפִילּוּ מִכְּפַר לוּדִּים לְלוֹד.,"Rabban Gamliel says: Even one who brings from Rekem or from Ḥeger, Rabbi Eliezer says: Even from the village of Ludim to Lod",Rabban Gamliel says: Even one who brings from the embroidery and from the girdle. Rabbi Eliezer says: Even from the village of Lud to Lod.,56.9536,30.4348,0.6024,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Gittin,2a,3,"וַחֲכָמִים אוֹמְרִים: אֵינוֹ צָרִיךְ שֶׁיֹּאמַר ״בְּפָנַי נִכְתַּב וּבְפָנַי נֶחְתַּם״, אֶלָּא הַמֵּבִיא מִמְּדִינַת הַיָּם וְהַמּוֹלִיךְ. וְהַמֵּבִיא מִמְּדִינָה לִמְדִינָה בִּמְדִינַת הַיָּם, צָרִיךְ שֶׁיֹּאמַר ״בְּפָנַי נִכְתַּב וּבְפָנַי נֶחְתַּם״. רַבָּן שִׁמְעוֹן בֶּן גַּמְלִיאֵל אוֹמֵר: אֲפִילּוּ מֵהֶגְמוֹנְיָא לְהֶגְמוֹנְיָא.","And the Rabbis say one is required to say: It was written in my presence and it was signed in my presence, only brings from a country overseas and one who delivers And who brings from region to region within overseas countries is required to say: It was written in my presence and it was signed in my presence. Rabban Shimon ben Gamliel says: even from district [ hegmonya ] to district","The sages say: It is not necessary to say, ""Written before Me and signed before Me,"" rather one who brings from a maritime province and one who brings from province to province through a maritime province, must say, ""Written before Me and signed before Me."" Rabban Shimon ben Gamliel says: Even from gathering to gathering.",13.3929,66.6667,0.2373,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Gittin,2a,4,"רַבִּי יְהוּדָה אוֹמֵר: מֵרְקָם לַמִּזְרָח, וּרְקָם – כַּמִּזְרָח; מֵאַשְׁקְלוֹן לַדָּרוֹם וְאַשְׁקְלוֹן – כַּדָּרוֹם; מֵעַכּוֹ לַצָּפוֹן, וְעַכּוֹ – כַּצָּפוֹן. רַבִּי מֵאִיר אוֹמֵר: עַכּוֹ – כְּאֶרֶץ יִשְׂרָאֵל לְגִיטִּין.",Rabbi Yehuda says: from Rekem eastward and Rekem is like east From Ashkelon southward and Ashkelon is like south from Akko northward and Akko is like north Rabbi Meir says: Akko is like Eretz Yisrael with regard to bills of divorce.,"Rabbi Yehudah says: From Merkam to the east, and Merkam is like the east; from Ashkelon to the south, and Ashkelon is like the south; from Akko to the north, and Akko is like the north. Rabbi Meir says: Akko is like the land of Israel for divorces.",22.8667,60.9756,0.6867,0.8402,0.8402,0.0,0.787,0.213,0.0,0.815,0.185
Gittin,2a,5,"הַמֵּבִיא גֵּט בְּאֶרֶץ יִשְׂרָאֵל, אֵינוֹ צָרִיךְ שֶׁיֹּאמַר ״בְּפָנַי נִכְתַּב וּבְפָנַי נֶחְתַּם״. וְאִם יֵשׁ עָלָיו עוֹרְרִים, יִתְקַיֵּים בְּחוֹתְמָיו.","One who brings a bill of divorce within Eretz Yisrael is not required to say: It was written in my presence and it was signed in my presence. And if there are those who contest it, it should be ratified through its signatories.","One who brings a bill of divorce in the land of Israel, does not need to say, ""written and signed before me."" And if there are objections against it, it is validated by its seals.",22.9511,60.4651,0.3122,0.1531,0.2263,0.0,0.962,0.038,0.0,0.946,0.054
Gittin,2a,6,גְּמָ׳ מַאי טַעְמָא? רַבָּה אָמַר:,What is the reason Rabba says:,Gemara: What is the reason for this? Rabbah said:,22.4169,83.3333,0.342,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Gittin,2b,1,לְפִי שֶׁאֵין בְּקִיאִין לִשְׁמָהּ.,because are not experts for her sake.,"According to the Talmudic text: ""Because they are not proficient in its name.""",5.0619,157.1429,0.1624,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Gittin,2b,2,רָבָא אָמַר: לְפִי שֶׁאֵין עֵדִים מְצוּיִין לְקַיְּימוֹ.,Rava says because there are no witnesses available to ratify it.,Rava said: Because witnesses are not readily available to establish it.,10.0492,45.4545,0.5107,-0.296,0.0,0.18,0.82,0.0,0.0,1.0,0.0
Gittin,2b,3,"מַאי בֵּינַיְיהוּ? אִיכָּא בֵּינַיְיהוּ דְּאַתְיוּהוּ בֵּי תְרֵי. אִי נָמֵי, מִמְּדִינָה לִמְדִינָה בְּאֶרֶץ יִשְׂרָאֵל.","What is between There is between them where two brought Alternatively, from region to region within Eretz Yisrael.","What is the difference between them? There is a difference between them that they come from two houses. Either way, from province to province in the land of Israel.",4.9717,105.5556,0.276,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Gittin,2b,4,"אִי נָמֵי, בְּאוֹתָהּ מְדִינָה בִּמְדִינַת הַיָּם.","Alternatively, within that region in a country overseas.","If so, in that province in the province of the sea.",4.3686,112.5,0.0557,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Gittin,2b,5,"וּלְרַבָּה דְּאָמַר לְפִי שֶׁאֵין בְּקִיאִין לִשְׁמָהּ – לִיבְעֵי תְּרֵי, מִידֵּי דְּהָוֵה אַכֹּל עֵדֻיוֹת שֶׁבַּתּוֹרָה! עֵד אֶחָד נֶאֱמָן בְּאִיסּוּרִין.","And according to Rabba, who said because they are not experts for her sake, let us require two just as is with regard to all testimonies in the Torah. One witness is deemed credible with regard to prohibitions.","And for Rabbah who said because they are not knowledgeable of her name - let two come, since it is a matter of eating testimonies in the Torah! One witness is trusted in matters of prohibition.",21.6321,60.5263,0.3585,0.0,0.5562,0.0,1.0,0.0,0.0,0.847,0.153
Gittin,2b,6,"אֵימוֹר דְּאָמְרִינַן עֵד אֶחָד נֶאֱמָן בְּאִיסּוּרִין, כְּגוֹן חֲתִיכָה סָפֵק שֶׁל חֵלֶב סָפֵק שֶׁל שׁוּמָּן, דְּלָא אִיתַּחְזַק אִיסּוּרָא;",say that we say one witness is deemed credible with regard to prohibitions such as a piece uncertain fat ḥelev uncertain fat. as there is no presumption forbidden.,"Statement that we say: one witness is believed in matters of prohibition, such as a doubtful piece of fat or a doubtful piece of cheese, as the prohibition is not established.",10.0067,75.0,0.3605,-0.8126,-0.5719,0.29,0.71,0.0,0.15,0.815,0.034
Gittin,2b,7,"אֲבָל הָכָא, דְּאִיתַּחְזַק אִיסּוּרָא דְּאֵשֶׁת אִישׁ, הָוֵי דָּבָר שֶׁבָּעֶרְוָה; וְאֵין דָּבָר שֶׁבְּעֶרְוָה פָּחוֹת מִשְּׁנַיִם!","However, here, where there is a presumption forbidden, as a married woman, is a matter of forbidden sexual relations, and there is no matter for forbidden sexual relations fewer than two","However, here, where there is a presumption of the prohibition of a married woman, it is considered a matter of adultery; and there is nothing that is considered adultery less than two!",36.1614,54.8387,0.3325,-0.8555,0.1007,0.305,0.632,0.063,0.0,0.953,0.047
Gittin,2b,8,"רוֹב בְּקִיאִין הֵן. וַאֲפִילּוּ לְרַבִּי מֵאִיר דְּחָיֵישׁ לְמִיעוּטָא – סְתָם סָפְרֵי דְּדַיָּינֵי מִיגְמָר גְּמִירִי, וְרַבָּנַן הוּא דְּאַצְרוּךְ; וְהָכָא","most are experts And even according to Rabbi Meir, who is concerned about a minority ordinary judicial scribes, are learned And it is the Sages who required And here,","The majority are experts. And even according to Rabbi Meir who is concerned for the minority - the ordinary books of the judges are learned from the tradition, and it is the Rabbis who are meticulous; and here",20.3375,65.5172,0.5699,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Gittin,3a,1,מִשּׁוּם עִיגּוּנָא אַקִּילוּ בַּהּ רַבָּנַן.,"due to desertion, the Sages were lenient with her","Due to the concern of Iguna, the Rabbis were lenient with her.",21.9728,66.6667,0.4681,0.2732,0.2732,0.0,0.792,0.208,0.0,0.84,0.16
Gittin,3a,2,הַאי קוּלָּא הוּא?! חוּמְרָא הוּא! דְּאִי מַצְרְכַתְּ לֵיהּ תְּרֵי – לָא אָתֵי בַּעַל מְעַרְעֵר וּפָסֵיל לֵיהּ; חַד – אָתֵי בַּעַל וּמְעַרְעֵר וּפָסֵיל לֵיהּ!,"Is this a leniency? It is a stringency, since if you require two with regard to husband cannot come contest and invalidate it, one husband come and contest and invalidate","This is a question?! It is a string! For if you need two - the one who nullifies it does not come, and the idol does not nullify it; but if one comes, the one who nullifies it and the idol nullify it!",4.4918,106.6667,0.1442,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Gittin,3a,3,"כֵּיוָן דְּאָמַר מָר: בִּפְנֵי כַּמָּה נוֹתְנוֹ לָהּ? רַבִּי יוֹחָנָן וְרַבִּי חֲנִינָא; חַד אָמַר: בִּפְנֵי שְׁנַיִם, וְחַד אָמַר: בִּפְנֵי שְׁלֹשָׁה; מֵעִיקָּרָא מִידָּק דָּיֵיק, וְלָא אָתֵי לְאוֹרוֹעֵי נַפְשֵׁיהּ.",Since the Master says: In the presence of how many give it to Rabbi Yoḥanan and Rabbi Ḥanina One said in the presence of two and one said in the presence of three at the outset careful and he will not act to his own detriment,"As soon as Mar said: ""In front of how many should he give it to her?"" Rabbi Yochanan and Rabbi Chanina; one said: ""In front of two,"" and one said: ""In front of three."" Initially, he was precise, but he did not come to the light of his soul.",6.6824,71.7391,0.2912,0.1531,0.0,0.0,0.966,0.034,0.0,1.0,0.0
Gittin,3a,4,"וּלְרָבָא דְּאָמַר לְפִי שֶׁאֵין עֵדִים מְצוּיִין לְקַיְּימוֹ – לִיבְעֵי תְּרֵי, מִידֵּי דְּהָוֵה אַקִּיּוּם שְׁטָרוֹת דְּעָלְמָא! עֵד אֶחָד נֶאֱמָן בְּאִיסּוּרִין.","And according to Rava, who said because there are no witnesses available to ratify it, let us require two just as is typical ratification of documents, One witness is deemed credible with regard to prohibitions.","And for Rava who said that since witnesses are not readily available to establish it - it requires two, because it is a matter of upholding the documents of the world! One witness is trusted in matters of prohibition.",6.1328,85.7143,0.3274,-0.296,0.5562,0.061,0.939,0.0,0.0,0.859,0.141
Gittin,3a,5,"אֵימַר דְּאָמְרִינַן עֵד אֶחָד נֶאֱמָן בְּאִיסּוּרִין, כְּגוֹן חֲתִיכָה סָפֵק שֶׁל חֵלֶב סָפֵק שֶׁל שׁוּמָּן, דְּלָא אִיתַּחְזַק אִיסּוּרָא; אֲבָל הָכָא אִיתַּחְזַק אִיסּוּרָא דְּאֵשֶׁת אִישׁ – הָוֵי דָּבָר שֶׁבָּעֶרְוָה, וְאֵין דָּבָר שֶׁבָּעֶרְוָה פָּחוֹת מִשְּׁנַיִם!","say that we say one witness is deemed credible with regard to prohibitions such as a piece uncertain fat uncertain fat. as there is no presumption forbidden. However, here there is a presumption forbidden as a married woman. is a matter of forbidden sexual relations, and there is no matter for forbidden sexual relations fewer than two","Statement: As we say, one witness is believed in matters of prohibition, such as a doubtful piece of fat or a doubtful piece of cheese, where the prohibition is not established. But here, where the prohibition of a married woman is established - it is a matter of adultery, and there is no matter of adultery less than two!",17.6509,75.4386,0.316,-0.9501,-0.63,0.307,0.66,0.034,0.112,0.83,0.058
Gittin,3a,6,"בְּדִין הוּא דִּבְקִיּוּם שְׁטָרוֹת נָמֵי לָא לִיבְעֵי, כִּדְרֵישׁ לָקִישׁ – דְּאָמַר רֵישׁ לָקִישׁ: עֵדִים הַחֲתוּמִים עַל הַשְּׁטָר, נַעֲשׂוּ כְּמִי שֶׁנֶּחְקְרָה עֵדוּתָן בְּבֵית דִּין – וְרַבָּנַן הוּא דְּאַצְרוּךְ; וְהָכָא מִשּׁוּם עִיגּוּנָא אַקִּילוּ בַּהּ רַבָּנַן.","By right that with regard to ratification of documents as well, should not require in accordance with of Reish Lakish. As Reish Lakish says: Witnesses signed on document become like whose testimony has been examined in court, And it is the Sages who required And here, the Rabbis were lenient with her due to desertion.","It is in a case where the validity of the documents is not in question, as Reish Lakish expounded: Witnesses who are signed on the document are considered as if their testimony has been examined in court - and it is the Rabbis who established this; and here, due to the suspicion, the Rabbis were lenient with it.",21.2701,65.4545,0.5772,0.6908,-0.128,0.0,0.886,0.114,0.044,0.92,0.036
Gittin,3a,7,"הַאי קוּלָּא הוּא?! חוּמְרָא הוּא! דְּאִי מַצְרְכַתְּ לֵיהּ תְּרֵי – לָא אָתֵי בַּעַל מְעַרְעֵר וּפָסֵיל לֵיהּ; חַד – אָתֵי בַּעַל וּמְעַרְעֵר וּפָסֵיל לֵיהּ! כֵּיוָן דְּאָמַר מָר: בִּפְנֵי כַּמָּה נוֹתְנוֹ לָהּ? רַבִּי יוֹחָנָן וְרַבִּי חֲנִינָא; חַד אָמַר: בִּפְנֵי שְׁנַיִם, וְחַד אָמַר: בִּפְנֵי שְׁלֹשָׁה; מֵעִיקָּרָא מִידָּק דָּיֵיק וְלָא אָתֵי לְאוֹרוֹעֵי נַפְשֵׁיהּ.","Is this a leniency? It is a stringency, since if you require two with regard to husband cannot come contest and invalidate it, one husband can come and contest and invalidate it. Since the Master says: In the presence of how many give it to Rabbi Yoḥanan and Rabbi Ḥanina One said in the presence of two and one said in the presence of three at the outset careful and he will not act to his own detriment","This voice is it?! It is a stringency! For if it requires two - the owner does not come and annul it; if it requires one - the owner comes and annuls it! Since the Master said: In whose presence do we give it to her? Rabbi Yochanan and Rabbi Chanina; one said: In the presence of two, and one said: In the presence of three; initially, he was precise and did not come to endanger himself.",16.6347,58.9744,0.465,0.1531,0.0,0.0,0.979,0.021,0.0,1.0,0.0
Gittin,3a,8,"וְרָבָא, מַאי טַעְמָא לָא אָמַר כְּרַבָּה? אָמַר לָךְ: מִי קָתָנֵי ״בְּפָנַי נִכְתַּב לִשְׁמָהּ, בְּפָנַי נֶחְתַּם לִשְׁמָהּ״?!","And Rava, what is the reason he did not say like Rabba, said to you: Is taught It was written in my presence for her sake, it was signed in my presence for her sake?","Rava, what is the reason why he did not say like Rabbah? He said to you: Who is the one who writes, ""In my presence it was written for her, in my presence it was sealed for her""?!",30.143,51.4286,0.694,-0.2755,-0.4141,0.058,0.942,0.0,0.069,0.931,0.0
Gittin,3a,9,"וְרַבָּה? בְּדִין הוּא דְּלִיתְנֵי הָכִי, אֶלָּא דְּאִי מַפְּשַׁתְּ לֵיהּ דִּיבּוּרָא – אָתֵי לְמִגְזְּיֵיהּ.","And Rabba By right that teach this However, as if you increase speak, he will come to shorten it.","And Rabbah? It is in a case where it does not teach thus, but if she reveals his speech - he comes to divorce her.",2.2458,115.7895,0.1335,0.3182,0.0,0.0,0.887,0.113,0.0,1.0,0.0
Gittin,3a,10,"הַשְׁתָּא נָמֵי אָתֵי לְמִגְזְּיֵיהּ! חֲדָא מִתְּלָת גָּאֵיז, חֲדָא מִתַּרְתֵּי לָא גָּאֵיז.","Now too, he will come to shorten it shorten one of three, he will not shorten one of two.","At that time, he came to visit him! One was from the third floor, one was from the fourth floor and did not come.",3.7769,115.7895,0.0701,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Gittin,3a,11,"וְרַבָּה, מַאי טַעְמָא לָא אָמַר כְּרָבָא? אָמַר לָךְ: אִם כֵּן נִיתְנֵי ״בְּפָנַי נֶחְתַּם״ וְתוּ לָא; ״בְּפָנַי נִכְתַּב״ לְמָה לִי? שְׁמַע מִינַּהּ בָּעֵינַן לִשְׁמָהּ.","And Rabba, what is the reason he did not say like Rava, said to you: If so, let teach: It was signed in my presence, and nothing more, Why do I It was written in my presence? Conclude from it we need for her sake.","Rabba, what is the reason why he did not say like Rabba? He said to you: If so, it should have been written ""b'fanai nechtam"" and not ""b'fanai niktav."" Why do I need ""b'fanai niktav""? Understand from it that we require it for its own sake.",28.1832,55.5556,0.2971,-0.2755,-0.3549,0.047,0.953,0.0,0.053,0.947,0.0
Gittin,3a,12,"וְרָבָא? בְּדִין הוּא דְּלִיתְנֵי הָכִי, אֶלָּא דְּאִם כֵּן, אָתֵי לְאִיחַלּוֹפֵי בְּקִיּוּם שְׁטָרוֹת דְּעָלְמָא – בְּעֵד אֶחָד.","And Rava by right that teach this But if so, will come to confuse with the typical ratification of documents. of one witness.","Rava? In judgment it is not so, but if yes, he comes to exchange in the fulfillment of worldly documents - in one witness.",7.6122,78.2609,0.263,-0.3291,0.6054,0.097,0.903,0.0,0.0,0.848,0.152
Gittin,3a,13,"וְרַבָּה: מִי דָּמֵי?! הָתָם ״יָדְעִינַן״, הָכָא ״בְּפָנַי״;","And Rabba are comparable There, We know here, in my presence.","Rabba: Who is similar?! There, ""we know,"" here ""before Me"";",5.0395,90.9091,0.4726,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Gittin,3a,14,"הָתָם אִשָּׁה לָא מְהֵימְנָא, הָכָא אִשָּׁה מְהֵימְנָא; הָתָם בַּעַל דָּבָר לָא מְהֵימַן, הָכָא בַּעַל דָּבָר מְהֵימַן.","there, a woman is not deemed credible, here, a woman is deemed credible there, an interested party is not deemed credible here, an interested party is deemed credible,","There, a woman is not believed, here, a woman is believed; there, a husband is not believed, here, a husband is believed.",30.0319,50.0,0.1374,0.8689,0.0,0.0,0.671,0.329,0.0,1.0,0.0
Gittin,3a,15,"וְרָבָא אָמַר לָךְ: אַטּוּ הָכָא כִּי אָמְרִי ״יָדְעִינַן״ מִי לָא מְהֵימְנִי?! וְכֵיוָן דְּכִי אָמְרִי ״יָדְעִינַן״ מְהֵימְנִי, אָתֵי לְאִיחַלּוֹפֵי בְּקִיּוּם שְׁטָרוֹת דְּעָלְמָא – בְּעֵד אֶחָד.","And Rava, said to you: Is that to say here, if say: We know, they are not deemed credible? And since when say: We know, they are deemed credible, will come to confuse it with the typical ratification of documents, via one witness.","Rava said to you: Now here, when they say ""we know,"" who would not trust me?! And since when they say ""we know"" they trust me, they come to exchange in the fulfillment of worldly documents - with one witness.",11.3873,69.7674,0.4358,-0.2263,-0.6904,0.043,0.957,0.0,0.133,0.867,0.0
Gittin,3a,16,"וּלְרַבָּה דְּאָמַר לְפִי שֶׁאֵין בְּקִיאִין לִשְׁמָהּ, מַאן הַאי תַּנָּא דְּבָעֵי כְּתִיבָה לִשְׁמָהּ, וּבָעֵי","And according to Rabba, who said because they are not experts for her sake, who is this tanna who requires writing for her sake, and requires","And for Rabbah who said because they are not proficient in its name, who is this Tanna that requires writing its name, and requires",30.9689,42.3077,0.531,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
