book_name,page_ref,line_index,hebrew_text,human_translation,llm_translation,bleu_score,ter_score,cosine_similarity_score,human_sentiment_compound,llm_sentiment_compound,human_sentiment_neg,human_sentiment_neu,human_sentiment_pos,llm_sentiment_neg,llm_sentiment_neu,llm_sentiment_pos
Horayot,2a,1,"מַתְנִי׳ הוֹרוּ בֵּית דִּין לַעֲבוֹר עַל אַחַת מִכׇּל מִצְוֹת הָאֲמוּרוֹת בַּתּוֹרָה, וְהָלַךְ הַיָּחִיד וְעָשָׂה שׁוֹגֵג עַל פִּיהֶם, בֵּין שֶׁעָשׂוּ וְעָשָׂה עִמָּהֶן, בֵּין שֶׁעָשׂוּ וְעָשָׂה אַחֲרֵיהֶן, בֵּין שֶׁלֹּא עָשׂוּ וְעָשָׂה – פָּטוּר, מִפְּנֵי שֶׁתָּלָה בְּבֵית דִּין.","a court issued a ruling to violate one of all the mitzvot that are stated in the Torah, and an individual proceeded and performed unwittingly on the basis of whether performed and he performed with them, whether performed and he performed after them, whether did not perform and he performed exempt due to that he associated with court.","They taught: The court instructed to transgress one of all the commandments stated in the Torah, and an individual went and unintentionally transgressed according to their ruling, whether they acted and he acted with them, whether they acted and he acted after them, whether they did not act and he acted - he is exempt, because he relied on the court.",25.6406,56.8966,0.3914,-0.4215,0.1027,0.055,0.922,0.024,0.0,0.977,0.023
Horayot,2a,2,"הוֹרוּ בֵּית דִּין, וְיָדַע אֶחָד מֵהֶן שֶׁטָּעוּ, אוֹ תַּלְמִיד וְהוּא רָאוּי לְהוֹרָאָה, וְהָלַךְ וְעָשָׂה עַל פִּיהֶן – בֵּין שֶׁעָשׂוּ וְעָשָׂה עִמָּהֶן, בֵּין שֶׁעָשׂוּ וְעָשָׂה אַחֲרֵיהֶן, בֵּין שֶׁלֹּא עָשׂוּ וְעָשָׂה – הֲרֵי זֶה חַיָּיב, מִפְּנֵי שֶׁלֹּא תָּלָה בְּבֵית דִּין. זֶה הַכְּלָל: הַתּוֹלֶה בְּעַצְמוֹ חַיָּיב, וְהַתּוֹלֶה בְּבֵית דִּין – פָּטוּר.","court issued a ruling and one of knew that they erred, or a student and he qualified to issue rulings, and proceeded and performed on the basis of its whether performed and he performed with them, whether performed and he performed after them, whether did not perform and he performed is liable due to that he did not associate with court. This is the principle: One who associates with himself liable, and one who associates with court exempt.","They instructed the court, and one of them knew that they erred, or a student who is fit to teach, and he went and acted according to their ruling - whether they acted and he acted with them, whether they acted and he acted after them, whether they did not act and he acted - he is liable, because he did not rely on the court. This is the principle: one who relies on himself is liable, and one who relies on the court is exempt.",28.9705,52.5641,0.4548,0.1027,0.4404,0.0,0.982,0.018,0.0,0.954,0.046
Horayot,2a,3,גְּמָ׳ אָמַר שְׁמוּאֵל: לְעוֹלָם אֵין בֵּית דִּין חַיָּיבִין עַד שֶׁיֹּאמְרוּ לָהֶם ״מוּתָּרִין אַתֶּם״. רַב דִּימִי מִנְּהַרְדְּעָא אָמַר: עַד שֶׁיֹּאמְרוּ לָהֶם ״מוּתָּרִין אַתֶּם לַעֲשׂוֹת״. מַאי טַעְמָא? לְפִי שֶׁלֹּא נִגְמְרָה הוֹרָאָה.,Shmuel says: court are never liable until they say to It is permitted for you. Rav Dimi from Neharde’a says: unless they say to It is permitted for you to perform What is the reason due to that the ruling is not completed,"Talmudic text: Gemara said Shmuel: Always not court obligated until they say to them ""permitted you."" Rav Dimi from Nehardea said: until they say to them ""permitted you to do."" What reason? Because not finished instruction.",11.7931,74.4186,0.5096,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Horayot,2a,4,"אָמַר אַבָּיֵי, אַף אֲנַן נָמֵי תְּנֵינָא: חָזַר לְעִירוֹ שָׁנָה וְלִימֵּד כְּדֶרֶךְ שֶׁלִּימֵּד – פָּטוּר, הוֹרָה לַעֲשׂוֹת – חַיָּיב.","Abaye said: We learn as well. returned to his city, he taught in the manner that he was teaching exempt instructed to act liable","Abaye said, ""We also learned: If one returned to his city after a year and taught in the same manner as he had been taught - he is exempt; if he taught to act - he is liable.""",11.1524,112.5,0.5916,0.3612,0.1027,0.0,0.863,0.137,0.0,0.96,0.04
Horayot,2a,5,"אָמַר רַבִּי אַבָּא, אַף אֲנַן נָמֵי תְּנֵינָא: הוֹרוּ לָהּ בֵּית דִּין לְהִנָּשֵׂא, וְהָלְכָה וְקִלְקְלָה – חַיֶּיבֶת בְּקׇרְבָּן, שֶׁלֹּא הִתִּירוּ לָהּ אֶלָּא לְהִנָּשֵׂא.","Rabbi Abba said: We learn as well. court instructed to marry but she proceeded and disgraced liable to an offering, as they permitted her only to marry,","Rabbi Abba said, ""We also learned: If the court instructed her to marry, and she went and caused damage - she is liable for a sacrifice, for they only permitted her to marry.""",9.048,77.7778,0.6489,-0.5346,-0.4939,0.131,0.818,0.051,0.096,0.904,0.0
Horayot,2a,6,"אָמַר רָבִינָא, אַף אֲנַן נָמֵי תְּנֵינָא: ״הוֹרוּ בֵּית דִּין לַעֲבוֹר עַל אַחַת מִכׇּל מִצְוֹת הָאֲמוּרוֹת בַּתּוֹרָה״, תּוּ לָא מִידִּי.","Ravina said: We learn as well: a court issued a ruling to violate one of all the mitzvot that are stated in the Torah, nothing more","Ravina said, ""We also learned: 'The court should instruct to transgress one of all the commandments stated in the Torah,' but not from me.""",22.0957,69.2308,0.341,-0.2732,0.0,0.117,0.806,0.077,0.0,1.0,0.0
Horayot,2a,7,"אִיכָּא דְאָמְרִי, אָמַר שְׁמוּאֵל: אֵין בֵּית דִּין חַיָּיבִין עַד שֶׁיֹּאמְרוּ לָהֶם ״מוּתָּרִים אַתֶּם לַעֲשׂוֹת״. רַב דִּימִי מִנְּהַרְדְּעָא אָמַר: אֲפִילּוּ ״מוּתָּרִים אַתֶּם״ – נִגְמְרָה הוֹרָאָה. אָמַר אַבָּיֵי, וְהָא לָא תְּנַן הָכִי: חָזַר לְעִירוֹ, וְשָׁנָה אוֹ לִימֵּד כְּדֶרֶךְ שֶׁלִּימֵּד – פָּטוּר, הוֹרָה לַעֲשׂוֹת – חַיָּיב.","Some say Shmuel says: court are not liable until they say to It is permitted for you to perform Rav Dimi from Neharde’a says: Even It is permitted for you, ruling is completed Abaye said: But isn’t we did not learn returned to his city, and he taught in the manner that he was teaching exempt instructed to act liable","There are some who say, Shmuel said: A court is not liable until they are told, ""You are permitted to do it."" Rav Dimi from Nehardea said: Even if they are told, ""You are permitted to do it,"" the instruction is complete. Abaye said, but did we not learn thus: If he returned to his city and repeated or taught as he was taught - he is exempt; if he instructed to do - he is liable.",9.6829,85.0,0.6062,0.1531,0.1531,0.0,0.974,0.026,0.0,0.979,0.021
Horayot,2a,8,"אָמַר רַבִּי אַבָּא, וְהָא לָא תְּנַן הָכִי: הוֹרוּ לָהּ בֵּית דִּין לְהִנָּשֵׂא, וְהָלְכָה וְקִלְקְלָה – חַיֶּיבֶת בְּקׇרְבָּן, שֶׁלֹּא הִתִּירוּ לָהּ אֶלָּא לְהִנָּשֵׂא.","Rabbi Abba said: But isn’t we did not learn court instructed to marry but she proceeded and disgraced liable to an offering, as they permitted her only to marry,","Rabbi Abba said, and did we not learn thus: If the court instructed her to marry, and she went and caused damage - she is liable for a sacrifice, for they only permitted her to marry.",9.3278,75.8621,0.6821,-0.6124,-0.4939,0.125,0.875,0.0,0.088,0.912,0.0
Horayot,2a,9,"אָמַר רָבִינָא, וְהָא לָא תְּנַן הָכִי: הוֹרוּ בֵּית דִּין לַעֲבוֹר עַל אַחַת מִכׇּל מִצְוֹת הָאֲמוּרוֹת בַּתּוֹרָה, תּוּ לָא מִידִּי.","Ravina said: But isn’t we did not learn a court issued a ruling to violate one of all the mitzvot that are stated in the Torah, nothing more","Ravina said, but did we not learn thus: The court may instruct to transgress any one of all the commandments stated in the Torah, except for idolatry, sexual immorality, and bloodshed.",19.7874,71.4286,0.3432,-0.6486,-0.2263,0.147,0.853,0.0,0.06,0.94,0.0
Horayot,2a,10,"וְהָלַךְ הַיָּחִיד וְעָשָׂה שׁוֹגֵג עַל פִּיהֶם. וְנִיתְנֵי: ״וְעָשָׂה עַל פִּיהֶם״, ״שׁוֹגֵג״ לְמָה לִי? אָמַר רָבָא: ״שׁוֹגֵג״ – לְאֵתוֹיֵי הוֹרוּ בֵּית דִּין שֶׁחֵלֶב מוּתָּר, וְנִתְחַלֵּף לוֹ חֵלֶב בְּשׁוּמָּן, וַאֲכָלוֹ – פָּטוּר. ״עַל פִּיהֶם״ – עַל פִּיהֶם מַמָּשׁ,","And the individual proceeded and performed unwittingly on the basis of And let us teach And performed on the basis of why do I Unwittingly? Rava said: unwittingly to include the court issued a ruling that permitted fat, and fat became confused for him with fat, and he ate it exempt. On the basis of actually on the basis of","The individual went and unintentionally acted according to their words. And it is taught: ""And he acted according to their words,"" why do I need ""unintentionally""? Rava said: ""Unintentionally"" – to include a case where the court ruled that fat is permissible, and it was mistakenly replaced with oil, and he ate it – he is exempt. ""According to their words"" – literally according to their words.",10.9063,80.0,0.1751,-0.2263,-0.2023,0.039,0.938,0.023,0.035,0.943,0.022
