book_name,page_ref,line_index,hebrew_text,human_translation,llm_translation,bleu_score,ter_score,cosine_similarity_score,human_sentiment_compound,llm_sentiment_compound,human_sentiment_neg,human_sentiment_neu,human_sentiment_pos,llm_sentiment_neg,llm_sentiment_neu,llm_sentiment_pos
Keritot,2a,1,"מַתְנִי׳ שְׁלֹשִׁים וָשֵׁשׁ כָּרֵיתוֹת בְּתוֹרָה: הַבָּא עַל הָאֵם, וְעַל אֵשֶׁת אָב, וְעַל הַכַּלָּה, הַבָּא עַל הַזָּכוּר, וְעַל הַבְּהֵמָה, וְאִשָּׁה הַמְּבִיאָה הַבְּהֵמָה עָלֶיהָ, הַבָּא עַל אִשָּׁה וּבִתָּהּ, וְאֵשֶׁת אִישׁ, הַבָּא עַל אֲחוֹתוֹ, וְעַל אֲחוֹת אָבִיו, וְעַל אֲחוֹת אִמּוֹ, וְעַל אֲחוֹת אִשְׁתּוֹ, וְעַל אֵשֶׁת אָחִיו, וְעַל אֵשֶׁת אֲחִי אָבִיו, וְעַל אֵשֶׁת אֲחִי אִמּוֹ, וְעַל הַנִּדָּה.","thirty-six in the Torah excision from the World-to-Come [ karet ]. One who engages in sexual intercourse with mother; or with the wife of father, or with daughter-in-law. who engages in intercourse with male [ hazekhur ], or with an animal; and a woman who brings an animal upon her one who engages in intercourse with a woman and her daughter, or a married woman. one who engages in intercourse with his sister, or with his father’s sister, or with his mother’s sister, or with his wife’s sister, or with his brother’s wife, or with the wife of his father’s brother, or with the wife of his mother’s brother, or with a menstruating woman.","The Mishnah teaches: Thirty-six transgressions in the Torah. One who engages in relations with his mother, with his father's wife, or with his daughter-in-law; one who engages in relations with a male, with an animal, or with a woman who brings an animal upon herself; one who engages in relations with a woman and her daughter, with a man's wife, with his sister, with his father's sister, with his mother's sister, with his wife's sister, with his brother's wife, with his father's brother's wife, with his mother's brother's wife, or with a menstruating woman.",29.6694,50.0,0.8486,0.7184,0.6124,0.0,0.929,0.071,0.0,0.935,0.065
Keritot,2a,2,"וְהַמְגַדֵּף, וְעוֹבֵד עֲבוֹדָה זָרָה, וְהַנּוֹתֵן מִזַּרְעוֹ לַמּוֹלֶךְ, וּבַעַל אוֹב, וּמְחַלֵּל שַׁבָּת, וְטָמֵא שֶׁאָכַל קֹדֶשׁ, וְהַבָּא אֶל הַמִּקְדָּשׁ טָמֵא, וְהָאוֹכֶל חֵלֶב, וָדָם, וְנוֹתָר, וּפִיגּוּל, וְהַשּׁוֹחֵט, וּמַעֲלֶה בַּחוּץ,","And One who blasphemes and worships an idol, and one who gives of his children to Molekh and a necromancer, and desecrates Shabbat. And one who is ritually impure who ate sacrificial and one who enters the Temple ritually impure; and one who eats fat, or blood, or left over from an offering after the time allotted for its consumption [ notar ], or an offering that was sacrificed with the intent to consume it after its designated time [ piggul ]; and one who slaughters and offers up outside","The one who blasphemes, and one who worships idols, and one who gives his seed to Molech, and a necromancer, and one who desecrates the Sabbath, and one who became impure and ate holy things, and one who enters the Temple while impure, and one who eats forbidden fats, blood, leftovers, or disqualified sacrifices, and one who slaughters, and one who ascends the altar outside the Temple.",19.5437,66.6667,0.5886,0.34,-0.4939,0.0,0.973,0.027,0.079,0.887,0.034
Keritot,2a,3,"וְהָאוֹכֵל חָמֵץ בַּפֶּסַח, וְהָאוֹכֵל וְהָעוֹשֶׂה מְלָאכָה בְּיוֹם הַכִּפּוּרִים, וְהַמְפַטֵּם אֶת הַשֶּׁמֶן, וְהַמְפַטֵּם אֶת הַקְּטֹרֶת, וְהַסָּךְ אֶת הַשֶּׁמֶן הַמִּשְׁחָה. וְהַפֶּסַח וְהַמִּילָה מִצְוַת עֲשֵׂה.","And One who eats leavened bread on Passover, and one who eats or performs labor on Yom Kippur. And one who blends the oil and one who blends the incense and one who applies the anointing oil And the Paschal offering and the circumcision, positive mitzvot.","The one who eats leaven on Passover, and the one who eats and performs labor on Yom Kippur, and one who smoothes the oil, and one who smoothes the incense, and one who anoints with the anointing oil. And Passover and circumcision are positive commandments.",27.7987,39.1304,0.6752,0.5574,0.5574,0.0,0.926,0.074,0.0,0.924,0.076
Keritot,2a,4,"עַל אֵלּוּ חַיָּיבִין עַל זְדוֹנוֹ כָּרֵת, וְעַל שִׁגְגָתוֹ חַטָּאת, וְעַל לֹא הוֹדַע שֶׁלָּהֶם אָשָׁם תָּלוּי, חוּץ מִן הַמְטַמֵּא מִקְדָּשׁ וְקָדָשָׁיו, מִפְּנֵי שֶׁהוּא בְּעוֹלֶה וְיוֹרֵד, דִּבְרֵי רַבִּי מֵאִיר.","For these liable karet for its intentional and a sin offering for its unwitting And for their unknown a provisional guilt offering, except for one who defiles the Temple, or its consecrated items because he is to a sliding-scale the statement of Rabbi Meir.","On these sins one is liable for intentional violation - excision, and for unintentional violation - sin offering, and for their unknowing violation - a guilt offering is pending, except for one who renders impure the sanctuary and its holy items, because it involves ascending and descending, the words of Rabbi Meir.",14.7234,77.2727,0.3851,-0.6908,-0.9538,0.128,0.872,0.0,0.303,0.697,0.0
Keritot,2a,5,"וַחֲכָמִים אוֹמְרִים: אַף הַמְגַדֵּף, שֶׁנֶּאֱמַר: ״תּוֹרָה אַחַת יִהְיֶה לָכֶם לָעֹשֶׂה בִּשְׁגָגָה״, יָצָא מְגַדֵּף שֶׁאֵינוֹ עוֹשֶׂה מַעֲשֶׂה.","And the Rabbis say: even the one who blasphemes, as it is stated “You shall have one law for him who performs the action unwittingly” excluding blasphemes, as he does not perform an action","The sages say: Even the blasphemer, as it is stated: ""One Torah shall be for you, for one who does something unintentionally"" (Numbers 15:29), excludes the blasphemer who does not perform an action.",19.141,61.7647,0.3613,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Keritot,2b,1,גְּמָ׳ מִנְיָינָא לְמָה לִי? אָמַר רַבִּי יוֹחָנָן: שֶׁאִם עֲשָׂאָן כּוּלָּן בְּהֶעְלֵם אַחַת – חַיָּיב עַל כׇּל אַחַת וְאַחַת.,"Why do I tally Rabbi Yoḥanan said: that if one performed all of them in one lapse of awareness, liable for each and every one,","Talmudic text: ""Gemara, minyana, l'mah li?"" Amar Rabbi Yochanan: ""She'im asa'an kull'an b'he'elem achad - chayav al kol achad v'achad."" English translation: ""Gemara, what is the practical application for me?"" Rabbi Yochanan said: ""That if one performs all of them in one concealment - he is liable for each and every one.""",13.1297,152.0,0.1807,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Keritot,2b,2,"וְתוּ, הָא דִּתְנַן: אֲבוֹת מְלָאכוֹת אַרְבָּעִים חָסֵר אַחַת, מִנְיָינָא לְמָה לִי? שֶׁאִם עֲשָׂאָן כּוּלָּן בְּהֶעְלֵם אַחַת – חַיָּיב עַל כׇּל אַחַת וְאַחַת.","And furthermore, that which we learned primary categories of labor forty-less-one; why do I tally that if one performed all of in one lapse of awareness liable for each and every one.","And come, this that we learned: the forty less one primary labors, what is the count for me? That if one performs them all in one heave offering - liable for each and every one.",19.6046,68.75,0.5192,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Keritot,2b,3,"תּוּ, הָא דִּתְנַן: אַרְבָּעָה מְחוּסְּרֵי כַּפָּרָה, מִנְיָינָא לְמָה לִי?","furthermore, that which we learned four who have not yet an atonement Why do I tally","Behold, that which we learned: Four who are lacking atonement, what is the count for them?",19.4962,68.75,0.3925,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Keritot,2b,4,"לְאַפּוֹקֵי מִדְּרַבִּי אֱלִיעֶזֶר בֶּן יַעֲקֹב, דְּאָמַר: חֲמִשָּׁה הָוֵי, דְּתַנְיָא, רַבִּי אֱלִיעֶזֶר בֶּן יַעֲקֹב אוֹמֵר: גֵּר מְחוּסַּר כַּפָּרָה עַד שֶׁיִּזָּרֵק דָּם עָלָיו, אַהָכִי תְּנָא אַרְבָּעָה.","to exclude of Rabbi Eliezer ben Ya’akov, who says there are five As it is taught Rabbi Eliezer ben Ya’akov says: A convert one who has not yet an atonement until the priest sprinkles blood on his for this teaches four,","To go out from Rabbi Eliezer ben Yaakov, as he said: Five should be, as it was taught, Rabbi Eliezer ben Yaakov says: A convert is in need of atonement until blood is sprinkled upon him. Thus it was taught: Four.",10.4569,70.7317,0.4087,-0.2263,0.0,0.046,0.954,0.0,0.0,1.0,0.0
Keritot,2b,5,"תּוּ, הָא דִּתְנַן: אַרְבָּעָה מְבִיאִין עַל הַזָּדוֹן כִּשְׁגָגָה, מִנְיָינָא לְמָה לִי?","furthermore, that which we learned four who bring for the intentional as the unwitting Why do I tally","Talmudic text: ""Tu, ha di'tnan: arba'a mevi'in al hazadon kishgaga, minyana lema li?"" English translation: ""Come and hear, as we have learned: Four bring upon intentional transgression unwittingly, what is the law?""",1.2927,172.2222,0.1866,0.0,0.4137,0.0,1.0,0.0,0.0,0.918,0.082
