book_name,page_ref,line_index,hebrew_text,human_translation,llm_translation,bleu_score,ter_score,cosine_similarity_score,human_sentiment_compound,llm_sentiment_compound,human_sentiment_neg,human_sentiment_neu,human_sentiment_pos,llm_sentiment_neg,llm_sentiment_neu,llm_sentiment_pos
Ketubot,2a,1,"בְּתוּלָה נִשֵּׂאת לַיּוֹם הָרְבִיעִי וְאַלְמָנָה לַיּוֹם הַחֲמִישִׁי. שֶׁפַּעֲמַיִם בְּשַׁבָּת בָּתֵּי דִינִין יוֹשְׁבִין בָּעֲיָירוֹת: בַּיּוֹם הַשֵּׁנִי וּבַיּוֹם הַחֲמִישִׁי, שֶׁאִם הָיָה לוֹ טַעֲנַת בְּתוּלִים, הָיָה מַשְׁכִּים לְבֵית דִּין.","A virgin is married on Wednesday and a widow on Thursday. that twice a week courts convene in the towns, on Monday and Thursday, that if had a claim concerning virginity he would go early to court","Virgin is married on the fourth day and widow on the fifth day. For twice on Shabbat the courts sit in the cities: on the second day and on the fifth day, for if he had a claim of virginity, he would go early to the court.",14.1436,72.973,0.4503,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Ketubot,2a,2,"גְּמָ׳ אָמַר רַב יוֹסֵף אָמַר רַב יְהוּדָה אָמַר שְׁמוּאֵל: מִפְּנֵי מָה אָמְרוּ בְּתוּלָה נִשֵּׂאת לַיּוֹם הָרְבִיעִי? לְפִי שֶׁשָּׁנִינוּ: הִגִּיעַ זְמַן וְלֹא נִישְּׂאוּ — אוֹכְלוֹת מִשֶּׁלּוֹ, וְאוֹכְלוֹת בִּתְרוּמָה.","Rav Yosef said Rav Yehuda said Shmuel said: Due to what did they say that a virgin is married on Wednesday? because we learned If the time arrived, and they were not married, eat from his and, eat teruma .","Gemara: Rav Yosef said, Rav Yehudah said Shmuel: Why did they say that a virgin is married on the fourth day? Because we learned: If the time arrived and they were not married - she eats from his, and she eats from the terumah.",34.3539,60.0,0.5684,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Ketubot,2a,3,יָכוֹל הִגִּיעַ זְמַן בְּאֶחָד בְּשַׁבָּת יְהֵא מַעֲלֶה לָהּ מְזוֹנוֹת? לְכָךְ שָׁנִינוּ: בְּתוּלָה נִשֵּׂאת לַיּוֹם הָרְבִיעִי.,"One might think time arrived on Sunday, he would provide her sustenance Therefore, we learned: A virgin is married on Wednesday.","One might have thought that if the time arrives on one of the Sabbaths, should he provide her sustenance? Therefore we learned: A virgin is married on the fourth day.",27.8022,80.9524,0.5304,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Ketubot,2a,4,אָמַר רַב יוֹסֵף: מָרֵיהּ דְּאַבְרָהָם! תָּלֵי תַּנְיָא בִּדְלָא תַּנְיָא?! הֵי תַּנְיָא וְהֵי לָא תַּנְיָא? הָא תַּנְיָא וְהָא תַּנְיָא! אֶלָּא: תָּלֵי תַּנְיָא דִּמְפָרֵשׁ טַעְמָא בִּדְתַנְיָא דְּלָא מְפָרֵשׁ טַעְמָא.,"Rav Yosef said Lord of Abraham, makes is taught dependent on is not taught, Which is taught and which is not taught? this is taught that is taught. Rather, makes is taught whose reason is explicit, dependent on is taught whose reason is not explicit.","Rav Yosef said: ""The master of Avraham! Hang a teaching where it is not taught? Should it be taught and should it not be taught? This teaching here and this teaching here! Rather, hang a teaching that explains the reason where a teaching that does not explain the reason is not taught.""",9.9142,82.2222,0.265,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Ketubot,2a,5,"אֶלָּא אִי אִיתְּמַר הָכִי אִיתְּמַר. אָמַר רַב יְהוּדָה אָמַר שְׁמוּאֵל: מִפְּנֵי מָה אָמְרוּ בְּתוּלָה נִשֵּׂאת לַיּוֹם הָרְבִיעִי? שֶׁאִם הָיָה לוֹ טַעֲנַת בְּתוּלִים — הָיָה מַשְׁכִּים לְבֵית דִּין. וְתִינָּשֵׂא בְּאֶחָד בְּשַׁבָּת, שֶׁאִם הָיָה לוֹ טַעֲנַת בְּתוּלִים הָיָה מַשְׁכִּים לְבֵית דִּין? שָׁקְדוּ חֲכָמִים עַל תַּקָּנַת בְּנוֹת יִשְׂרָאֵל, שֶׁיְּהֵא טוֹרֵחַ בִּסְעוּדָה שְׁלֹשָׁה יָמִים, אֶחָד בְּשַׁבָּת וְשֵׁנִי בַּשַּׁבָּת וּשְׁלִישִׁי בַּשַּׁבָּת, וּבָרְבִיעִי כּוֹנְסָהּ.","Rather, if it was stated, this it was stated: Rav Yehuda said Shmuel said: Due to what did say a virgin is married on Wednesday? that if had a claim concerning virginity, he would go early to court But let her marry on Sunday, as if had a claim concerning virginity, he would go early to court Sages were assiduous in seeing to the well-being of Jewish women so that would exert in the feast for three days: Sunday, Monday, and Tuesday, and on Wednesday, he marries her.","Rather, if it was stated thus, it was stated thus. Rav Yehudah said in the name of Shmuel: Why did they say that a virgin is married on the fourth day? Because if he had a claim of virginity, he would rise early to go to the court. And she is married on the first day of the week, because if he had a claim of virginity, he would rise early to go to the court? The Sages were diligent in the enactment for the daughters of Israel, that he should exert effort in preparing a meal for three days, one on Shabbat, the second on Shabbat, and the third on Shabbat, and on the fourth day he marries her.",18.2415,80.6818,0.5242,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Ketubot,2a,6,"וְעַכְשָׁו שֶׁשָּׁנִינוּ ״שָׁקְדוּ״, אוֹתָהּ שֶׁשָּׁנִינוּ ״הִגִּיעַ זְמַן וְלֹא נִישְּׂאוּ, אוֹכְלוֹת מִשֶּׁלּוֹ וְאוֹכְלוֹת בִּתְרוּמָה״, הִגִּיעַ זְמַן בְּאֶחָד בְּשַׁבָּת, מִתּוֹךְ שֶׁאֵינוֹ יָכוֹל לִכְנוֹס — אֵינוֹ מַעֲלֶה לָהּ מְזוֹנוֹת.","And now that we learned were assiduous that which we learned If the time arrived and they were not married, eat from his and eat teruma , If time arrived on Sunday, since unable to marry he is not obligated to provide her sustenance","And now that we have learned ""they have checked,"" that which we have learned ""the time has arrived and they have not been taken,"" eating from his and eating from terumah, the time arrived on one on Shabbat, because he cannot enter - he does not bring up sustenance for her.",11.9065,68.1818,0.4626,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Ketubot,2a,7,לְפִיכָךְ: חָלָה הוּא אוֹ שֶׁחָלְתָה הִיא אוֹ שֶׁפֵּירְסָה נִדָּה — אֵינוֹ מַעֲלֶה לָהּ מְזוֹנוֹת.,"Therefore, fell ill, or if fell ill, or where she began to menstruate [ peirsa nidda ] not provide her sustenance",Therefore: whether he is sick or she is sick or she has menstruated — he does not have to provide her with sustenance.,4.3875,90.4762,0.2451,-0.6808,-0.765,0.248,0.752,0.0,0.248,0.752,0.0
Ketubot,2a,8,"וְאִיכָּא דְּבָעֵי לַהּ מִיבַּעְיָא: חָלָה הוּא, מַהוּ? הָתָם טַעְמָא מַאי — מִשּׁוּם דַּאֲנִיס, וְהָכָא נָמֵי הָא אֲנִיס. אוֹ דִּלְמָא: הָתָם אֲנִיס בְּתַקַּנְתָּא דְּתַקִּינוּ לֵיה רַבָּנַן, הָכָא לָא.","And there are who raised it as a dilemma: If fell ill, what is There, what is the reason due to that he was forced And here too, isn’t he forced Or, perhaps There, he was forced by an ordinance that was instituted by the Sages However, here, not","There is one who asks a question: He is sick, what is the law? There, what is the reason? — Because he was forced, and here too he was forced. Or perhaps there, he was forced due to the enactment of the Rabbis, but not here.",20.1733,65.3061,0.7058,-0.91,-0.7587,0.239,0.761,0.0,0.175,0.825,0.0
Ketubot,2a,9,"וְאִם תִּמְצֵי לוֹמַר חָלָה הוּא מַעֲלֶה לָהּ מְזוֹנוֹת: חָלְתָה הִיא, מַהוּ? מָצֵי אָמַר לַהּ: אֲנָא הָא קָאֵימְנָא, אוֹ דִלְמָא מָצְיָא אָמְרָה לֵיהּ: ״נִסְתַּחֲפָה שָׂדֵהוּ״.","And if you say that if he fell ill, he provides her sustenance if she fell ill, what is Can he say to her: I am standing here Or perhaps she can say to him that his field was inundated,","""And if you might say that it is a sickness, he should provide her sustenance. Is it a sickness? What is it? He might say to her: 'I am standing here,' or perhaps she might say to him: 'His field has been ravaged.'""",11.7496,60.0,0.3279,-0.6808,0.0,0.131,0.869,0.0,0.0,1.0,0.0
Ketubot,2a,10,"וְאִם תִּמְצֵי לוֹמַר אָמְרָה לֵיהּ ״נִסְתַּחֲפָה שָׂדֵהוּ״ — פֵּירְסָה נִדָּה, מַהוּ?","And if you say that she say to him that his field was inundated, she became a menstruating woman what is","And if you were to say to him, ""She said to him, 'His field has been plowed,'"" - she has spread a rumor, what is the ruling?",8.3126,90.4762,0.3106,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
