book_name,page_ref,line_index,hebrew_text,human_translation,llm_translation,bleu_score,ter_score,cosine_similarity_score,human_sentiment_compound,llm_sentiment_compound,human_sentiment_neg,human_sentiment_neu,human_sentiment_pos,llm_sentiment_neg,llm_sentiment_neu,llm_sentiment_pos
Kiddushin,2a,1,"הָאִשָּׁה נִקְנֵית בְּשָׁלֹשׁ דְּרָכִים, וְקוֹנָה אֶת עַצְמָהּ בִּשְׁתֵּי דְרָכִים. נִקְנֵית בְּכֶסֶף, בִּשְׁטָר, וּבְבִיאָה. בְּכֶסֶף: בֵּית שַׁמַּאי אוֹמְרִים בְּדִינָר וּבְשָׁוֶה דִּינָר, וּבֵית הִלֵּל אוֹמְרִים: בִּפְרוּטָה וּבְשָׁוֶה פְּרוּטָה. וְכַמָּה הִיא פְּרוּטָה – אֶחָד מִשְּׁמֹנָה בָּאִיסָּר הָאִיטַלְקִי.","A woman is acquired in three ways, and she acquires herself, in two ways. She is acquired through money, through a document, and through sexual intercourse. through money, Beit Shammai say with one dinar or with worth one dinar. And Beit Hillel say: with one peruta , or with worth one peruta . And how much is one peruta , one-eighth of the Italian issar ,","The woman is acquired in three ways, and acquires herself in two ways. She is acquired with money, with a document, and with intercourse. With money: Beit Shammai say with a dinar or with the value of a dinar, and Beit Hillel say: with the smallest coin and with the value of the smallest coin. And how much is the smallest coin? - One out of eight in the Italian asar.",34.0006,53.0303,0.5251,0.4215,0.5859,0.0,0.939,0.061,0.0,0.931,0.069
Kiddushin,2a,2,"וְקוֹנָה אֶת עַצְמָהּ בְּגֵט וּבְמִיתַת הַבַּעַל. הַיְּבָמָה נִקְנֵית בְּבִיאָה, וְקוֹנָה אֶת עַצְמָהּ בַּחֲלִיצָה וּבְמִיתַת הַיָּבָם.","And acquires herself through a bill of divorce or through the death of the husband. A woman whose husband, who had a brother, died childless [ yevama acquired through intercourse. And she acquires herself, through ḥalitza or through the death of the yavam .","And she acquires herself in a bill of divorce and in the death of the husband. The yevamah is acquired through intercourse, and she acquires herself in halitzah and in the death of the yavam.",30.8947,54.5455,0.6386,-0.9081,-0.8316,0.241,0.759,0.0,0.196,0.804,0.0
Kiddushin,2a,3,"גְּמָ׳ הָאִשָּׁה נִקְנֵית. מַאי שְׁנָא הָכָא דְּתָנֵי ״הָאִשָּׁה נִקְנֵית״, וּמַאי שְׁנָא הָתָם דְּתָנֵי ״הָאִישׁ מְקַדֵּשׁ״? מִשּׁוּם דְּקָא בָּעֵי לְמִיתְנֵי כֶּסֶף,","a woman acquired What is different here that teaches: A woman is acquired, and what is different there, which teaches: A man betroths, because he wanted to teach money,","The text reads: ""Gemar ha'isha nikneit. Mai sh'na ha'ka d'tanei 'ha'isha nikneit', u'mai sh'na hatam d'tanei 'ha'ish mekadesh'? Mishum d'ka ba'i l'mitnei kesef."" Translation: ""The status of a woman is acquired. What is different here that it teaches 'the woman is acquired,' and what is different there that it teaches 'the man sanctifies'? Because it requires money to be given.""",14.2416,151.7241,0.2896,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Kiddushin,2a,4,"וְכֶסֶף מְנָא לַן – גָּמַר ״קִיחָה״ ״קִיחָה״ מִשְּׂדֵה עֶפְרוֹן. כְּתִיב הָכָא: ״כִּי יִקַּח אִישׁ אִשָּׁה״, וּכְתִיב הָתָם: ״נָתַתִּי כֶּסֶף הַשָּׂדֶה קַח מִמֶּנִּי״,","And from where do we money? derived taking from taking the field of Ephron. It is written here, “When a man takes a woman” and it is written there, “I will give money for the field; take it from me”","""And silver is with us - he concluded 'purchase.' 'Purchase' from the field of Ephron. It is written here: 'When a man takes a wife,' and it is written there: 'I have given the money for the field, take it from me.'""",32.7204,52.5,0.5915,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Kiddushin,2a,5,"וְקִיחָה אִיקְּרִי ״קִנְיָן״, דִּכְתִיב: ״הַשָּׂדֶה אֲשֶׁר קָנָה אַבְרָהָם״.",And taking is called an acquisition as it is written “The field which Abraham acquired”,"And the acquisition is called ""kinyan,"" as it is written: ""the field that Abraham bought.""",14.6105,46.6667,0.6084,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Kiddushin,2b,1,"אִי נָמֵי, ״שָׂדוֹת בַּכֶּסֶף יִקְנוּ״, תָּנֵי ״הָאִשָּׁה נִקְנֵית״.","Alternatively, “They shall acquire fields with money” he taught: A woman is acquired.","If they say, ""Fields with money they shall acquire,"" it was taught: ""The woman is acquired.""",14.072,100.0,0.7932,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Kiddushin,2b,2,"וְנִיתְנֵי הָתָם ״הָאִישׁ קוֹנֶה״! מֵעִיקָּרָא תָּנֵי לִישָּׁנָא דְאוֹרָיְיתָא, וּלְבַסּוֹף תָּנֵי לִישָּׁנָא דְרַבָּנַן, וּמַאי לִישָּׁנָא דְרַבָּנַן? – דְּאָסַר לַהּ אַכּוּלֵּי עָלְמָא כְּהֶקְדֵּשׁ.","But let teach there, A man acquires. Initially, taught the language of the Torah, And ultimately, it taught the language of the Sages. And what language of the Sages? that renders her forbidden to everyone like consecrated","And it is taught there, ""the man acquires""! Initially it teaches for the repetition of the Torah, and in the end it teaches for the repetition of the Rabbis, and what is the repetition of the Rabbis? - That he prohibited her from eating regular food like consecrated items.",8.0595,81.0811,0.2463,-0.1154,0.4199,0.09,0.83,0.079,0.0,0.944,0.056
Kiddushin,2b,3,"וְנִיתְנֵי הָכָא ״הָאִישׁ קוֹנֶה״! מִשּׁוּם דְּקָא בָּעֵי לְמִיתְנָא סֵיפָא: ״וְקוֹנָה אֶת עַצְמָהּ״ בְּדִידַהּ, תְּנָא נָמֵי רֵישָׁא בְּדִידַהּ.","And let it teach here, A man acquires. because wanted to teach the latter clause And she acquires herself, with regard to her. also taught with regard to her the first clause.","And it is taught here, ""the man acquires""! Because it wants to teach the continuation: ""and acquires herself"" on her own, a Tanna also taught at the beginning on its own.",6.9441,71.875,0.4388,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Kiddushin,2b,4,"וְנִיתְנֵי ״הָאִישׁ קוֹנֶה וּמַקְנֶה״! מִשּׁוּם דְּאִיכָּא מִיתַת הַבַּעַל, דְּלָאו אִיהוּ קָא מַקְנֵי – מִן שְׁמַיָּא הוּא דְּמַקְנִי לָהּ.","But Let it teach: The man can acquire and transfer because there is the husband’s death, in it is not he who transfers it is from Heaven that is transferred to her.","""And it is taught: 'The husband acquires and transfers!' Because there is the death of the husband, for he is not the one acquiring – it is from heaven that he acquires for her.""",8.6008,68.75,0.5657,-0.2263,-0.2244,0.134,0.754,0.112,0.109,0.805,0.086
Kiddushin,2b,5,"וְאִי בָּעֵית אֵימָא: אִי תְּנָא ״קוֹנֶה״, הֲוָה אָמֵינָא אֲפִילּוּ בְּעַל כׇּרְחָהּ – תְּנָא ״הָאִשָּׁה נִקְנֵית״, דְּמִדַּעְתָּהּ – אִין, שֶׁלֹּא מִדַּעְתָּהּ – לָא.","And if you wish, say If taught: acquires I would say even against her will, taught: The woman is acquired, that with her consent, yes, when without her consent, no,","If you wish, I will say: If a Tanna says ""acquires,"" I would say even against her will - a Tanna says ""a woman is acquired,"" if with her knowledge - yes, if without her knowledge - no.",23.854,73.3333,0.6191,0.8437,0.7421,0.0,0.684,0.316,0.0,0.793,0.207
Kiddushin,2b,6,"וּמַאי אִירְיָא דְּתָנֵי ״שָׁלֹשׁ״? לִיתְנֵי ״שְׁלֹשָׁה״! מִשּׁוּם דְּקָא בָּעֵי לְמִיתְנֵי ״דֶּרֶךְ״ וְ״דֶרֶךְ״ לְשׁוֹן נְקֵבָה הוּא, דִּכְתִיב: ״וְהוֹדַעְתָּ לָהֶם אֶת הַדֶּרֶךְ יֵלְכוּ בָהּ״.","And why does specifically teach: Three [ shalosh ] Let it teach: Three [ shelosha ] because it wants to teach way [ derekh ], and derekh is formulated feminine, as it is written: “And you shall show them the way [ derekh ] in which [ bah ] they must walk”","The Gemara asks: And what is the reason that it teaches ""three""? It should teach ""three (masculine)""! Because it needs to teach ""way"" and ""way"" is a feminine language, as it is written: ""And you shall instruct them in the way they shall go.""",11.4535,73.0769,0.435,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Kiddushin,2b,7,"וְאֶלָּא הָא דְּתַנְיָא: ״בְּשִׁבְעָה דְּרָכִים בּוֹדְקִין אֶת הַזָּב״, נִיתְנֵי ״שֶׁבַע״! מִשּׁוּם דְּקָא בָּעֵי לְמִיתְנֵי ״דֶּרֶךְ״, וְאַשְׁכְּחַן ״דֶּרֶךְ״ דְּאִיקְּרִי לְשׁוֹן זָכָר, דִּכְתִיב: ״בְּדֶרֶךְ אֶחָד יֵצְאוּ אֵלֶיךָ וּבְשִׁבְעָה דְרָכִים יָנוּסוּ לְפָנֶיךָ״. אִי הָכִי, קָשׁוּ קְרָאֵי אַהֲדָדֵי! וְקַשְׁיָא נָמֵי מַתְנִיתִין אַהֲדָדֵי!","But that which is taught One examines a zav in seven [ shiva ] ways [ derakhim ], let it teach: Seven [ sheva ] because it wanted to teach: Derekh , and we find derekh is referred to masculine form, as it is written: “They shall come out against you one way [ derekh ], and shall flee before you seven [ shiva ] ways” If so, the verses contradict each other, And the mishnayot contradict each other,","And rather, this that it was taught: ""In seven ways one examines the zav,"" it should have said ""seven""! Because it wanted to teach ""way,"" and we find ""way"" that specifically denotes the masculine gender, as it is written: ""By one way they will come out to you, but by seven ways they will flee before you."" If so, the verses contradict each other! And the Mishnahs also contradict each other!",21.8171,63.2911,0.6399,-0.7711,-0.8209,0.091,0.909,0.0,0.099,0.901,0.0
Kiddushin,2b,8,"קְרָאֵי אַהֲדָדֵי לָא קַשְׁיָין: הָכָא, דִּבְתוֹרָה קָאֵי, וְתוֹרָה אִיקְּרִי לְשׁוֹן נְקֵבָה, דִּכְתִיב: ״תּוֹרַת ה׳ תְּמִימָה מְשִׁיבַת נָפֶשׁ״ – כָּתַב לָהּ בִּלְשׁוֹן נְקֵבָה. הָתָם, דִּבְמִלְחָמָה קָאֵי, דְּדַרְכּוֹ שֶׁל אִישׁ לַעֲשׂוֹת מִלְחָמָה וְאֵין דַּרְכָּהּ שֶׁל אִשָּׁה לַעֲשׂוֹת מִלְחָמָה – כָּתַב לָהּ בִּלְשׁוֹן זָכָר.","The verses do not contradict each other. Here, is referring to the Torah, and Torah is referred to feminine form, as it is written: “The Torah of the Lord is perfect [ temima ], restoring the soul” writes: formulated feminine. There, that is referring to war, as it is the way of a man to wage war and it is not the way of a woman to wage war, writes formulated masculine.","The verses of Ahadadei are not difficult. Here, where it stands in the Torah, and Torah is called a feminine language, as it is written: ""The Torah of the Lord is perfect, restoring the soul"" - it was written in a feminine language. There, where it stands in matters of war, for it is the way of a man to engage in war, and it is not the way of a woman to engage in war - it was written in a masculine language.",35.9471,62.5,0.5916,-0.7039,-0.1999,0.142,0.763,0.095,0.125,0.726,0.149
Kiddushin,2b,9,"מַתְנִיתִין אַהֲדָדֵי לָא קַשְׁיָין: הָכָא, דִּלְגַבֵּי אִשָּׁה קָאֵי – קָתָנֵי לַהּ בִּלְשׁוֹן נְקֵבָה. הָתָם, דִּלְגַבֵּי אִישׁ קָאֵי, דְּדַרְכּוֹ שֶׁל אִישׁ לִיבָּדֵק וְאֵין דַּרְכָּהּ שֶׁל אִשָּׁה לִיבָּדֵק, דְּהָא אִשָּׁה נָמֵי בְּאוֹנֶס מִיטַּמְּאָהּ – תָּנֵי לְשׁוֹן זָכָר.","mishnayot do not contradict each other: Here, where it is referring to a woman, the mishna teaches formulated feminine. There, where it is referring to a man, as common for a man to undergo an examination but it is not common for a woman to undergo an examination, since, a woman is rendered impure even by circumstances beyond control, it taught formulated masculine.","Mishna: Adadei la kashyain. Haka, dilgabei isha ka'ei - katanai la bilsheon nekevah. Hatam, dilgabei ish ka'ei, de'darko shel ish libadek ve'ein darkaha shel isha libadek, deha isha namei be'ones mitma'ah - tanai leshon zachar. Translation: Mishna: They are not difficult to reconcile. Here, where it is regarding a woman - it teaches in the language of female. There, where it is regarding a man, since the way of a man is to inspect and the way of a woman is not to inspect, for a woman is also coerced, it teaches in the language of male.",12.5378,128.5714,0.137,0.1232,-0.1002,0.0,0.975,0.025,0.027,0.95,0.023
Kiddushin,2b,10,"מַאי טַעְמָא תָּנֵי ״שָׁלֹשׁ״ – מִשּׁוּם ״דְּרָכִים״? נִיתְנֵי ״דְּבָרִים״ וְנִיתְנֵי ״שְׁלֹשָׁה״! מִשּׁוּם דְּקָבָעֵי לְמִיתְנֵי ״בִּיאָה״, וּבִיאָה אִיקְּרִי ״דֶּרֶךְ״, דִּכְתִיב: ״וְדֶרֶךְ גֶּבֶר בְּעַלְמָה כֵּן דֶּרֶךְ אִשָּׁה מְנָאָפֶת״.","What is the reason teaches: Three [ shalosh ], because Ways. But let it teach Matters, and let it teach three [ shelosha ], because it wanted to teach intercourse and intercourse is called a way as it is written: “And the way of a man with a young woman, so is the way of an adulterous woman”","What is the reason that it teaches ""three"" - because of ""ways""? It could have taught ""things"" and it could have taught ""three""! Because they established to teach ""intercourse,"" and intercourse is called ""way,"" as it is written: ""And the way of a man with a maiden, so is the way of a woman who commits adultery.""",26.0954,51.7241,0.6419,0.0387,0.1007,0.0,0.978,0.022,0.0,0.974,0.026
Kiddushin,2b,11,"הָא תִּינַח ״בִּיאָה״, ״כֶּסֶף״ וּ״שְׁטָר״ מַאי אִיכָּא לְמֵימַר? מִשּׁוּם ״בִּיאָה״.","This works out well intercourse, what is there to say money and a document? Because intercourse,","This is the case of ""bi'ah,"" ""kesef,"" and ""shetar,"" what is there to say? Because of ""bi'ah.""",14.9664,87.5,0.1196,0.2732,0.0,0.0,0.87,0.13,0.0,1.0,0.0
Kiddushin,2b,12,וְתָנֵי תַּרְתֵּי אַטּוּ חֲדָא? הָנָךְ נָמֵי צוֹרֶךְ בִּיאָה נִינְהוּ.,"And teach two due to one? These, too, are for the sake of sexual intercourse.","And he taught two, but is it not one? Here, it is necessary for intercourse they are.",5.4314,106.6667,0.3295,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Kiddushin,2b,13,"וְאִי בָּעֵית אֵימָא: הָא מַנִּי – רַבִּי שִׁמְעוֹן הִיא, דְּתַנְיָא, רַבִּי שִׁמְעוֹן אוֹמֵר: מִפְּנֵי מָה אָמְרָה תּוֹרָה ״כִּי יִקַּח אִישׁ אִשָּׁה״, וְלֹא כָּתַב ״כִּי תִּלָּקַח אִשָּׁה לְאִישׁ״? – מִפְּנֵי שֶׁדַּרְכּוֹ שֶׁל אִישׁ לְחַזֵּר עַל אִשָּׁה וְאֵין דַּרְכָּהּ שֶׁל אִשָּׁה לְחַזֵּר עַל אִישׁ. מָשָׁל לְאָדָם שֶׁאָבְדָה לוֹ אֲבֵידָה – מִי חוֹזֵר עַל מִי? בַּעַל אֲבֵידָה מְחַזֵּר עַל אֲבֵידָתוֹ.","And if you wish, say whose is this It is Rabbi Shimon, as it is taught Rabbi Shimon says: For what did the Torah say: “When a man takes a woman” and did not write: “When a woman is taken by a man? Because it is the way [ derekh ] of a man to pursue a woman, and it is not the way of a woman to pursue a man. a parable of a man who lost an item. Who searches for what? the owner of the lost item searches for his lost item,","And if you wish, say: This is the teaching of Rabbi Shimon, as it was taught: Rabbi Shimon says: Why did the Torah say, ""When a man takes a wife,"" and not write, ""When a woman is taken by a man""? Because it is the way of a man to pursue a woman, but it is not the way of a woman to pursue a man. It is analogous to a person who lost an item - who pursues whom? The owner of the lost item pursues his lost item.",49.7858,34.7368,0.8171,-0.5514,-0.8105,0.082,0.888,0.03,0.106,0.873,0.021
Kiddushin,2b,14,"וְהָא דִּתְנַן: ״בְּשִׁבְעָה דְּרָכִים בּוֹדְקִין אֶת הַזָּב״, לִיתְנֵי ״דְּבָרִים״! הָתָם הָא קָא מַשְׁמַע לַן, דְּדַרְכָּא דְּמֵיכְלָא יַתִּירָא לְאֵתוֹיֵי לִידֵי זִיבָה, וְדַרְכָּא דְּמִישְׁתְּיָא יַתִּירָא לְאֵתוֹיֵי לִידֵי זִיבָה.","But that which we learned One examines a zav in seven ways, Let it teach Matters. there teaches us this that it is the way of excessive eating to lead to ziva , and it is the way of excessive drinking to lead to ziva .","And this that we learned: ""In seven ways one examines the zav,"" should it not teach ""things""! There, it is teaching us that the way of eating more will lead to causing emissions, and the way of drinking more will lead to causing emissions.",8.1202,60.8696,0.5207,0.0387,0.0,0.0,0.973,0.027,0.0,1.0,0.0
Kiddushin,2b,15,"וְהָא דִּתְנַן: ״אֶתְרוֹג שָׁוֶה לָאִילָן בִּשְׁלֹשָׁה דְּרָכִים״, לִיתְנֵי ״דְּבָרִים״! מִשּׁוּם דְּבָעֵינַן מִתְנֵי סֵיפָא: ״וְלַיָּרָק בְּדֶרֶךְ אֶחָד״. סֵיפָא נָמֵי, נִיתְנֵי ״דָּבָר״!","And that which we learned an etrog correspond to a tree in three ways. Let it teach matters. Because it wants to teach in latter clause: And to a vegetable in one way, latter clause too, let teach: Matter,","And this that we learned: ""An etrog is equal to a tree in three ways,"" it should teach ""things""! Because we need to learn the end: ""And for vegetables in one way."" The end also, it should teach ""a thing""!",14.1051,71.7949,0.4565,0.0516,0.0,0.0,0.941,0.059,0.0,1.0,0.0
Kiddushin,3a,1,"הָתָם הָא קָמַשְׁמַע לַן, דְּדַרְכֵּיהּ דְּאֶתְרוֹג כְּיָרָק – מָה יָרָק דַּרְכּוֹ לִיגְדַּל עַל כׇּל מַיִם וּבִשְׁעַת לְקִיטָתוֹ עִישּׂוּרוֹ, אַף אֶתְרוֹג דַּרְכּוֹ לִיגְדַּל עַל כׇּל מַיִם וּבִשְׁעַת לְקִיטָתוֹ עִישּׂוּרוֹ.","There, teaches us this, that way an etrog like a vegetable: Just as it is the way of a vegetable to grow by all water, and its tithing is according to when it is harvested, so too, it is the way of an etrog to grow by all water, and its tithing is according to the time when it is harvested.","There, this is what we heard, that the way of a citron is like that of a vegetable - just as the vegetable's way is to grow over all waters, and at the time of its plucking, its fragrance increases, so too the citron's way is to grow over all waters, and at the time of its plucking, its fragrance increases.",10.0063,72.1311,0.4513,0.3612,0.3612,0.0,0.959,0.041,0.0,0.958,0.042
Kiddushin,3a,2,"וְהָא דִּתְנַן: ״כּוֹי – יֵשׁ בּוֹ דְּרָכִים שָׁוֶה לַחַיָּה, וְיֵשׁ בּוֹ דְּרָכִים שָׁוֶה לַבְּהֵמָה, וְיֵשׁ בּוֹ דְּרָכִים שָׁוֶה לַחַיָּה וְלַבְּהֵמָה, וְיֵשׁ בּוֹ דְּרָכִים שֶׁאֵינוֹ שָׁוֶה לֹא לַחַיָּה וְלֹא לַבְּהֵמָה״. נִיתְנֵי ״דְּבָרִים״! וְתוּ, הָא דִּתְנַן: ״זוֹ אַחַת מִן הַדְּרָכִים שֶׁשָּׁווּ גִּיטֵּי נָשִׁים לְשִׁחְרוּרֵי עֲבָדִים״, נִיתְנֵי ״דְּבָרִים״!","But that which we learned a koy , there are ways, in correspond to a non-domesticated animal and there are ways in correspond to a domesticated animal. And there are ways in correspond to a non-domesticated animal and a domesticated animal, and there are ways in correspond to neither a non-domesticated animal nor a domesticated animal. Let teach Matters. And furthermore, that which we learned This is one of the ways in which bills of divorce correspond to manumission, let teach Matters.","Talmudic text: And this that we learned: ""A koi - it has ways similar to a wild animal, and it has ways similar to a domestic animal, and it has ways that are similar to both a wild animal and a domestic animal, and it has ways that are not similar to either a wild animal or a domestic animal."" It was taught in ""Devarim""! And come, this that we learned: ""This is one of the ways that women's documents of manumission are similar,"" it was taught in ""Devarim""!",9.9487,73.1707,0.3942,0.0772,0.0,0.0,0.969,0.031,0.0,1.0,0.0
Kiddushin,3a,3,"אֶלָּא, כֹּל הֵיכָא דְּאִיכָּא פְּלוּגְתָּא תָּנֵי ״דְּרָכִים״, וְכֹל הֵיכָא דְּלֵיכָּא פְּלוּגְתָּא תָּנֵי ״דְּבָרִים״. דַּיְקָא נָמֵי, דְּקָתָנֵי סֵיפָא: ״רַבִּי אֱלִיעֶזֶר אוֹמֵר: אֶתְרוֹג שָׁוֶה לָאִילָן לְכׇל דָּבָר״. שְׁמַע מִינַּהּ.","Rather, anywhere that there is a distinction teaches Ways, And anywhere that there is no distinction it teaches Matters. is also precise as it teaches in the latter clause Rabbi Eliezer says: an etrog correspond to a tree with regard to every matter. Learn from","Rather, wherever there is a dispute, it teaches ""ways,"" and wherever there is no dispute, it teaches ""things."" This is specifically stated in the latter part: ""Rabbi Eliezer says: An etrog is equal to a tree in every respect."" Learn from it.",12.9908,51.1111,0.4299,-0.25,-0.765,0.05,0.901,0.05,0.17,0.83,0.0
Kiddushin,3a,4,"מִנְיָינָא דְרֵישָׁא לְמַעוֹטֵי מַאי, מִנְיָינָא דְסֵיפָא לְמַעוֹטֵי מַאי?",the number in the first clause to exclude what? the number in the latter clause to exclude what?,"The count of the first clause to exclude what, the count of the last clause to exclude what?",43.3199,33.3333,0.5632,-0.3736,-0.4215,0.2,0.674,0.125,0.192,0.808,0.0
Kiddushin,3a,5,"מִנְיָינָא דְרֵישָׁא – לְמַעוֹטֵי חוּפָּה. וּלְרַב הוּנָא, דְּאָמַר חוּפָּה קוֹנָה מִקַּל וָחוֹמֶר, לְמַעוֹטֵי מַאי?","The number in the first clause to exclude canopy, And according to Rav Huna, who said: canopy acquires by an a fortiori to exclude what?","Talmudic text: The count of the first - to exclude a fence. And according to Rav Huna, who said a fence acquires through a logical inference, to exclude what?",32.2875,56.0,0.4269,-0.3612,-0.4215,0.146,0.805,0.05,0.142,0.858,0.0
Kiddushin,3a,6,"לְמַעוֹטֵי חֲלִיפִין. סָלְקָא דַּעְתָּךְ אָמֵינָא, הוֹאִיל וְגָמַר ״קִיחָה״ ״קִיחָה״ מִשְּׂדֵה עֶפְרוֹן – מָה שָׂדֶה מִקַּנְיָא בַּחֲלִיפִין, אַף אִשָּׁה נָמֵי מִקַּנְיָא בַּחֲלִיפִין, קָמַשְׁמַע לַן.","to exclude exchange, enter your mind to say since derive taking from taking the field of Ephron, just as a field can be acquired through exchange, so too, a woman can be acquired through exchange. teaches us","Regarding the exchange of fields. Your mind has come to say, since it has completed ""a field"" ""a field"" from the field of Ephron - just as a field is included in exchanges, so too a woman is also included in exchanges, this is what we have heard.",12.3424,94.5946,0.4135,-0.2263,0.0,0.053,0.947,0.0,0.0,1.0,0.0
