book_name,page_ref,line_index,hebrew_text,human_translation,llm_translation,bleu_score,ter_score,cosine_similarity_score,human_sentiment_compound,llm_sentiment_compound,human_sentiment_neg,human_sentiment_neu,human_sentiment_pos,llm_sentiment_neg,llm_sentiment_neu,llm_sentiment_pos
Makkot,2a,1,"מַתְנִי׳ כֵּיצַד הָעֵדִים נַעֲשִׂים זוֹמְמִין? ״מְעִידִין אָנוּ בְּאִישׁ פְּלוֹנִי שֶׁהוּא בֶּן גְּרוּשָׁה אוֹ בֶּן חֲלוּצָה״, אֵין אוֹמְרִים: יֵעָשֶׂה זֶה בֶּן גְּרוּשָׁה אוֹ בֶּן חֲלוּצָה תַּחְתָּיו, אֶלָּא לוֹקֶה אַרְבָּעִים.","How are witnesses rendered conspiring We testify with regard to so-and-so, that he is the son of a divorced woman or the son of a ḥalutza , one does not say This shall be rendered the son of a divorced woman or the son of a ḥalutza in his stead. Rather, he receives forty lashes","The Mishnah teaches: How are conspiring witnesses made? ""We testify regarding a certain individual that he is the son of a divorced woman or the son of a halutzah."" One does not say, ""Let this one be the son of a divorced woman or the son of a halutzah in his place,"" rather, he receives forty lashes.",44.592,34.5455,0.6806,0.0,0.2732,0.0,1.0,0.0,0.0,0.96,0.04
Makkot,2a,2,"״מְעִידִין אָנוּ בְּאִישׁ פְּלוֹנִי שֶׁהוּא חַיָּיב לִגְלוֹת״, אֵין אוֹמְרִים: יִגְלֶה זֶה תַּחְתָּיו, אֶלָּא לוֹקֶה אַרְבָּעִים.","We testify with regard to so-and-so that he is liable to be exiled one does not say This shall be exiled in his stead. Rather, he receives forty lashes.","""We testify regarding a certain individual that he is obligated to reveal,"" we do not say: ""Let this one reveal in his place,"" rather, he receives forty lashes.",20.0273,55.1724,0.3631,0.0,0.2732,0.0,1.0,0.0,0.0,0.925,0.075
Makkot,2a,3,"גְּמָ׳ הָא ״כֵּיצַד אֵין הָעֵדִים נַעֲשִׂים זוֹמְמִין״ מִיבְּעֵי לֵיהּ! וְעוֹד, מִדְּקָתָנֵי לְקַמַּן: אֲבָל אָמְרוּ לָהֶם: ״הֵיאַךְ אַתֶּם מְעִידִין, הֲרֵי בְּאוֹתוֹ הַיּוֹם אַתֶּם הֱיִיתֶם עִמָּנוּ בְּמָקוֹם פְּלוֹנִי״ – הֲרֵי אֵלּוּ זוֹמְמִין, מִכְּלָל דְּאֵלּוּ אֵין זוֹמְמִין!","But should have How are witnesses not rendered conspiring And furthermore, from that teaches later But said to them: How you testify on that day you were with us in such and such place, these are conspiring by inference those are not conspiring","The text: ""Gemara: 'How are the witnesses not made into conspirators?' - What does he ask? Furthermore, from what is taught later: 'But if they said to them: ""How can you testify, for on that day you were with us in such and such a place"" - these are conspirators, which implies that these are not conspirators!""",21.7487,76.7442,0.5303,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Makkot,2a,4,"תַּנָּא הָתָם קָאֵי: כׇּל הַזּוֹמְמִין מַקְדִּימִין לְאוֹתָהּ מִיתָה, חוּץ מִזּוֹמְמֵי בַּת כֹּהֵן וּבוֹעֲלָהּ, שֶׁאֵין מַקְדִּימִין לְאוֹתָהּ מִיתָה אֶלָּא לְמִיתָה אַחֶרֶת.","The tanna is standing there All who are conspiring witnesses are led to the same execution except for conspiring the daughter of a priest and her paramour that not taken directly to the same execution rather, a different execution,","The Mishnah there teaches: All conspirators precede her death, except for conspirators of a Kohen's daughter and her seducer, as they do not precede her death except for another death.",3.7235,79.4872,0.1688,0.0,-0.9136,0.0,1.0,0.0,0.31,0.69,0.0
Makkot,2a,5,"וְיֵשׁ עֵדִים זוֹמְמִין אֲחֵרִים, שֶׁאֵין עוֹשִׂין בָּהֶן דִּין הֲזָמָה כׇּל עִיקָּר, אֶלָּא מַלְקוֹת אַרְבָּעִים, כֵּיצַד? ״מְעִידִין אָנוּ בְּאִישׁ פְּלוֹנִי שֶׁהוּא בֶּן גְּרוּשָׁה אוֹ בֶּן חֲלוּצָה״, אֵין אוֹמְרִים: יֵעָשֶׂה זֶה בֶּן גְּרוּשָׁה אוֹ בֶּן חֲלוּצָה תַּחְתָּיו, אֶלָּא לוֹקֶה אֶת הָאַרְבָּעִים.","And there are other conspiring witnesses with regard to whom does not apply the halakhot conspiring at all, Rather, forty lashes. How, We testify with regard to so-and-so that he is the son of a divorced woman or the son of a ḥalutza , one does not say This shall be rendered the son of a divorced woman or the son of a ḥalutza in his stead. Rather, he receives forty lashes.","And there are conspiring witnesses, who do not incur the full penalty of conspiring, but rather receive forty lashes. How so? ""We testify concerning a certain individual that he is the son of a divorcee or the son of a halutzah,"" one does not say: ""Let this one be considered the son of a divorcee or the son of a halutzah in his place,"" but he receives the forty lashes.",29.7862,50.0,0.5408,0.0,0.1655,0.0,1.0,0.0,0.03,0.931,0.039
Makkot,2a,6,"מְנָהָנֵי מִילֵּי? אָמַר רַבִּי יְהוֹשֻׁעַ בֶּן לֵוִי אָמַר רַבִּי שִׁמְעוֹן בֶּן לָקִישׁ: דְּאָמַר קְרָא: ״וַעֲשִׂיתֶם לוֹ כַּאֲשֶׁר זָמַם״, ״לוֹ״ – וְלֹא לְזַרְעוֹ. וְלִיפְסְלוּהוּ לְדִידֵיהּ וְלָא לִיפְסְלוּ לְזַרְעֵיהּ! בָּעִינַן ״כַּאֲשֶׁר זָמַם לַעֲשׂוֹת״, וְלֵיכָּא.","From where is this matter Rabbi Yehoshua ben Levi says Rabbi Shimon ben Lakish says: as the verse states: “And you shall do to him as he conspired” “to him,” but not to his offspring. Let invalidate and not invalidate his offspring. we require “as he conspired to do” and not","Talmudic text: What are the consequences of these matters? Rabbi Yehoshua ben Levi said in the name of Rabbi Shimon ben Lakish: As the verse states, ""And you shall do to him as he plotted,"" ""to him"" – and not to his descendants. They should disqualify it for themselves, and not disqualify it for their descendants! We require ""to do as he plotted,"" and it is not so.",17.4327,84.3137,0.3828,0.0161,0.1007,0.0,0.979,0.021,0.0,0.979,0.021
Makkot,2a,7,"בַּר פְּדָא אוֹמֵר: קַל וָחוֹמֶר, וּמָה הַמְחַלֵּל אֵינוֹ מִתְחַלֵּל, הַבָּא לְחַלֵּל וְלֹא חִילֵּל – אֵינוֹ דִּין שֶׁלֹּא יִתְחַלֵּל? מַתְקֵיף לַהּ רָבִינָא: אִם כֵּן בִּטַּלְתָּ תּוֹרַת עֵדִים זוֹמְמִין!","Bar Padda says an a fortiori If one who disqualifies is not disqualified who came to disqualify and did not disqualify isn’t it logical that he should not be disqualified? Ravina objects to this If so, you have rendered the halakha of conspiring witnesses obsolete,","Bar Pedah says: ""Kal vachomer, and what about one who desecrates and is not desecrated, if one comes to desecrate and does not desecrate - is it not fitting that he should not be desecrated?"" Ravina objects: ""If so, you have nullified the Torah of false witnesses!""",16.2659,64.4444,0.2414,0.3536,0.0,0.046,0.857,0.097,0.0,1.0,0.0
Makkot,2b,1,"וּמָה הַסּוֹקֵל אֵינוֹ נִסְקָל, הַבָּא לִסְקוֹל וְלֹא סָקַל – אֵינוֹ דִּין שֶׁלֹּא יִסָּקֵל? אֶלָּא מְחַוַּורְתָּא כִּדְשַׁנִּינַן מֵעִיקָּרָא.","If one who stones is not stoned, who came to stone and and did not stone isn’t it logical that he should not be stoned? Rather, it is clear as we answered initially:","And what is the case of one who is to be stoned but is not stoned, one who comes to be stoned but does not stone - is it not a judgment that he should not be stoned? Rather, it is a matter of ""mechavvarta"" as we learn from the outset.",25.1644,90.9091,0.641,0.3818,0.0387,0.0,0.925,0.075,0.0,0.976,0.024
Makkot,2b,2,"מְעִידִין אָנוּ בְּאִישׁ פְּלוֹנִי שֶׁהוּא חַיָּיב גָּלוּת כּוּ׳. מְנָא הָנֵי מִילֵּי? אָמַר רֵישׁ לָקִישׁ: דְּאָמַר קְרָא: ״הוּא יָנוּס אֶל אַחַת הֶעָרִים״ – הוּא, וְלָא זוֹמְמִין.","We testify with regard to so-and-so that he is liable to exile, From where is this matter Reish Lakish says: as the verse states “And he shall flee to one of the cities” He but conspiring not.","We testify regarding a certain individual that he is liable for exile. How do we know these matters? Reish Lakish said: As the verse states, ""He shall flee to one of the cities"" - he, and not the witnesses.",20.8333,62.1622,0.6226,0.0161,0.296,0.0,0.971,0.029,0.0,0.916,0.084
Makkot,2b,3,"רַבִּי יוֹחָנָן אוֹמֵר: קַל וָחוֹמֶר: וּמָה הוּא, שֶׁעָשָׂה מַעֲשֶׂה – בְּמֵזִיד אֵינוֹ גּוֹלֶה, הֵן, שֶׁלֹּא עָשׂוּ מַעֲשֶׂה – בְּמֵזִיד אֵינוֹ דִּין שֶׁלֹּא יִגְלוּ?","Rabbi Yoḥanan says: an a fortiori If who performed an action intentionally, he would not be exiled who did not perform an action, intentionally, isn’t it logical that they should not be exiled?","Rabbi Yochanan says: Kal vachomer: And what is it? That if one performed an action intentionally, he is not exiled; so, if they did not perform an action intentionally, is it not logical that they should not be liable to exile?",29.4048,60.6061,0.745,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
