book_name,page_ref,line_index,hebrew_text,human_translation,llm_translation,bleu_score,ter_score,cosine_similarity_score,human_sentiment_compound,llm_sentiment_compound,human_sentiment_neg,human_sentiment_neu,human_sentiment_pos,llm_sentiment_neg,llm_sentiment_neu,llm_sentiment_pos
Megillah,2a,1,"מְגִילָּה נִקְרֵאת בְּאַחַד עָשָׂר, בִּשְׁנֵים עָשָׂר, בִּשְׁלֹשָׁה עָשָׂר, בְּאַרְבָּעָה עָשָׂר, בַּחֲמִשָּׁה עָשָׂר. לֹא פָּחוֹת, וְלֹא יוֹתֵר. כְּרַכִּין הַמּוּקָּפִין חוֹמָה מִימוֹת יְהוֹשֻׁעַ בִּן נוּן — קוֹרִין בַּחֲמִשָּׁה עָשָׂר, כְּפָרִים וַעֲיָירוֹת גְּדוֹלוֹת — קוֹרִין בְּאַרְבָּעָה עָשָׂר, אֶלָּא שֶׁהַכְּפָרִים מַקְדִּימִין לְיוֹם הַכְּנִיסָה.","The Megilla is read on the eleventh, on the twelfth, on the thirteenth, on the fourteenth, on the fifteenth not earlier and not later. Cities [ kerakin ] that have been surrounded by a wall since the days of Joshua, son of Nun, read on the fifteenth villages and large towns read on the fourteenth. However, that the villages may advance to the day of assembly,","The tractate of Megillah is read on the eleventh, on the twelfth, on the thirteenth, on the fourteenth, and on the fifteenth. Not less, and not more. Walled cities from the days of Joshua son of Nun - read on the fifteenth. Large villages and towns - read on the fourteenth, except that villages precede the day of entry.",39.7889,48.4848,0.7916,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Megillah,2a,2,"כֵּיצַד: חָל לִהְיוֹת אַרְבָּעָה עָשָׂר בַּשֵּׁנִי — כְּפָרִים וַעֲיָירוֹת גְּדוֹלוֹת קוֹרִין בּוֹ בַיּוֹם, וּמוּקָּפוֹת חוֹמָה לְמָחָר. חָל לִהְיוֹת בַּשְּׁלִישִׁי אוֹ בָּרְבִיעִי — כְּפָרִים מַקְדִּימִין לְיוֹם הַכְּנִיסָה, וַעֲיָירוֹת גְּדוֹלוֹת קוֹרִין בּוֹ בַיּוֹם, וּמוּקָּפוֹת חוֹמָה לְמָחָר.","How so? the fourteenth occurs on Monday, the villages and large towns read on that day, and the walled cities on the next day, occurs on Tuesday or Wednesday, the villages advance to the day of assembly, the large towns read on that day, and the walled cities on the next day,","How: If it falls on the fourteenth on Monday - villages and large towns read it during the day, and walled cities read it the next day. If it falls on Tuesday or Wednesday - villages precede the day of entry, and large towns read it during the day, and walled cities the next day.",22.5651,51.9231,0.8147,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Megillah,2a,3,"חָל לִהְיוֹת בַּחֲמִישִׁי — כְּפָרִים וַעֲיָירוֹת גְּדוֹלוֹת קוֹרִין בּוֹ בַיּוֹם, וּמוּקָּפוֹת חוֹמָה לְמָחָר. חָל לִהְיוֹת עֶרֶב שַׁבָּת — כְּפָרִים מַקְדִּימִין לְיוֹם הַכְּנִיסָה, וַעֲיָירוֹת גְּדוֹלוֹת וּמוּקָּפוֹת חוֹמָה קוֹרִין בּוֹ בַיּוֹם.","occurs on Thursday, the villages and large towns read on that day, and the walled cities on the next day, occurs on Shabbat eve, the villages advance to the day of assembly, and the large towns and the walled cities read on that day,","It is common to be on Thursday - villages and large towns read it during the day, and walled cities read it the next day. It is common to be on Friday - villages precede the day of entry, and large towns and walled cities read it during the day.",18.4022,63.6364,0.71,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Megillah,2a,4,"חָל לִהְיוֹת בַּשַּׁבָּת — כְּפָרִים וַעֲיָירוֹת גְּדוֹלוֹת מַקְדִּימִין וְקוֹרִין לְיוֹם הַכְּנִיסָה, וּמוּקָּפוֹת חוֹמָה לְמָחָר. חָל לִהְיוֹת אַחַר הַשַּׁבָּת — כְּפָרִים מַקְדִּימִין לְיוֹם הַכְּנִיסָה, וַעֲיָירוֹת גְּדוֹלוֹת קוֹרִין בּוֹ בַיּוֹם, וּמוּקָּפוֹת חוֹמָה לְמָחָר.","occurs on Shabbat, the villages and large towns advance to the day of assembly, and the walled cities on the day after occurs on Sunday, the villages advance to the day of assembly, and the large towns read on that day, and the walled cities on the next day,","It is common for the new month to fall on Shabbat - villages and large towns precede the day of the entrance of the new month and read the Torah portion on the day of the entrance, and they encircle the town with a wall for protection for the next day. If the new month falls after Shabbat - villages precede the day of the entrance, and large towns read it on that day, and they encircle the town with a wall for the next day.",13.7308,118.3673,0.5019,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Megillah,2a,5,"גְּמָ׳ מְגִילָּה נִקְרֵאת בְּאַחַד עָשָׂר. מְנָלַן? מְנָלַן?! כִּדְבָעֵינַן לְמֵימַר לְקַמַּן: חֲכָמִים הֵקֵילּוּ עַל הַכְּפָרִים לִהְיוֹת מַקְדִּימִין לְיוֹם הַכְּנִיסָה, כְּדֵי שֶׁיְּסַפְּקוּ מַיִם וּמָזוֹן לַאֲחֵיהֶם שֶׁבַּכְּרַכִּים.","The Megilla is read on the eleventh From where do we From where do we as we intend to say further on: The Sages were lenient with the villages to advance to the day of assembly, so that they supply water and food to their brethren in the cities","Tractate Megillah is read on the eleventh. Whence do we know? Whence do we know?! As we will say later: The sages were lenient with the villagers to be ahead of the day of entry, so that they could provide water and food for their brethren in the villages.",25.643,42.8571,0.5002,0.2732,0.4122,0.0,0.958,0.042,0.0,0.946,0.054
Megillah,2a,6,"אֲנַן הָכִי קָאָמְרִינַן: מִכְּדִי כּוּלְּהוּ אַנְשֵׁי כְּנֶסֶת הַגְּדוֹלָה תַּקְּנִינְהוּ, דְּאִי סָלְקָא דַעְתָּךְ אַנְשֵׁי כְּנֶסֶת הַגְּדוֹלָה אַרְבָּעָה עָשָׂר וַחֲמִשָּׁה עָשָׂר תַּקּוּן — אָתוּ רַבָּנַן וְעָקְרִי תַּקַּנְתָּא דְּתַקִּינוּ אַנְשֵׁי כְּנֶסֶת הַגְּדוֹלָה? וְהָתְנַן: אֵין בֵּית דִּין יָכוֹל לְבַטֵּל דִּבְרֵי בֵּית דִּין חֲבֵירוֹ אֶלָּא אִם כֵּן גָּדוֹל מִמֶּנּוּ בְּחָכְמָה וּבְמִנְיָן.","This is what we said, Now, all of these were enacted by the members of the Great Assembly As, if it enters your mind that the members of the Great Assembly enacted the fourteenth and fifteenth the Sages came and uprooted an ordinance that was enacted by the members of the Great Assembly? Didn’t we learn a rabbinical court cannot rescind the statements of another rabbinical court, unless it is superior to it in wisdom and in number?","We thus say: Since all the members of the Great Assembly enacted it, for if it were to enter your mind that the members of the Great Assembly were fourteen or fifteen in number, would the Sages come and uproot the enactment of the members of the Great Assembly? But we learned in a Mishnah: A court cannot annul the words of another court unless it is greater than it in wisdom and in number.",33.7793,53.8462,0.6898,0.9677,0.9442,0.0,0.773,0.227,0.0,0.785,0.215
Megillah,2a,7,אֶלָּא פְּשִׁיטָא כּוּלְּהוּ אַנְשֵׁי כְּנֶסֶת הַגְּדוֹלָה תַּקִּינוּ. הֵיכָא רְמִיזָא?,"Rather, it is obvious all were enacted by the members of the Great Assembly, Where is the allusion","Rather, it is obvious that all the members of the Great Assembly enacted. Where is the allusion?",55.4791,38.8889,0.952,0.6249,0.6249,0.0,0.806,0.194,0.0,0.796,0.204
Megillah,2a,8,"אָמַר רַב שֶׁמֶן בַּר אַבָּא אָמַר רַבִּי יוֹחָנָן, אָמַר קְרָא: ״לְקַיֵּים אֵת יְמֵי הַפּוּרִים הָאֵלֶּה בִּזְמַנֵּיהֶם״, זְמַנִּים הַרְבֵּה תִּקְּנוּ לָהֶם.",Rav Shemen bar Abba said Rabbi Yoḥanan said: the verse states: “To confirm these days of Purim in their times” they enacted many times for them,"Rav Shemen bar Abba said in the name of Rabbi Yochanan, the verse states: ""to establish these days of Purim in their times,"" they established many times for them.",37.2733,42.3077,0.7624,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Megillah,2a,9,"הַאי מִיבַּעְיָא לֵיהּ לְגוּפֵיהּ! אִם כֵּן לֵימָא קְרָא ״זְמַן״, מַאי ״זְמַנֵּיהֶם״ — זְמַנִּים טוּבָא.","This is necessary for its own If so, let the verse say: time. What is “their times,” many times","This question is necessary for itself! If so, let him say the verse ""time,"" what is ""their times"" - good times.",15.2215,63.1579,0.7479,0.0,0.4926,0.0,1.0,0.0,0.0,0.856,0.144
Megillah,2a,10,"וְאַכַּתִּי מִיבְּעֵי לֵיהּ: זְמַנּוֹ שֶׁל זֶה לֹא כִּזְמַנּוֹ שֶׁל זֶה! אִם כֵּן, לֵימָא קְרָא ״זְמַנָּם״, מַאי ״זְמַנֵּיהֶם״ — שָׁמְעַתְּ מִינַּהּ כּוּלְּהוּ.","But still, necessary the time of this is not the time of that If so, let the verse say: Their time, What “their times”? Learn from this all of","And once he asked him: His time is not like his time! If so, let us say the verse ""their appointed time,"" what is ""their appointed times"" - you have heard all of it.",9.3255,86.2069,0.5897,0.0,-0.3404,0.0,1.0,0.0,0.07,0.93,0.0
