book_name,page_ref,line_index,hebrew_text,human_translation,llm_translation,bleu_score,ter_score,cosine_similarity_score,human_sentiment_compound,llm_sentiment_compound,human_sentiment_neg,human_sentiment_neu,human_sentiment_pos,llm_sentiment_neg,llm_sentiment_neu,llm_sentiment_pos
Meilah,2a,1,"קׇדְשֵׁי קָדָשִׁים שֶׁשְּׁחָטָן בַּדָּרוֹם – מוֹעֲלִין בָּהֶן. שְׁחָטָן בַּדָּרוֹם וְקִיבֵּל דָּמָן בַּצָּפוֹן, בַּצָּפוֹן וְקִיבֵּל דָּמָן בַּדָּרוֹם,","Offerings of the most sacred order that one slaughtered them in the south misusing them, slaughtered them in the south and collected their blood in the north, or in the north but collected their blood in the south,","Holy of Holies that slaughtered in the south - they are disqualified. Slaughtered in the south and received their blood in the north, in the north and received their blood in the south.",31.8463,44.7368,0.7505,0.0,-0.4215,0.0,1.0,0.0,0.083,0.917,0.0
Meilah,2a,2,"שָׁחַט בַּיּוֹם וְזָרַק בַּלַּיְלָה, בַּלַּיְלָה וְזָרַק בַּיּוֹם, אוֹ שֶׁשְּׁחָטָן חוּץ לִזְמַנּוֹ וְחוּץ לִמְקוֹמוֹ – מוֹעֲלִין בָּהֶן.","one slaughtered during the day and sprinkled at night, at night and sprinkled during the day, Or where one slaughtered them beyond its time, or outside its area, misusing them","He slaughtered during the day and sprinkled at night, at night and sprinkled during the day, or if he slaughtered them outside their designated time or outside their designated place - they are disqualified.",48.5105,46.6667,0.7791,0.0,-0.4215,0.0,1.0,0.0,0.08,0.92,0.0
Meilah,2a,3,"כְּלָל אָמַר רַבִּי יְהוֹשֻׁעַ: כׇּל שֶׁהָיָה לָהּ שְׁעַת הֶיתֵּר לַכֹּהֲנִים – אֵין מוֹעֲלִין בָּהּ, וְכׇל שֶׁלֹּא הָיָה לָהּ שְׁעַת הֶיתֵּר לַכֹּהֲנִים – מוֹעֲלִין בָּהּ.",Rabbi Yehoshua stated a principle any that had a period of fitness to the priests not misusing it. And any that did not have a period of fitness for the priests misusing it,"General Rabbi Yehoshua said: Anyone who had a time of permissibility for the priests - they do not commit treachery with it, and anyone who did not have a time of permissibility for the priests - they commit treachery with it.",11.2019,78.7879,0.2951,0.4939,-0.4168,0.0,0.87,0.13,0.097,0.903,0.0
Meilah,2a,4,"אֵיזוֹ הִיא שֶׁהָיָה לָהּ שְׁעַת הֶיתֵּר לַכֹּהֲנִים? שֶׁלָּנָה, וְשֶׁנִּטְמְאָה, וְשֶׁיָּצְאָה.","Which is that had a period of fitness for the priests? whose remained overnight and that became ritually impure, and that left","Which is the one that had a time of permissibility for the priests? That of menstruation, and that of impurity, and that of childbirth.",18.2071,54.5455,0.4135,0.2732,0.0,0.0,0.905,0.095,0.0,1.0,0.0
Meilah,2a,5,"וְאֵיזוֹ הִיא שֶׁלֹּא הָיָה לָהּ שְׁעַת הֶיתֵּר לַכֹּהֲנִים? שֶׁנִּשְׁחֲטָה חוּץ לִזְמַנָּהּ, חוּץ לִמְקוֹמָהּ, וְשֶׁקִּיבְּלוּ פְּסוּלִין וְזָרְקוּ אֶת דָּמָה.","And which is that did not have a period of fitness for the priests? that was slaughtered beyond its time, outside its area, or that unfit collected and sprinkled its blood.","And which is the one that did not have a permissible time for the priests? That it was slaughtered outside of its designated time, outside of its designated place, and they received it while disqualified and they threw its blood.",22.5336,61.2903,0.5497,0.2732,-0.4215,0.0,0.932,0.068,0.069,0.931,0.0
Meilah,2a,6,"גְּמָ׳ קָתָנֵי: קׇדְשֵׁי קָדָשִׁים שֶׁשְּׁחָטָן בַּדָּרוֹם – מוֹעֲלִין בָּהֶן. פְּשִׁיטָא, מִשּׁוּם דִּשְׁחִיטָתָן בַּדָּרוֹם אַפֵּיקִינּוּן מִידֵי מְעִילָה?","teaches: offerings of the most sacred order one slaughtered them in the south misusing them. obvious? because their slaughter was performed in the south, should we revoke their as subject to misuse?","The Talmudic text states: ""Gemara: Holy of Holies that were slaughtered in the south - they are disqualified. It is obvious, because their slaughter in the south removes them from the domain of the curtain?""",9.1585,90.625,0.4889,0.0,-0.4215,0.0,1.0,0.0,0.078,0.922,0.0
Meilah,2a,7,"אִיצְטְרִיךְ, סָלְקָא דַּעְתָּךְ אָמֵינָא הוֹאִיל וְאָמַר עוּלָּא אָמַר רַבִּי יוֹחָנָן: קָדָשִׁים שֶׁמֵּתוּ – יָצְאוּ מִידֵּי מְעִילָה דְּבַר תּוֹרָה, הָכִי נָמֵי קׇדְשֵׁי קָדָשִׁים לְגַבֵּי דָרוֹם, כְּמָה דְּחַנְקִינּוּן דָּמֵי.","It was necessary enter your mind to say since Ulla says Rabbi Yoḥanan says: Sacrificial that died are excluded from misuse by Torah law, so too, offerings of the most sacred order in south, they are considered as though they were strangled","It is necessary, as your mind has concluded, I say, since Ulla said, Rabbi Yochanan said: ""Holy items that became lost - they are exempt from the obligation of a Torah verse."" So too, the most holy of holy items in the south, just as we have strangled him.",3.5577,76.1905,0.438,-0.8591,-0.6597,0.196,0.804,0.0,0.116,0.857,0.028
Meilah,2a,8,"קָא מַשְׁמַע לַן: קָדָשִׁים שֶׁמֵּתוּ – לָא חֲזוּ כְּלָל. אֲבָל דָּרוֹם – נְהִי דְּאֵינוֹ רָאוּי לְקׇדְשֵׁי קָדָשִׁים, אֲבָל רָאוּי הוּא לְקָדָשִׁים קַלִּים.","teaches us sacrificial animals that died, are not fit at all. But south, although is not fitting for offerings of the most sacred order, yet is fitting for offerings of lesser sanctity.","We have learned: Holy items that became impure - they are not considered at all. But in the south - even though it is not fit for the most holy items, it is fit for lighter holy items.",9.8415,87.5,0.259,-0.432,-0.652,0.114,0.886,0.0,0.136,0.864,0.0
Meilah,2a,9,לְמָה לִי לְמִיתְנֵי כׇּל הָנֵי?,Why do I to teach all of these,"""Why to me to learn all these?""",5.9342,75.0,0.5943,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Meilah,2a,10,"צְרִיכִי: אִי תְּנָא שְׁחָטָן בַּדָּרוֹם וְקִיבֵּל דָּמָן בַּצָּפוֹן, הָכָא דְּאִית בְּהוּ מְעִילָה, מִשּׁוּם דְּקַבָּלָה בַּצָּפוֹן הוּא. אֲבָל שְׁחָטָן בַּצָּפוֹן וְקִיבֵּל דָּמָן בַּדָּרוֹם, הוֹאִיל וְקִיבֵּל בַּדָּרוֹם הוּא – נָפֵיק מִידֵי מְעִילָה.","are necessary. If taught one slaughtered them in the south and collected their blood in the north, here, that are subject misuse, as collection in the north. But he slaughtered them in the north and collected their blood in the south, since the collection, is in the south, removed of subject to misuse.","I need: If a Tanna slaughtered in the south and received their blood in the north, here where there is a cloak, because he received in the north it is. But if he slaughtered in the north and received their blood in the south, since he received in the south it is - he is exempt from the cloak.",30.7838,62.2642,0.6214,0.0,0.1531,0.0,1.0,0.0,0.0,0.971,0.029
