book_name,page_ref,line_index,hebrew_text,human_translation,llm_translation,bleu_score,ter_score,cosine_similarity_score,human_sentiment_compound,llm_sentiment_compound,human_sentiment_neg,human_sentiment_neu,human_sentiment_pos,llm_sentiment_neg,llm_sentiment_neu,llm_sentiment_pos
Moed_Katan,2a,1,"מַשְׁקִין בֵּית הַשְּׁלָחִין בַּמּוֹעֵד וּבַשְּׁבִיעִית, בֵּין מִמַּעְיָין שֶׁיָּצָא בַּתְּחִילָּה, בֵּין מִמַּעְיָין שֶׁלֹּא יָצָא בַּתְּחִילָּה. אֲבָל אֵין מַשְׁקִין לֹא מִמֵּי הַגְּשָׁמִים, וְלֹא מִמֵּי הַקִּילוֹן.","One may irrigate a field that requires irrigation on a Festival as well as during the Sabbatical Year, both from a newly emerged spring and from a spring that did not just emerge However, one may not irrigate with rainwater or with water drawn with a shadoof [ kilon ],","We water the Beit HaShelachin on the festival and on the seventh year, whether from the spring that initially flowed or from a spring that did not initially flow. However, we do not water it neither from rainwater nor from water of the Kilon.",11.7884,74.0,0.4075,0.6486,0.4939,0.0,0.888,0.112,0.0,0.929,0.071
Moed_Katan,2a,2,"וְאֵין עוֹשִׂין עוּגִיּוֹת לַגְּפָנִים. רַבִּי אֶלְעָזָר בֶּן עֲזַרְיָה אוֹמֵר: אֵין עוֹשִׂין אֶת הָאַמָּה בַּתְּחִילָּה בַּמּוֹעֵד וּבִשְׁבִיעִית, וַחֲכָמִים אוֹמְרִים: עוֹשִׂין אֶת הָאַמָּה בַּתְּחִילָּה בַּשְּׁבִיעִית, וּמְתַקְּנִין אֶת הַמְקוּלְקָלוֹת בַּמּוֹעֵד.",And one may not construct circular ditches grapevines Rabbi Elazar ben Azarya says: One may not construct a new channel during a Festival or during the Sabbatical Year. And the Rabbis say: One may construct a new channel during the Sabbatical Year and one may repair damaged during a Festival.,"They do not make cakes for the vineyards. Rabbi Elazar ben Azariah says: They do not make the 'Amah at the beginning of the festival and in the seventh year, and the sages say: They make the 'Amah at the beginning of the seventh year, and they repair the damaged fences during the festival.",4.4282,78.0,0.2434,0.5423,0.5423,0.055,0.822,0.122,0.048,0.846,0.106
Moed_Katan,2a,3,"וּמְתַקְּנִין אֶת קִלְקוּלֵי הַמַּיִם שֶׁבִּרְשׁוּת הָרַבִּים, וְחוֹטְטִין אוֹתָן, וּמְתַקְּנִין אֶת הַדְּרָכִים וְאֶת הָרְחוֹבוֹת וְאֶת מִקְווֹת הַמַּיִם, וְעוֹשִׂין כׇּל צוֹרְכֵי הָרַבִּים, וּמְצַיְּינִין אֶת הַקְּבָרוֹת, וְיוֹצְאִין אַף עַל הַכִּלְאַיִם.","One may repair damaged water that are in the public domain, and clean them out one may repair roads, streets, and ritual baths; and one may tend to all public needs. one may mark graves and may even go out to the diverse kinds kilayim ]","And they repair the leaks of the water in the public domain, and they patch them, and they repair the roads and the streets and the water channels, and they fulfill all the needs of the public, and they mark the graves, and they go out even on Shabbat.",12.9018,80.4348,0.5033,-0.34,0.1779,0.102,0.843,0.054,0.042,0.902,0.056
Moed_Katan,2a,4,"גְּמָ׳ הַשְׁתָּא יֵשׁ לוֹמַר מִמַּעְיָין שֶׁיָּצָא בַּתְּחִילָּה, דְּאָתֵי לְאִינְּפוֹלֵי — מַשְׁקִין, מִמַּעְיָין שֶׁלֹּא יָצָא בַּתְּחִילָּה, דְּלָא אָתֵי לְאִינְּפוֹלֵי — מִיבַּעְיָא?","Now it has been said one may irrigate from a newly emerged spring, likely to collapse, is it necessary from a spring that did not just emerge, and are not likely to collapse?","Gemara: Now, this one can say from a spring that initially emerged, for it comes to be poured out - liquids, from a spring that did not initially emerge, for it does not come to be poured out - what is the question?",13.9614,93.9394,0.3306,-0.7506,0.0,0.181,0.819,0.0,0.0,1.0,0.0
Moed_Katan,2a,5,"אָמְרִי, אִצְטְרִיךְ: אִי תַּנָּא מַעְיָין שֶׁיָּצָא בַּתְּחִילָּה, הֲוָה אָמֵינָא: הָכָא הוּא דְּבֵית הַשְּׁלָחִין — אִין, בֵּית הַבַּעַל — לָא, מִשּׁוּם דְּאָתֵי לְאִינְּפוֹלֵי. אֲבָל מַעְיָין שֶׁלֹּא יָצָא בַּתְּחִילָּה, דְּלָא אָתֵי לְאִינְּפוֹלֵי — אֵימָא אֲפִילּוּ בֵּית הַבַּעַל נָמֵי,","They say it was necessary had taught a newly emerged spring, I would have said here, a field that requires irrigation, yes, a field that suffices with rainwater, no, because it is likely to collapse. But a spring that did not just emerge, that is not likely to collapse, I say that even a field that suffices with rainwater.","They said, it is necessary: if the spring initially flows, I would have said: here, in the house of the privy — no, in the house of the husband — yes, because it is likely to collapse. But if the spring does not initially flow, as it is not likely to collapse — say, even in the house of the husband also.",24.1544,76.2712,0.4575,-0.7311,-0.7311,0.138,0.83,0.032,0.125,0.846,0.029
Moed_Katan,2a,6,"קָא מַשְׁמַע לַן: לָא שְׁנָא מַעְיָין שֶׁיָּצָא בַּתְּחִילָּה, וְלָא שְׁנָא מַעְיָין שֶׁלֹּא יָצָא בַּתְּחִילָּה, בֵּית הַשְּׁלָחִין — אִין, בֵּית הַבַּעַל — לָא.","teaches us a newly emerged spring is no different a spring that did not just emerge. a field that requires irrigation, yes, a field that suffices with rainwater, no,","We have learned: A spring that did not flow initially is no different from a spring that did flow initially. Regarding a latrine - no, regarding a bathhouse - yes.",16.8442,72.4138,0.366,-0.1779,-0.1779,0.151,0.756,0.093,0.157,0.747,0.096
Moed_Katan,2a,7,"וּמַאי מַשְׁמַע דְּהַאי ״בֵּית הַשְּׁלָחִין״ לִישָּׁנָא דְּצָחוּתָא הִיא — דִּכְתִיב: ״וְאַתָּה עָיֵף וְיָגֵעַ״, וּמְתַרְגְּמִינַן: וְאַתְּ מְשַׁלְהֵי וּלְאֵי.","And from where be inferred that this beit hashelaḥin , is a term thirst, As it is written: “And you were faint and weary” And, we translate And you were thirsty [ meshalhei ] and weary.","""And what is implied by this, that 'Beit HaShelachin' is for the sleep of the righteous? - For it is written: 'And you are weary and fatigued,' and we interpret: 'And you are lying down and not rising up.'""",6.6923,86.1111,0.3364,-0.2732,-0.6705,0.063,0.937,0.0,0.133,0.867,0.0
Moed_Katan,2a,8,"וּמַאי מַשְׁמַע דְּהַאי ״בֵּית הַבַּעַל״ לִישָּׁנָא דִּמְיַיתְּבוּתָא הִיא — דִּכְתִיב: ״כִּי יִבְעַל בָּחוּר בְּתוּלָה״, וּמְתַרְגְּמִינַן: אֲרֵי כַּמָּה דְּמִיתּוֹתַב עוּלֵם עִם בְּתוּלְתָּא יִתְיַיתְּבוּן בְּגַוִּיךְ בְּנַיִיךְ.","And from where be inferred that this beit haba’al , is a term denoting settlement, As it is written: “For as a young man takes to himself [ yiv’al ] a virgin, And it is translated As a young man settles down with a virgin, so shall your sons become settled within you.","And what is implied by this, that this ""house of the husband"" is like a settled matter? - For it is written: ""When a man marries a virgin,"" and we interpret: Behold, just as the world existed with the virgin, so too should you establish your sons with your daughters.",9.2307,77.3585,0.3694,0.0,0.3818,0.0,1.0,0.0,0.0,0.924,0.076
Moed_Katan,2a,9,"מַאן תַּנָּא דִּפְסֵידָא — אִין, הַרְוָוחָה — לָא, וַאֲפִילּוּ בִּמְקוֹם פְּסֵידָא — מִיטְרָח נָמֵי לָא טָרְחִינַן?","Who is the tanna that loss, yes, profit, no, even in a case loss, one may not exert","Who is the Tanna that says ""Dipseda"" - No, ""Harvacha"" - Yes, and even in a place of ""Dipseda"" we do not require to exert ourselves?",7.6924,83.3333,0.3325,-0.0516,0.128,0.279,0.492,0.23,0.085,0.811,0.104
Moed_Katan,2a,10,"אָמַר רַב הוּנָא: רַבִּי אֱלִיעֶזֶר בֶּן יַעֲקֹב הִיא. דִּתְנַן, רַבִּי אֱלִיעֶזֶר בֶּן יַעֲקֹב אוֹמֵר: מוֹשְׁכִין אֶת הַמַּיִם מֵאִילָן לְאִילָן, וּבִלְבַד שֶׁלֹּא יַשְׁקֶה אֶת הַשָּׂדֶה כּוּלָּהּ.","Rav Huna said: It is Rabbi Eliezer ben Ya’akov, as we learned Rabbi Eliezer ben Ya’akov says: one may draw water from tree to tree, provided that he does not water the entire field.","Rav Huna said: Rabbi Eliezer ben Yaakov is it. As we learned in a Mishnah, Rabbi Eliezer ben Yaakov says: One may draw water from one tree to another, as long as he does not water the entire field.",35.7197,38.2353,0.6462,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
