book_name,page_ref,line_index,hebrew_text,human_translation,llm_translation,bleu_score,ter_score,cosine_similarity_score,human_sentiment_compound,llm_sentiment_compound,human_sentiment_neg,human_sentiment_neu,human_sentiment_pos,llm_sentiment_neg,llm_sentiment_neu,llm_sentiment_pos
Nazir,2a,1,כׇּל כִּינּוּיֵי נְזִירוּת — כִּנְזִירוּת.,all substitutes of nazirite vows are like nazirite vows,All designations of Naziriteship - are like Naziriteship.,10.5527,55.5556,0.2027,0.3612,0.3612,0.0,0.762,0.238,0.0,0.706,0.294
Nazir,2a,2,"הָאוֹמֵר ״אֱהֵא״ — הֲרֵי זֶה נָזִיר, אוֹ ״אֱהֵא נָאֶה״ — נָזִיר, ״נָזִיק״, ״נָזִיחַ״, ״פָּזִיחַ״ — הֲרֵי זֶה נָזִיר. ״הֲרֵינִי כָּזֶה״, ״הֲרֵינִי מְסַלְסֵל״, ״הֲרֵינִי מְכַלְכֵּל״, ״הֲרֵי עָלַי לְשַׁלֵּחַ פֶּרַע״ — הֲרֵי זֶה נָזִיר.","one who says: I will be, is a nazirite, Or, I will be beautiful, a nazirite. a nazik , nazi’aḥ , a pazi’aḥ , he is a nazirite. I am hereby like this, I am hereby curler, I am hereby growing hair; It is upon me to grow long hair, he is a nazirite.","The one who says ""Eheh"" - behold, this is a Nazir, or ""Eheh Na'eh"" - a Nazir, ""Nazik,"" ""Nazich,"" ""Pazich"" - behold, this is a Nazir. ""Here I am like this,"" ""Here I am wavering,"" ""Here I am hesitating,"" ""It is upon me to let my hair grow wild"" - behold, this is a Nazir.",10.161,75.9259,0.2477,0.7964,0.3612,0.0,0.82,0.18,0.0,0.945,0.055
Nazir,2a,3,״הֲרֵי עָלַי צִיפּוֹרִים״ — רַבִּי מֵאִיר אוֹמֵר: נָזִיר. וַחֲכָמִים אוֹמְרִים: אֵינוֹ נָזִיר.,"is hereby upon me birds, Rabbi Meir says: He is a nazirite. And the Sages say: He is not a nazirite.","""Behold, upon me are birds"" — Rabbi Meir says: a Nazirite. And the Sages say: he is not a Nazirite.",34.3324,33.3333,0.8607,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Nazir,2a,4,"גְּמָ׳ מִכְּדֵי תַּנָּא בְּסֵדֶר נָשִׁים קָאֵי, מַאי טַעְמָא תָּנֵי נָזִיר?","Now, the tanna is engaged in the order of Nashim , What is the reason teaches nazirite","Gemara: ""G'ma mi'k'dei tana b'seider nashim ka'ei, mai ta'ama tanei nazir?"" Translation: ""A teaching from the order of women stands, what is the reason that it teaches about a Nazirite?""",6.365,129.4118,0.3105,0.4019,0.0,0.0,0.847,0.153,0.0,1.0,0.0
Nazir,2a,5,"תַּנָּא אַקְּרָא קָאֵי: ״וְהָיָה אִם לֹא תִמְצָא חֵן בְּעֵינָיו כִּי מָצָא בָהּ עֶרְוַת דָּבָר״. וְהָכִי קָאָמַר: מִי גָּרַם לָהּ לָעֲבֵירָה — יַיִן, וְקָאָמַר: כׇּל הָרוֹאֶה סוֹטָה בְּקִלְקוּלָהּ יַזִּיר עַצְמוֹ מִן הַיַּיִן.","The tanna is engaged in the verse “Then it comes to pass, if she finds no favor in his eyes, because he has found some unseemly matter about her” And this is what he is saying: What caused to transgression wine. And saying: Anyone who sees a sota in her disgrace should abstain from wine.","The text states: ""It was if you do not find favor in his eyes because he found in her a matter of nakedness."" And thus he said: What caused her to commit adultery? — Wine. And he said: Anyone who sees a Sotah in her disgrace should abstain from wine.",25.7849,60.0,0.5659,0.0258,-0.4867,0.089,0.805,0.107,0.105,0.831,0.064
Nazir,2a,6,"פָּתַח בְּכִינּוּיִין, וּמְפָרֵשׁ יָדוֹת.",began with substitutes but explains intimations,"Opened with designations, and explained his hands.",4.7677,100.0,0.0342,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Nazir,2a,7,"אָמַר רָבָא, וְאִיתֵּימָא כְּדִי: חַסּוֹרֵי מִיחַסְּרָא וְהָכִי קָתָנֵי: כׇּל כִּינּוּיֵי נְזִירוּת — כִּנְזִירוּת, וִידוֹת נְזִירוּת — כִּנְזִירוּת, וְאֵלּוּ הֵן יָדוֹת: הָאוֹמֵר ״אֱהֵא״ — הֲרֵי זֶה נָזִיר.","Rava said, and some say without attribution [ kedi ]: is incomplete and is teaching the following: All substitutes of nazirite vows are like nazirite vows. And intimations of nazirite vows are like nazirite vows. And these are intimations: One who says: I will be, is a nazirite.","Rava said, and some say it was as follows: ""Lacking"" from ""lacking,"" and thus it was taught: All designations of Naziriteship - like Naziriteship, and the hands of Naziriteship - like Naziriteship. And these are the hands: one who says ""I shall be"" - behold, this one is a Nazir.",14.6044,72.9167,0.2115,0.7339,0.6124,0.0,0.854,0.146,0.0,0.898,0.102
Nazir,2a,8,"וְלִפְרוֹשׁ כִּינּוּיֵי בְּרֵישָׁא! תַּנָּא מֵהָהוּא דְּסָלֵיק — הָהוּא מְפָרֵשׁ בְּרֵישָׁא. כְּדִתְנַן: בַּמֶּה מַדְלִיקִין וּבַמָּה אֵין מַדְלִיקִין, וּמְפָרֵשׁ ״אֵין מַדְלִיקִין״ בְּרֵישָׁא.","But let explain substitutes first, tanna the with which it concludes is the one that it explains first, as we learned With what may one light and with what may one not light And explains one may not light first,","To explain the designations at the outset! It was taught from that which was raised — that one explains at the outset. As we learned: With what may one kindle, and with what may one not kindle, and one explains ""may not kindle"" at the outset.",16.7678,70.0,0.3802,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Nazir,2a,9,"בַּמֶּה טוֹמְנִין וּבַמָּה אֵין טוֹמְנִין, וּמְפָרֵשׁ ״אֵין טוֹמְנִין״ בְּרֵישָׁא.","In what may one insulate and in what may one not insulate And explains one may not insulate first,","In what can we designate and in what can we not designate, and he explains ""in what can we not designate"" at the beginning.",7.2398,78.9474,0.1242,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Nazir,2a,10,"בַּמָּה אִשָּׁה יוֹצְאָה וּבַמָּה אֵינָהּ יוֹצְאָה, וּמְפָרֵשׁ ״לֹא תֵּצֵא אִשָּׁה״ בְּרֵישָׁא.","With what a woman go out and with what she not go out? And explains a woman may not go out first,","In what cases a woman goes out, and in what cases she does not go out, and he explains ""a woman shall not go out"" at the beginning.",10.0952,68.1818,0.7109,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
