book_name,page_ref,line_index,hebrew_text,human_translation,llm_translation,bleu_score,ter_score,cosine_similarity_score,human_sentiment_compound,llm_sentiment_compound,human_sentiment_neg,human_sentiment_neu,human_sentiment_pos,llm_sentiment_neg,llm_sentiment_neu,llm_sentiment_pos
Nedarim,2a,1,"כָּל כִּינּוּיֵי נְדָרִים — כִּנְדָרִים,",all substitutes of vows are like vows.,All designations of vows - vows.,16.1023,42.8571,0.5298,0.3612,0.0,0.0,0.706,0.294,0.0,1.0,0.0
Nedarim,2a,2,"וַחֲרָמִים — כַּחֲרָמִים, וּשְׁבוּעוֹת — כִּשְׁבוּעוֹת, וּנְזִירוּת — כִּנְזִירוּת.","dedications are like dedications, oaths are like oaths, and nazirite are like nazirite","""And cheremim - like cheremim, and shevuot - like shevuot, and nezirut - like nezirut.""",5.0395,84.6154,0.1572,0.7579,0.7579,0.0,0.571,0.429,0.0,0.545,0.455
Nedarim,2a,3,"הָאוֹמֵר לַחֲבֵרוֹ ״מוּדְּרַנִי מִמָּךְ״, ״מוּפְרְשַׁנִי מִמָּךְ״, ״מְרוּחֲקַנִי מִמָּךְ״, ״שֶׁאֲנִי אוֹכֵל לָךְ״, ״שֶׁאֲנִי טוֹעֵם לָךְ״ — אָסוּר.","one who says to another: I am avowed from you, I am separated from you, I am distanced from you, That I eat yours, That I taste yours, forbidden.","One who says to his fellow, ""You have made me a nazarite from you,"" ""You have separated me from you,"" ""You have distanced me from you,"" ""That I will eat for you,"" ""That I will taste for you"" — it is prohibited.",8.1983,100.0,0.4451,-0.4215,0.0,0.109,0.891,0.0,0.0,1.0,0.0
Nedarim,2a,4,"״מְנוּדֶּה אֲנִי לָךְ״, רַבִּי עֲקִיבָא הָיָה חוֹכֵךְ בָּזֶה לְהַחְמִיר.","I am ostracized from you, Rabbi Akiva was uncertain to rule stringently about this","""I am a m'nudeh for you,"" Rabbi Akiva was arguing on this to be stringent.",11.7942,78.5714,0.2314,-0.296,-0.4588,0.155,0.845,0.0,0.188,0.812,0.0
Nedarim,2b,1,"גְּמָ׳ ״כָּל כִּינּוּיֵי נְדָרִים כִּנְדָרִים״, מַאי שְׁנָא גַּבֵּי נָזִיר דְּלָא קָתָנֵי לְהוּ לְכוּלְּהוּ, וּמַאי שְׁנָא גַּבֵּי נְדָרִים דְּקָתָנֵי לְכוּלְּהוּ?","all substitutes of vows are like vows, What is different with regard to Nazir that it does not teach all of them, and what is different with regard to Nedarim that it teaches all of them","Gemara: ""All designations of vows are like vows,"" what is the difference between a Nazirite vow, which does not teach for all of them, and a regular vow, which does teach for all of them?",25.2135,63.8889,0.472,0.3612,0.3612,0.0,0.933,0.067,0.0,0.928,0.072
Nedarim,2b,2,"מִשּׁוּם דְּנֶדֶר וּשְׁבוּעָה כְּתִיבִי גַּבֵּי הֲדָדֵי תָּנֵי תַּרְתֵּין, וְכֵיוָן דְּתָנֵי תַּרְתֵּין — תָּנֵי לְכוּלְּהוּ.",due to vows and oaths are written next to each other teaches two And since it taught two it taught all of them.,"Due to the fact that regarding a vow and an oath it is written, in the matter of Hadadei, he taught two, and once he taught two - he taught for all of them.",8.5798,104.3478,0.4798,0.0,0.0258,0.0,1.0,0.0,0.0,0.966,0.034
Nedarim,2b,3,"וְלִיתְנֵי כִּינּוּיֵי שְׁבוּעוֹת בָּתַר נְדָרִים! אַיְּידֵי דִּתְנָא נְדָרִים דְּמִיתְּסַר חֶפְצָא עֲלֵיהּ, תְּנָא נָמֵי חֲרָמִים, דְּמִיתְּסַר חֶפְצָא עֲלֵיהּ. לְאַפּוֹקֵי שְׁבוּעָה, דְּקָאָסַר נַפְשֵׁיהּ מִן חֶפְצָא.","let teach substitutes of oaths after vows. Since it taught vows, whereby an object becomes forbidden to one, taught also dedications, whereby an object becomes forbidden to one. to the exclusion of an oath, one prohibits himself from an object.","And to teach the designations of oaths after vows! For it was taught: Vows, which involve the restriction of one's desire, are also designated as cherem, which involve the restriction of one's desire. To come to an oath, which restricts oneself from one's desire.",8.3444,82.5,0.2004,-0.7783,0.4389,0.174,0.826,0.0,0.123,0.718,0.159
Nedarim,2b,4,"פְּתַח בְּכִינּוּיִין ״כָּל כִּנּוּיַי נְדָרִים״, וּמְפָרֵשׁ יָדוֹת: הָאוֹמֵר לַחֲבֵירוֹ ״מוּדָּר אֲנִי מִמָּךְ״! וְתוּ: יָדוֹת אִינְּשִׁי?!","began with substitutes All substitutes of vows and explains intimations one who says to his fellow: I am avowed from you. And furthermore, forget intimations","He began with designations ""all my designations are vows,"" and he explains: one who says to his fellow, ""I am vowed from you!"" And furthermore: are designations human hands?!",17.4891,72.0,0.341,-0.2263,0.0,0.076,0.924,0.0,0.0,1.0,0.0
Nedarim,2b,5,"אַיְירִי בְּהוֹן, וְחַסּוֹרֵי מִיחַסְּרָא, וְהָכִי קָתָנֵי: כָּל כִּינּוּיֵי נְדָרִים כִּנְדָרִים, וִידוֹת נְדָרִים כִּנְדָרִים.","is dealing with them, and is incomplete and is teaching the following: All substitutes of vows are like vows, and intimations of vows are like vows.","אַיְירִי - the ones who say, בְּהוֹן - and they, וְחַסּוֹרֵי - and the ones who lack, מִיחַסְּרָא - from the lacking, וְהָכִי - and thus, קָתָנֵי - it is taught: כָּל - all, כִּינּוּיֵי - designations, נְדָרִים - of vows, כִּנְדָרִים - are like vows, וִידוֹת - and expressions, נְדָרִים - of vows, כִּנְדָרִים - are like vows.",8.3772,180.7692,0.2661,0.6124,0.4019,0.0,0.828,0.172,0.046,0.855,0.099
Nedarim,2b,6,וְלִיפְרוֹשׁ כִּינּוּיִין בְּרֵישָׁא!,"Let explain substitutes first,",And to explain the designations at the outset!,4.7677,175.0,0.3219,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
