book_name,page_ref,line_index,hebrew_text,human_translation,llm_translation,bleu_score,ter_score,cosine_similarity_score,human_sentiment_compound,llm_sentiment_compound,human_sentiment_neg,human_sentiment_neu,human_sentiment_pos,llm_sentiment_neg,llm_sentiment_neu,llm_sentiment_pos
Niddah,2a,1,מתני׳ שמאי אומר כל הנשים דיין שעתן הלל אומר מפקידה לפקידה ואפילו לימים הרבה,"says: all women their time is sufficient. Hillel says: From examination [ mipekida ] to examination, and even several days","Mishnah: Shammai says, ""All women are fit for judgment."" Hillel says, ""From one appointed time to another appointed time, and even for many days.""",6.4697,100.0,0.3007,0.0,0.3612,0.0,1.0,0.0,0.0,0.902,0.098
Niddah,2a,2,"וחכ""א לא כדברי זה ולא כדברי זה אלא מעת לעת ממעטת על יד מפקידה לפקידה ומפקידה לפקידה ממעטת על יד מעת לעת","And the Rabbis say: neither in accordance with the statement of this nor in accordance with the statement of that rather, period reduces from examination to examination. And from examination to examination reduces from period.","And the sages of blessed memory did not agree with this one or with that one, but rather, from time to time, she diminishes from one trustee to another trustee, and from one trustee to another trustee she diminishes from time to time.",2.9935,97.1429,0.108,0.0,0.8719,0.0,1.0,0.0,0.03,0.725,0.244
Niddah,2a,3,כל אשה שיש לה וסת דיה שעתה והמשמשת בעדים הרי זו כפקידה וממעטת על יד מעת לעת ועל יד מפקידה לפקידה,"any woman who has a fixed cycle [ veset ], her time is sufficient, And who engages in intercourse while examination cloths [ be’edim ] is like that of an examination, and it reduces from period, and from examination to examination.","Every woman who has a veset (menstrual cycle) at this time, and she who examines witnesses, behold, she is like a supervisor, and she diminishes from time to time, and from supervisor to supervisor.",10.1663,73.1707,0.1949,0.5423,0.3612,0.0,0.886,0.114,0.0,0.925,0.075
Niddah,2a,4,כיצד דיה שעתה היתה יושבת במטה ועסוקה בטהרות ופרשה וראתה היא טמאה והן טהורות,"Her time is sufficient, how so? was sitting in the bed and engaged in ritually pure items, and she left and saw she is ritually impure and are ritually pure.","How is it? Diah now she was sitting on a bed and occupied with purity and a Torah portion, and she saw herself as impure, yet they are pure.",7.8686,73.3333,0.346,0.4019,0.0,0.0,0.915,0.085,0.0,1.0,0.0
Niddah,2a,5,"אע""פ שאמרו מטמאה מעת לעת אינה מונה אלא משעה שראתה","Although said transmits ritual impurity for period, counts only from the moment that she saw","Although they said ""it renders impure from time to time,"" it only counts from the moment she saw.",9.6143,80.0,0.6407,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Niddah,2a,6,גמ׳ מאי טעמיה דשמאי קסבר העמד אשה על חזקתה ואשה בחזקת טהורה עומדת והלל כי אמר העמד דבר על חזקתו היכא דלית ליה ריעותא מגופיה אבל איתתא,"What is the reason of Shammai? holds Establish woman in her presumptive status, and a woman remains with the presumptive status of ritually pure. And Hillel? when states Establish an item in its presumptive status, where there is no weakening of itself. But a woman,","Gemara: What is the reason for Shammai? He holds that if a woman stands on her presumption, and a woman stands on the presumption of purity. And Hillel, when he said, ""If he stands on his presumption,"" where he has no support from his own body, but a woman...",11.8049,73.3333,0.1966,-0.3839,0.0644,0.081,0.919,0.0,0.034,0.927,0.039
Niddah,2b,1,כיון דמגופה קחזיא לא אמרינן אוקמה אחזקתה,since to see from her body we do not say: Establish her in her presumptive status,"Since her body is seen, we do not say, ""Let her claim be established.""",15.6638,62.5,0.4479,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Niddah,2b,2,"ומאי שנא ממקוה דתנן מקוה שנמדד ונמצא חסר כל טהרות שנעשו על גביו למפרע בין בר""ה בין ברה""י טמאות","And what is different from a ritual bath? As we learned a ritual bath which was measured and found lacking all pure items that had been rendered in it, retroactive whether in the private domain or in the public domain, are impure.","And what is different about a mikveh? As we learned in a Mishnah: A mikveh that was measured and found lacking in any of the purities that were performed upon it, whether on Rosh Hashanah or on the eve of Yom Kippur, they are impure.",21.4258,64.2857,0.2883,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Niddah,2b,3,לשמאי קשיא למפרע,"According to Shammai, a difficulty from retroactive",To Shammai is difficult to reconcile with Mafraya.,5.6698,114.2857,0.1502,-0.34,-0.3612,0.324,0.676,0.0,0.263,0.737,0.0
Niddah,2b,4,להלל קשיא ודאי דאילו מעת לעת שבנדה תולין לא אוכלין ולא שורפין ואילו הכא טומאה ודאי,"According to Hillel, a difficulty certainty, whereas period of a menstruating woman, suspended, neither eat nor burn Whereas here, definitely impure.","Hillel difficult indeed for if from time to time in a state of impurity they hang, not eat and not burn, but here impurity indeed.",2.3746,109.5238,0.202,-0.2023,-0.1901,0.218,0.595,0.187,0.071,0.929,0.0
