book_name,page_ref,line_index,hebrew_text,human_translation,llm_translation,bleu_score,ter_score,cosine_similarity_score,human_sentiment_compound,llm_sentiment_compound,human_sentiment_neg,human_sentiment_neu,human_sentiment_pos,llm_sentiment_neg,llm_sentiment_neu,llm_sentiment_pos
Pesachim,2a,1,"מַתְנִי׳ אוֹר לְאַרְבָּעָה עָשָׂר בּוֹדְקִין אֶת הֶחָמֵץ לְאוֹר הַנֵּר. כׇּל מָקוֹם שֶׁאֵין מַכְנִיסִין בּוֹ חָמֵץ, אֵין צָרִיךְ בְּדִיקָה. וּבַמָּה אָמְרוּ ״שְׁתֵּי שׁוּרוֹת בַּמַּרְתֵּף״ — מָקוֹם שֶׁמַּכְנִיסִין בּוֹ חָמֵץ. בֵּית שַׁמַּאי אוֹמְרִים: שְׁתֵּי שׁוּרוֹת עַל פְּנֵי כׇּל הַמַּרְתֵּף, וּבֵית הִלֵּל אוֹמְרִים: שְׁתֵּי שׁוּרוֹת הַחִיצוֹנוֹת שֶׁהֵן הָעֶלְיוֹנוֹת.","On the evening [ or ] of the fourteenth one searches for leavened bread by candlelight. Any place into which one does not take leavened bread does not require a search, And with regard to what said two rows in a cellar, a place into which one takes leavened bread, Beit Shammai say two rows across the entire cellar, and Beit Hillel say: the two external rows, which are the upper ones.","The Mishnah teaches: One must check for leaven in fourteen places by the light of a candle. Any place where leaven is not brought in does not require inspection. And in what case did they say, ""Two rows in the cellar""? A place where leaven is brought in. Beit Shammai says: Two rows in front of the entire cellar, and Beit Hillel says: Two rows of the outermost ones, which are the upper ones.",19.343,68.0556,0.5863,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Pesachim,2a,2,"גְּמָ׳ מַאי ״אוֹר״? רַב הוּנָא אָמַר: נַגְהֵי, וְרַב יְהוּדָה אָמַר: לֵילֵי. קָא סָלְקָא דַּעְתָּךְ דְּמַאן דְּאָמַר נַגְהֵי — נַגְהֵי מַמָּשׁ, וּמַאן דְּאָמַר לֵילֵי — לֵילֵי מַמָּשׁ.","What is or , Rav Huna said: light, and Rav Yehuda said: evening. it enter your mind the one who said light actual light and the one who said evening actual evening","Gemara: What is ""light""? Rav Huna said: brightness, and Rav Yehuda said: night. The conclusion of your opinion is: whoever says brightness - it is actual brightness, and whoever says night - it is actual night.",17.8234,75.0,0.361,0.0,0.7783,0.0,1.0,0.0,0.0,0.799,0.201
Pesachim,2a,3,"מֵיתִיבִי: ״הַבֹּקֶר אוֹר וְהָאֲנָשִׁים שֻׁלְּחוּ״ — אַלְמָא ״אוֹר״ יְמָמָא הוּא! מִי כְּתִיב ״הָאוֹר בֹּקֶר״? ״הַבֹּקֶר אוֹר״ כְּתִיב, כְּמַאן דְּאָמַר: צַפְרָא נְהַר, וְכִדְרַב יְהוּדָה אָמַר רַב. דְּאָמַר רַב יְהוּדָה אָמַר רַב: לְעוֹלָם יִכָּנֵס אָדָם בְּכִי טוֹב, וְיֵצֵא בְּכִי טוֹב.","raises an objection “As soon as the morning was or , the men were sent away, Apparently, or is day. Is it written: The light was morning? “The morning was light” is written. as the one who said: morning lightened. And in accordance with Rav Yehuda said Rav said, as Rav Yehuda said Rav said: A person always enter with “it is good” And he leave with “it is good,”","Challenger: ""In the morning light and the people were sent out"" - this implies that ""light"" refers to daytime! Where is it written ""the light is morning""? ""Morning light"" is written, as stated by the one who said: ""Dawn is like a river,"" and like Rav Yehudah said Rav. For Rav Yehudah said Rav: A person should always enter with a good cry and leave with a good cry.",10.4051,72.8571,0.6073,-0.0516,0.636,0.018,0.982,0.0,0.097,0.737,0.166
Pesachim,2a,4,"מֵיתִיבִי: ״וּכְאוֹר בֹּקֶר יִזְרַח שָׁמֶשׁ״ — אַלְמָא ״אוֹר״ יְמָמָא הוּא! מִי כְּתִיב ״אוֹר בֹּקֶר״? ״וּכְאוֹר בֹּקֶר״ כְּתִיב, וְהָכִי קָאָמַר: וּכְאוֹר בֹּקֶר בָּעוֹלָם הַזֶּה, כְּעֵין זְרִיחַת שֶׁמֶשׁ לַצַּדִּיקִים לָעוֹלָם הַבָּא.","raises an objection “And as the light [ or ] of the morning, when the sun rises, Apparently, or is day. Is it written the light was morning? “As the light of the morning” is written, and this is is saying: And as the morning light of this world so will be the rising of the sun for the righteous in the World-to-Come,","Challenger: ""And like the light of morning, the sun will rise"" - this implies that ""light"" refers to daytime! Where is it written ""light of morning""? ""And like the light of morning"" is written, and thus it is saying: ""And like the light of morning in this world, like the shining of the sun for the righteous in the world to come.""",19.4372,61.9048,0.7715,0.0,0.8687,0.0,1.0,0.0,0.0,0.826,0.174
Pesachim,2a,5,"מֵיתִיבִי: ״וַיִּקְרָא אֱלֹהִים לָאוֹר יוֹם״ — אַלְמָא ״אוֹר״ יְמָמָא הוּא! הָכִי קָאָמַר: לַמֵּאִיר וּבָא קְרָאוֹ יוֹם. אֶלָּא מֵעַתָּה, ״וְלַחֹשֶׁךְ קָרָא לָיְלָה״ — לַמַּחְשִׁיךְ וּבָא קָרָא לַיְלָה?! וְהָא קַיְימָא לַן דְּעַד צֵאת הַכּוֹכָבִים יְמָמָא הוּא!","raises an objection: “And God called the or Day, Apparently, or is day. This is is saying: called the advancing light Day. However, if is so, “and the darkness He called Night,” He called the advancing darkness Night, as we maintain it is day until the emergence of the stars.","The question was raised: ""And God called the light 'day'"" - this means that ""light"" is daytime! This is what it means to say: He called it 'day' to illuminate it. Rather, from now on, ""and to the darkness He called 'night'"" - to darken it and He called it 'night'?! But we establish that until the appearance of the stars it is daytime!",7.5761,92.0,0.5559,-0.3458,0.2325,0.084,0.876,0.039,0.023,0.939,0.038
Pesachim,2a,6,"אֶלָּא, הָכִי קָאָמַר: קַרְיֵיהּ רַחֲמָנָא לִנְהוֹרָא וּפַקְּדֵיהּ אַמִּצְוְתָא דִימָמָא, וְקַרְיֵיהּ רַחֲמָנָא לַחֲשׁוֹכָא וּפַקְּדֵיהּ אַמִּצְוְתָא דְלֵילָה.","Rather, this is what is saying: God called the light and commanded it the mitzva of the day, and God called the darkness and commanded it the mitzva of the night.","Rather, thus he said: The Merciful One calls to the light and commands the mitzvah of daytime, and the Merciful One calls to the darkness and commands the mitzvah of nighttime.",9.4918,67.7419,0.1721,0.296,-0.25,0.058,0.819,0.123,0.062,0.938,0.0
Pesachim,2a,7,"מֵיתִיבִי: ״הַלְלוּהוּ כׇּל כּוֹכְבֵי אוֹר״ — אַלְמָא ״אוֹר״ אוּרְתָּא הוּא. הָכִי קָאָמַר: הַלְלוּהוּ כׇּל כּוֹכָבִים הַמְּאִירִים. אֶלָּא מֵעַתָּה, כּוֹכָבִים הַמְּאִירִים הוּא דְּבָעוּ שַׁבּוֹחֵי, שֶׁאֵינָן מְאִירִין לָא בָּעוּ שַׁבּוֹחֵי?! וְהָא כְּתִיב: ״הַלְלוּהוּ כָּל צְבָאָיו״!","raises an objection: praise Him, all the stars of or ” Apparently, or is evening, This is is saying: Praise Him, all the stars that radiate, However, if is so, it is stars that radiate that are required to praise that do not radiate are not required to praise But isn’t it written “Praise Him, all His legions,”","The question was raised: ""Praise Him, all His shining stars"" — this implies that ""light"" is a lamp. This is what it means to say: ""Praise Him, all the stars that shine."" But from now on, are only the stars that shine required to praise Him, while those that do not shine are not required to praise Him?! But isn't it written: ""Praise Him, all His hosts""!",20.4971,68.9655,0.6327,0.802,0.9678,0.0,0.852,0.148,0.0,0.751,0.249
Pesachim,2a,8,אֶלָּא הָא קָא מַשְׁמַע לַן — דְּאוֹר דְּכוֹכָבִים נָמֵי אוֹר הוּא. לְמַאי נָפְקָא מִינַּהּ? לְנוֹדֵר מִן הָאוֹר. (דִּתְנַן:) הַנּוֹדֵר מִן הָאוֹר — אָסוּר בְּאוֹרָן שֶׁל כּוֹכָבִים.,"Rather, this teach us that the light of stars is also light. What practical difference to one who vows from light. As we learned one who vows from light, it is prohibited to the light of stars.","Rather, this is what it implies to us - that the light of the stars is light. For what purpose does this matter arise? For one who vows from the light. As it was taught: One who vows from the light - he is prohibited from the light of the stars.",17.6576,67.5676,0.8705,0.0,0.0323,0.0,1.0,0.0,0.0,0.977,0.023
Pesachim,2a,9,"מֵיתִיבִי: ״לָאוֹר יָקוּם רוֹצֵחַ יִקְטׇל עָנִי וְאֶבְיוֹן וּבַלַּיְלָה יְהִי כַגַּנָּב״,",raises an objection: “A murderer rises with the or to kill the poor and needy; and in the night he is as a thief”,"Challenger: ""For the light of day the murderer shall be put to death, the poor and destitute, and at night he shall be as a thief.""",7.4086,66.6667,0.4132,-0.9413,-0.9022,0.438,0.562,0.0,0.34,0.616,0.044
Pesachim,2b,1,"הָא מִדְּקָאָמַר ״וּבַלַּיְלָה יְהִי כַגַּנָּב״ — אַלְמָא ״אוֹר״ יְמָמָא הוּא! הָתָם הָכִי קָאָמַר: אִי פְּשִׁיטָא לָךְ מִילְּתָא כִּנְהוֹרָא דְּאַנְּפָשׁוֹת קָאָתֵי — רוֹצֵחַ הוּא, וְנִיתָּן לְהַצִּילוֹ בְּנַפְשׁוֹ. וְאִי מְסַפְּקָא לָךְ מִילְּתָא כְּלֵילְיָא — יְהִי בְּעֵינֶיךָ כְּגַנָּב, וְלֹא נִיתָּן לְהַצִּילוֹ בְּנַפְשׁוֹ.","From that states: “And in the night he is as a thief,” apparently or is day, There, this is is saying: If matter is as clear to you as light, that come a life, is a murderer; and may save himself by life And if the matter is as unclear to you as the night, he should be than a thief in your eyes one may not save himself by life","The matter of which it says, ""And at night he shall be as a thief"" - this means that ""light"" refers to daytime! There it is thus stated: If the matter is clear to you as the shining of the sun - he is a murderer, and it is permitted to save him at the cost of his own life. But if the matter is doubtful to you entirely - let him be in your eyes as a thief, and it is not permitted to save him at the cost of his own life.",13.2424,95.7746,0.6018,-0.2023,-0.6749,0.125,0.736,0.14,0.127,0.761,0.112
Pesachim,2b,2,"מֵיתִיבִי: ״יֶחְשְׁכוּ כּוֹכְבֵי נִשְׁפּוֹ יְקַו לְאוֹר וָאַיִן וְאַל יִרְאֶה בְּעַפְעַפֵּי שָׁחַר״, מִדְּקָאָמַר ״יְקַו לְאוֹר וָאַיִן״ אַלְמָא ״אוֹר״ יְמָמָא הוּא! הָתָם מֵילָט הוּא דְּקָא לָיֵיט לֵיהּ אִיּוֹב לְמַזָּלֵיהּ, אָמַר: יְהֵא רַעֲוָא דְּלִיצְפֵּיהּ הָךְ גַּבְרָא לִנְהוֹרָא, וְלָא לַישְׁכְּחֵיהּ.","raises an objection “Let the stars of the twilight be dark; let it look for or but have none; neither let it see the eyelids of the morning” From that states: “Let it look for or but have none,” apparently or is day. There, Job is cursing his fortune. He said: Let it be will that this man, will seek light and not find it.","Challenger: ""Let the stars of its twilight be dark; let it hope for light, but have none; and let it not see the eyelids of the morning."" From where is it derived that ""hope for light, but have none"" – this implies that ""light"" refers to daytime! There, it is a kind of curse that Job cursed his fate, saying: Let the evil one who seeks to darken the light not find it.",20.1002,69.2308,0.5671,0.0,-0.8192,0.0,1.0,0.0,0.137,0.78,0.083
