book_name,page_ref,line_index,hebrew_text,human_translation,llm_translation,bleu_score,ter_score,cosine_similarity_score,human_sentiment_compound,llm_sentiment_compound,human_sentiment_neg,human_sentiment_neu,human_sentiment_pos,llm_sentiment_neg,llm_sentiment_neu,llm_sentiment_pos
Rosh_Hashanah,2a,1,"אַרְבָּעָה רָאשֵׁי שָׁנִים הֵם, בְּאֶחָד בְּנִיסָן — רֹאשׁ הַשָּׁנָה לַמְּלָכִים וְלָרְגָלִים.","They are four New Year, On the first of Nisan is the New Year for kings; And for the Festivals,","Four heads of the year there are, on the first of Nisan — the head of the year for kings and for festivals.",13.048,65.0,0.7105,0.3612,0.3612,0.0,0.884,0.116,0.0,0.894,0.106
Rosh_Hashanah,2a,2,בְּאֶחָד בֶּאֱלוּל — רֹאשׁ הַשָּׁנָה לְמַעְשַׂר בְּהֵמָה. רַבִּי אֶלְעָזָר וְרַבִּי שִׁמְעוֹן אוֹמְרִים: בְּאֶחָד בְּתִשְׁרִי.,On the first of Elul is the New Year for animal tithes; Rabbi Elazar and Rabbi Shimon say: on the first of Tishrei.,On the first of Elul — the New Year for tithing animals. Rabbi Eliezer and Rabbi Shimon say: On the first of Tishrei.,50.3721,17.3913,0.7118,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Rosh_Hashanah,2a,3,"בְּאֶחָד בְּתִשְׁרִי — רֹאשׁ הַשָּׁנָה לַשָּׁנִים וְלַשְּׁמִיטִּין וְלַיּוֹבְלוֹת, לִנְטִיעָה וְלִירָקוֹת.","On the first of Tishrei is the New Year for years, for Sabbatical Years and Jubilee Years, for planting, and for vegetables,","On the first of Tishrei — Rosh Hashanah for years, for the release of debts, and for the Jubilee, for planting and for vegetables.",32.4846,54.5455,0.6887,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Rosh_Hashanah,2a,4,בְּאֶחָד בִּשְׁבָט — רֹאשׁ הַשָּׁנָה לָאִילָן כְּדִבְרֵי בֵּית שַׁמַּאי. בֵּית הִלֵּל אוֹמְרִים: בַּחֲמִשָּׁה עָשָׂר בּוֹ.,On the first of Shevat is the New Year for the tree; in accordance with the statement of Beit Shammai. Beit Hillel say: on the fifteenth of,On the first of Shevat — the New Year for trees according to the words of Beit Shammai. Beit Hillel says: On the fifteenth of it.,40.0293,33.3333,0.7875,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Rosh_Hashanah,2a,5,"גְּמָ׳ לַמְּלָכִים, לְמַאי הִלְכְתָא? אָמַר רַב חִסְדָּא: לִשְׁטָרוֹת.",for kings; with regard to what halakha Rav Ḥisda said: for documents.,"Gemara: For kings, for what purpose? Rav Ḥisda said: For their decrees.",17.026,66.6667,0.4686,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Rosh_Hashanah,2a,6,"דִּתְנַן: שִׁטְרֵי חוֹב הַמּוּקְדָּמִין — פְּסוּלִין, וְהַמְאוּחָרִין — כְּשֵׁרִין.","as we learned Antedated promissory notes, are invalid But postdated are valid,","We have learned in a Mishnah: promissory notes that are advanced are invalid, and those that are delayed are valid.",6.1296,133.3333,0.6024,0.1154,0.25,0.0,0.884,0.116,0.087,0.734,0.179
Rosh_Hashanah,2a,7,"תָּנוּ רַבָּנַן: מֶלֶךְ שֶׁעָמַד בְּעֶשְׂרִים וְתִשְׁעָה בַּאֲדָר, כֵּיוָן שֶׁהִגִּיעַ אֶחָד בְּנִיסָן — עָלְתָה לוֹ שָׁנָה. וְאִם לֹא עָמַד אֶלָּא בְּאֶחָד בְּנִיסָן — אֵין מוֹנִין לוֹ שָׁנָה עַד שֶׁיַּגִּיעַ נִיסָן אַחֵר.","The Sages taught a king ascended on the twenty-ninth of Adar, once the first of Nisan arrives, a year is counted toward his But if he ascended only on the first of Nisan, counts year toward his only the next Nisan arrives.","The Sages taught: A king who ascended the throne on the twenty-ninth of Adar, once the first of Nissan arrives - a year is counted for him. But if he ascended only on the first of Nissan - a year is not counted for him until another Nissan arrives.",40.9211,47.619,0.604,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Rosh_Hashanah,2a,8,"אָמַר מָר: מֶלֶךְ שֶׁעָמַד בְּעֶשְׂרִים וְתִשְׁעָה בַּאֲדָר, כֵּיוָן שֶׁהִגִּיעַ אֶחָד בְּנִיסָן — עָלְתָה לוֹ שָׁנָה. הָא","The Master said, a king ascended on the twenty-ninth of Adar, once the first of Nisan arrives a year is counted toward his This","Master said: A king who ascended on the twenty-ninth of Adar, once the first of Nissan arrives - a year is considered to him. Ha.",42.57,37.5,0.7035,0.0,0.34,0.0,1.0,0.0,0.0,0.897,0.103
Rosh_Hashanah,2b,1,"קָא מַשְׁמַע לַן דְּנִיסָן רֹאשׁ הַשָּׁנָה לִמְלָכִים, וְיוֹם אֶחָד בַּשָּׁנָה חָשׁוּב שָׁנָה. וְאִם לֹא עָמַד אֶלָּא בְּאֶחָד בְּנִיסָן, אֵין מוֹנִין לוֹ שָׁנָה עַד שֶׁיַּגִּיעַ נִיסָן אַחֵר. פְּשִׁיטָא!","teaches us that Nisan is the New Year for kings, and one day in a year is considered a year; But if he ascended only on the first of Nisan, a year is not counted toward his until the next Nisan arrives. obvious?","We hear that Nisan is the beginning of the year for kings, and one day in the year is considered a full year. And if he only ascended on the first of Nisan, they do not count a year for him until the next Nisan arrives. This is obvious!",39.3052,44.186,0.8178,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Rosh_Hashanah,2b,2,"לָא צְרִיכָא, דְּאִימְּנוֹ עֲלֵיהּ מֵאֲדָר. מַהוּ דְּתֵימָא, נִימְנוֹ לֵיהּ תַּרְתֵּין שְׁנִין, קָא מַשְׁמַע לַן.","No, necessary where appoint him in Adar. Lest you say should count the second year of his teaches us","Not necessary, for we have already established it from Adar. What might you say, that we have established it for him two years, this implies to us.",3.9017,131.5789,0.2183,-0.296,0.0,0.109,0.891,0.0,0.0,1.0,0.0
Rosh_Hashanah,2b,3,"תָּנוּ רַבָּנַן: מֵת בַּאֲדָר וְעָמַד אַחֵר תַּחְתָּיו בַּאֲדָר — מוֹנִין שָׁנָה לְזֶה וְלָזֶה. מֵת בְּנִיסָן וְעָמַד אַחֵר תַּחְתָּיו בְּנִיסָן — מוֹנִין שָׁנָה לְזֶה וְלָזֶה. מֵת בַּאֲדָר וְעָמַד אַחֵר תַּחְתָּיו בְּנִיסָן — מוֹנִין רִאשׁוֹנָה לָרִאשׁוֹן, וּשְׁנִיָּה לַשֵּׁנִי.","The Sages taught died in Adar and another succeeded him in Adar, one counts year to this one, and to that one, died in Nisan and another succeeded him in Nisan, one counts year to this one, and to that one, died in Adar and another succeeded him in Nisan, one counts the first year to the first and the second to the second","The sages taught: If one died in Adar and another arose in his place in Adar, we count a year for this one and for that one. If one died in Nissan and another arose in his place in Nissan, we count a year for this one and for that one. If one died in Adar and another arose in his place in Nissan, we count the first year for the first one, and the second year for the second one.",16.8323,67.1875,0.5466,-0.5267,-0.8957,0.14,0.751,0.109,0.124,0.876,0.0
