book_name,page_ref,line_index,hebrew_text,human_translation,llm_translation,bleu_score,ter_score,cosine_similarity_score,human_sentiment_compound,llm_sentiment_compound,human_sentiment_neg,human_sentiment_neu,human_sentiment_pos,llm_sentiment_neg,llm_sentiment_neu,llm_sentiment_pos
Sanhedrin,2a,1,"מַתְנִי׳ דִּינֵי מָמוֹנוֹת – בִּשְׁלֹשָׁה, גְּזֵילוֹת וַחֲבָלוֹת – בִּשְׁלֹשָׁה, נֶזֶק וַחֲצִי נֶזֶק, תַּשְׁלוּמֵי כֶפֶל וְתַשְׁלוּמֵי אַרְבָּעָה וַחֲמִשָּׁה – בִּשְׁלֹשָׁה.","monetary law by three robbery and injury by three damage half the damage, payment of double and payment of four or five by three","The Mishnah teaches: Laws of monetary matters - in three categories; thefts and damages - in three categories; damage and half-damage, double payment and four or fivefold payment - in three categories.",3.2415,95.8333,0.5488,-0.8481,-0.7184,0.305,0.695,0.0,0.184,0.783,0.033
Sanhedrin,2a,2,"הָאוֹנֵס וְהַמְפַתֶּה וְהַמּוֹצִיא שֵׁם רַע – בִּשְׁלֹשָׁה, דִּבְרֵי רַבִּי מֵאִיר.",one who rapes or one who seduces and a defamer by three the statement of Rabbi Meir.,"The one who is forced, the one who entices, and the one who defames - in three, the words of Rabbi Meir.",13.2323,76.4706,0.2884,-0.6705,-0.4588,0.231,0.769,0.0,0.13,0.87,0.0
Sanhedrin,2a,3,"וַחֲכָמִים אוֹמְרִים: מוֹצִיא שֵׁם רַע – בְּעֶשְׂרִים וּשְׁלֹשָׁה, מִפְּנֵי שֶׁיֵּשׁ בּוֹ דִּינֵי נְפָשׁוֹת.",And the Rabbis say: a defamer by twenty-three because includes capital law.,"The sages say: One who utters a derogatory name - at twenty-three, because it involves issues of life.",4.7802,125.0,0.1896,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Sanhedrin,2a,4,מַכּוֹת בִּשְׁלֹשָׁה. מִשּׁוּם רַבִּי יִשְׁמָעֵאל אָמְרוּ: בְּעֶשְׂרִים וּשְׁלֹשָׁה.,lashes by three stated in the name of Rabbi Yishmael: by twenty-three,Stripes in three. In the name of Rabbi Yishmael they said: in twenty and three.,22.6122,91.6667,0.6079,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Sanhedrin,2a,5,"עִיבּוּר הַחֹדֶשׁ – בִּשְׁלֹשָׁה. עִיבּוּר הַשָּׁנָה – בִּשְׁלֹשָׁה, דִּבְרֵי רַבִּי מֵאִיר. רַבָּן שִׁמְעוֹן בֶּן גַּמְלִיאֵל אוֹמֵר: בִּשְׁלֹשָׁה מַתְחִילִין, וּבַחֲמִשָּׁה נוֹשְׂאִין וְנוֹתְנִין, וְגוֹמְרִין בְּשִׁבְעָה. וְאִם גָּמְרוּ בִּשְׁלֹשָׁה – מְעוּבֶּרֶת.","intercalation of the month by three intercalation of the year, by three the statement of Rabbi Meir. Rabban Shimon ben Gamliel says: begin with three and they debate with five and they conclude with seven And if they concluded with three a leap","Interpretation of the New Moon - with three. Interpretation of the year - with three, the words of Rabbi Meir. Rabban Shimon ben Gamliel says: With three they begin, and with five they carry and exchange, and they finish with seven. And if they finished with three - it is a leap year.",25.3596,60.4651,0.6295,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Sanhedrin,2a,6,"סְמִיכַת זְקֵנִים וַעֲרִיפַת עֶגְלָה – בִּשְׁלֹשָׁה, דִּבְרֵי רַבִּי שִׁמְעוֹן. רַבִּי יְהוּדָה אוֹמֵר: בַּחֲמִשָּׁה. הַחֲלִיצָה וְהַמֵּיאוּנִין – בִּשְׁלֹשָׁה.","laying of hands by the Sages and the breaking of the heifer’s neck of three the statement of Rabbi Shimon. Rabbi Yehuda says: of five ḥalitza , and the refusal of three","The leaning of elders and the breaking of the calf - in three, the words of Rabbi Shimon. Rabbi Yehuda says: in five. The redemption and the appraisals - in three.",32.5533,56.25,0.4524,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Sanhedrin,2a,7,נֶטַע רְבָעִי וּמַעֲשֵׂר שֵׁנִי שֶׁאֵין דָּמָיו יְדוּעִין – בִּשְׁלֹשָׁה. הַהֶקְדֵּשׁוֹת – בִּשְׁלֹשָׁה. הָעֲרָכִין הַמִּטַּלְטְלִים – בִּשְׁלֹשָׁה. רַבִּי יְהוּדָה אוֹמֵר: אֶחָד מֵהֶן כֹּהֵן.,a fourth-year sapling or second-tithe where their value is not known by three consecrated by three the valuations that are movable property by three Rabbi Yehuda says: One of a priest.,Planted fourth and tithe second that its value unknown - in three. Consecrated items - in three. Appraisals that are being moved - in three. Rabbi Yehuda says: one of them is a priest.,10.8144,74.1935,0.4938,0.34,0.34,0.0,0.921,0.079,0.0,0.924,0.076
Sanhedrin,2a,8,וְהַקַּרְקָעוֹת – תִּשְׁעָה וְכֹהֵן. וְאָדָם – כַּיּוֹצֵא בָּהֶן.,"And the land nine and, priest. And a person a similar manner to",The floors - nine and a Kohen. And a person - like them.,20.3334,69.2308,0.3567,0.0,0.3612,0.0,1.0,0.0,0.0,0.762,0.238
Sanhedrin,2a,9,"דִּינֵי נְפָשׁוֹת – בְּעֶשְׂרִים וּשְׁלֹשָׁה. הָרוֹבֵעַ וְהַנִּרְבָּע – בְּעֶשְׂרִים וּשְׁלֹשָׁה, שֶׁנֶּאֱמַר: ״וְהָרַגְתָּ אֶת הָאִשָּׁה וְאֶת הַבְּהֵמָה״, וְאוֹמֵר: ״וְאֶת הַבְּהֵמָה תַּהֲרֹגוּ״.",capital law by twenty-three An animal that copulated with a person and an animal that was the object of bestiality by twenty-three as it is stated: you shall kill the woman and the animal” and it states: and you shall kill the animal”,"Laws of capital cases - at twenty-three. The one who causes miscarriage and the one who is gored - at twenty-three, as it is stated: ""And you shall kill the woman and the animal,"" and it also says: ""And you shall kill the animal.""",24.2989,62.7907,0.6178,-0.886,-0.886,0.19,0.81,0.0,0.19,0.81,0.0
Sanhedrin,2a,10,"שׁוֹר הַנִּסְקָל – בְּעֶשְׂרִים וּשְׁלֹשָׁה, שֶׁנֶּאֱמַר: ״הַשּׁוֹר יִסָּקֵל וְגַם בְּעָלָיו יוּמָת״. כְּמִיתַת בְּעָלִים כָּךְ מִיתַת הַשּׁוֹר. הַזְּאֵב וְהָאֲרִי, הַדּוֹב וְהַנָּמֵר וְהַבַּרְדְּלָס וְהַנָּחָשׁ – מִיתָתָן בְּעֶשְׂרִים וּשְׁלֹשָׁה. רַבִּי אֱלִיעֶזֶר אוֹמֵר: כׇּל הַקּוֹדֵם לְהוֹרְגָן זָכָה. רַבִּי עֲקִיבָא אוֹמֵר: מִיתָתָן בְּעֶשְׂרִים וּשְׁלֹשָׁה.","an ox that is stoned by twenty-three as it is stated: the ox shall be stoned and also its owner shall be put to death” just as the death of the owner, so is the death of the ox. a wolf or a lion, a bear or a leopard, or a cheetah, or a snake Their death by twenty-three Rabbi Eliezer says anyone who kills them first merits Rabbi Akiva says: Their death by twenty-three","The ox that is stoned - at twenty-three, as it is stated: ""The ox shall be stoned, and also its owner shall die."" Just as the death of the owners, so too the death of the ox. The wolf, the lion, the bear, the leopard, the bardelas, and the snake - their death is at twenty-three. Rabbi Eliezer says: Anyone who precedes to kill them is meritorious. Rabbi Akiva says: Their death is at twenty-three.",30.1541,49.3333,0.7703,-0.9545,-0.9595,0.225,0.743,0.032,0.225,0.741,0.034
