book_name,page_ref,line_index,hebrew_text,human_translation,llm_translation,bleu_score,ter_score,cosine_similarity_score,human_sentiment_compound,llm_sentiment_compound,human_sentiment_neg,human_sentiment_neu,human_sentiment_pos,llm_sentiment_neg,llm_sentiment_neu,llm_sentiment_pos
Shevuot,2a,1,מַתְנִי׳ שְׁבוּעוֹת – שְׁתַּיִם שֶׁהֵן אַרְבַּע.,oaths two that are four,"The Mishnah teaches: ""Shavuot - two that are four.""",19.3385,120.0,0.4498,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Shevuot,2a,2,יְדִיעוֹת הַטּוּמְאָה – שְׁתַּיִם שֶׁהֵן אַרְבַּע.,awareness of the defiling two that are four.,Knowledge of impurity - two that are four.,46.7138,37.5,0.4936,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Shevuot,2a,3,יְצִיאוֹת הַשַּׁבָּת – שְׁתַּיִם שֶׁהֵן אַרְבַּע.,"carrying out on Shabbat, two that are four.",Exits of the Sabbath - two that are four.,39.2815,62.5,0.2896,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Shevuot,2a,4,מַרְאוֹת נְגָעִים – שְׁנַיִם שֶׁהֵן אַרְבָּעָה.,shades of marks two that are four.,Sights of afflictions - two that are four.,46.7138,42.8571,0.331,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Shevuot,2a,5,אֶת שֶׁיֵּשׁ בָּהּ יְדִיעָה בַּתְּחִלָּה וִידִיעָה בַּסּוֹף וְהֶעְלֵם בֵּינָתַיִם – הֲרֵי זֶה בְּעוֹלֶה וְיוֹרֵד.,"in which had awareness, at the beginning, and awareness at the end, but a lapse of awareness in between, this to a sliding-scale","Talmudic text: ""et sheyesh bah yedi'ah bat'chilah viyedi'ah basof veha'elem beinataim – harei zeh be'oleh veyored."" English translation: ""that which has knowledge at the beginning and knowledge at the end and concealment in between – this is in ascent and descent.""",5.8609,152.1739,0.1921,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Shevuot,2a,6,"יֵשׁ בָּהּ יְדִיעָה בַּתְּחִלָּה וְאֵין בָּהּ יְדִיעָה בַּסּוֹף – שָׂעִיר הַנַּעֲשֶׂה בִּפְנִים וְיוֹם הַכִּפּוּרִים תּוֹלֶה, עַד שֶׁיִּוָּדַע לוֹ וְיָבִיא בְּעוֹלֶה וְיוֹרֵד.","in which had awareness at the beginning, and had no awareness at the end, goat whose performed inside and Yom Kippur suspend until he becomes aware and he brings a sliding-scale","There is in it knowledge at the beginning and there is no knowledge in the end - the goat that is designated for the inner altar and the Day of Atonement depends, until it is known to him and he brings it as a burnt offering and descends.",6.168,116.129,0.2775,-0.5423,-0.296,0.138,0.862,0.0,0.047,0.953,0.0
Shevuot,2a,7,"אֵין בָּהּ יְדִיעָה בַּתְּחִלָּה אֲבָל יֵשׁ בָּהּ יְדִיעָה בַּסּוֹף – שָׂעִיר הַנַּעֲשֶׂה בַּחוּץ וְיוֹם הַכִּפּוּרִים מְכַפֵּר. שֶׁנֶּאֱמַר: ״מִלְּבַד חַטַּאת הַכִּפּוּרִים״ – עַל מַה שֶּׁזֶּה מְכַפֵּר, זֶה מְכַפֵּר; מַה הַפְּנִימִי אֵין מְכַפֵּר אֶלָּא עַל דָּבָר שֶׁיֵּשׁ בָּהּ יְדִיעָה, אַף הַחִיצוֹן אֵין מְכַפֵּר אֶלָּא עַל דָּבָר שֶׁיֵּשׁ בָּהּ יְדִיעָה.","did not have awareness at the beginning but had awareness at the end, goat whose performed outside and Yom Kippur atone, as it is stated aside from the sin-offering of the atonements” for that which this atones, that atones. Just as the internal atones only for a case in which there was awareness so too, the external atones only for a case in which there was awareness","There is no knowledge in it at the beginning, but there is knowledge in it at the end - the goat that is done outside and Yom Kippur atones. As it is stated: ""Besides the sin offering of atonement"" - for what this atones, this atones; just as the inner altar atones only for something that has knowledge in it, so too the outer altar atones only for something that has knowledge in it.",10.8215,68.6567,0.5519,0.0,-0.7579,0.0,1.0,0.0,0.085,0.915,0.0
Shevuot,2a,8,"וְעַל שֶׁאֵין בָּהּ יְדִיעָה לֹא בַּתְּחִלָּה וְלֹא בַּסּוֹף – שְׂעִירֵי הָרְגָלִים וּשְׂעִירֵי רָאשֵׁי חֳדָשִׁים מְכַפְּרִין, דִּבְרֵי רַבִּי יְהוּדָה. רַבִּי שִׁמְעוֹן אוֹמֵר: שְׂעִירֵי הָרְגָלִים מְכַפְּרִין, אֲבָל לֹא שְׂעִירֵי רָאשֵׁי חֳדָשִׁים. וְעַל מַה שְּׂעִירֵי רָאשֵׁי חֳדָשִׁים מְכַפְּרִין?","And for which did not have awareness, neither at the beginning nor at the end, goats of the Festivals and goats of New Moons atone. the statement of Rabbi Yehuda. Rabbi Shimon says: goats of the Festivals atone but goats of New Moons not. But for what do goats of New Moons atone?","And on that which does not have knowledge neither at the beginning nor at the end - the goats of the festivals and the goats of the new moons atone, the words of Rabbi Yehuda. Rabbi Shimon says: the goats of the festivals atone, but not the goats of the new moons. And for what do the goats of the new moons atone?",30.4938,39.6226,0.9432,0.3612,0.3612,0.0,0.936,0.064,0.0,0.945,0.055
Shevuot,2b,1,עַל הַטָּהוֹר שֶׁאָכַל אֶת הַטָּמֵא.,for a ritually pure who partook of ritually impure,Regarding the pure one who ate the impure.,6.2747,88.8889,0.3597,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Shevuot,2b,2,"רַבִּי מֵאִיר אוֹמֵר: כָּל הַשְׂעִירִין כַּפָּרָתָן שָׁוָה, עַל טוּמְאַת מִקְדָּשׁ וְקָדָשָׁיו.","Rabbi Meir says: all the goats their atonement, is the same; for defiling of Temple or its sacrificial","Rabbi Meir says: all the he-goats their atonement is equal, for the impurity of the sanctuary and its holy things.",26.2431,55.5556,0.5239,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
