book_name,page_ref,line_index,hebrew_text,human_translation,llm_translation,bleu_score,ter_score,cosine_similarity_score,human_sentiment_compound,llm_sentiment_compound,human_sentiment_neg,human_sentiment_neu,human_sentiment_pos,llm_sentiment_neg,llm_sentiment_neu,llm_sentiment_pos
Sukkah,2a,1,סוּכָּה שֶׁהִיא גְּבוֹהָה לְמַעְלָה מֵעֶשְׂרִים אַמָּה — פְּסוּלָה. וְרַבִּי יְהוּדָה מַכְשִׁיר.,"A sukka , that is more than twenty cubits high is unfit. Rabbi Yehuda deems it fit.",A sukkah that is tall above twenty cubits - invalid. And Rabbi Yehuda permits.,7.7726,58.8235,0.3138,0.3612,0.0,0.0,0.848,0.152,0.0,1.0,0.0
Sukkah,2a,2,"וְשֶׁאֵינָהּ גְּבוֹהָה עֲשָׂרָה טְפָחִים, וְשֶׁאֵין לָהּ (שְׁלֹשָׁה) דְּפָנוֹת, וְשֶׁחֲמָתָהּ מְרוּבָּה מְצִלָּתָהּ — פְּסוּלָה.","that is not ten handbreadths high, and that does not have three walls, and whose sunlight is greater than its shade are unfit.","And that which its height is ten handbreadths, and that it does not have (three) walls, and that its sun is more than its shade - it is invalid.",13.2398,73.913,0.5962,0.3612,0.0,0.0,0.898,0.102,0.0,1.0,0.0
Sukkah,2a,3,גְּמָ׳ תְּנַן הָתָם: מָבוֹי שֶׁהוּא גָּבוֹהַּ מֵעֶשְׂרִים אַמָּה — יְמַעֵט. רַבִּי יְהוּדָה אוֹמֵר: אֵינוֹ צָרִיךְ.,"We learned there, an alleyway that is higher than twenty cubits, one diminish Rabbi Yehuda says he need not","Talmudic text: Gemara: Tanan, hatam: mavoi shehu gavoah me'esrim amah - yema'et. Rabbi Yehuda omer: einu tzarich. English translation: We learned in a Mishnah there: An alleyway that is higher than twenty cubits - one should decrease it. Rabbi Yehuda says: It is not necessary.",13.8178,168.4211,0.3751,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Sukkah,2a,4,"מַאי שְׁנָא גַּבֵּי סוּכָּה דְּתָנֵי פְּסוּלָה, וּמַאי שְׁנָא גַּבֵּי מָבוֹי דְּתָנֵי תַּקַּנְתָּא?","What is different with regard to a sukka where teaches unfit, and what is different with regard to an alleyway where teaches rectification,","What is the difference regarding a sukkah that it teaches is invalid, and what is the difference regarding an alleyway that it teaches is a remedy?",12.2318,78.2609,0.3058,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Sukkah,2a,5,"סוּכָּה דְּאוֹרָיְיתָא, תָּנֵי פְּסוּלָה. מָבוֹי דְּרַבָּנַן, תָּנֵי תַּקַּנְתָּא.","sukka , by Torah law, teaches unfit, an alleyway, by rabbinic law, teaches rectification,","Sukkah of the Torah, teaches invalid. Mavoy of the Rabbis, teaches enactment.",6.0635,85.7143,0.2478,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Sukkah,2a,6,"וְאִיבָּעֵית אֵימָא: בִּדְאוֹרָיְיתָא נָמֵי תָּנֵי תַּקַּנְתָּא, מִיהוּ סוּכָּה דִּנְפִישִׁי מִילָּתַהּ — פָּסֵיק וְתָנֵי פְּסוּלָה, מָבוֹי דְּלָא נְפִישׁ מִילֵּיהּ — תָּנֵי תַּקַּנְתָּא.","And if you wish, say even by Torah law, rectification. However, sukka , whose matters are numerous, it categorically teaches unfit. an alleyway, whose matters are not numerous, teaches rectification.","And if you wish, say: In matters of Torah law, it is preferable to teach a regulation, but regarding a sukkah whose essential element is missing - it is interrupted and teaches that it is invalid, a courtyard whose essential element is not missing - it teaches a regulation.",12.9189,123.3333,0.2494,0.4404,-0.7579,0.0,0.841,0.159,0.17,0.771,0.059
Sukkah,2a,7,מְנָא הָנֵי מִילֵּי?,"From where are these matters,",What are these words?,17.4917,60.0,0.4199,0.0258,0.0,0.0,0.784,0.216,0.0,1.0,0.0
Sukkah,2a,8,"אָמַר רַבָּה, דְּאָמַר קְרָא: ״לְמַעַן יֵדְעוּ דוֹרוֹתֵיכֶם כִּי בַסּוּכּוֹת הוֹשַׁבְתִּי אֶת בְּנֵי יִשְׂרָאֵל״, עַד עֶשְׂרִים אַמָּה, אָדָם יוֹדֵעַ שֶׁהוּא דָּר בַּסּוּכָּה, לְמַעְלָה מֵעֶשְׂרִים אַמָּה — אֵין אָדָם יוֹדֵעַ שֶׁדָּר בַּסּוּכָּה, מִשּׁוּם דְּלָא שָׁלְטָא בַּהּ עֵינָא.","Rabba said as the verse states: “So that your future generations will know that I caused the children of Israel to reside in sukkot up to twenty cubits a person is aware that he is residing in a sukka . more than twenty cubits high, a person is not aware that he is residing in a sukka because his eye does not catch sight","Rabba said, as the verse states: ""So that your generations may know that I made the children of Israel dwell in booths,"" up to twenty cubits, a person knows that he is dwelling in a sukkah; above twenty cubits - a person does not know that he is dwelling in a sukkah, because the eye does not have dominion over it.",22.4763,40.625,0.5169,0.0,0.1779,0.0,1.0,0.0,0.0,0.934,0.066
Sukkah,2a,9,"רַבִּי זֵירָא אָמַר מֵהָכָא: ״וְסוּכָּה תִּהְיֶה לְצֵל יוֹמָם מֵחוֹרֶב״, עַד עֶשְׂרִים אַמָּה אָדָם יוֹשֵׁב בְּצֵל סוּכָּה, לְמַעְלָה מֵעֶשְׂרִים אַמָּה — אֵין אָדָם יוֹשֵׁב בְּצֵל סוּכָּה אֶלָּא בְּצֵל דְּפָנוֹת.","Rabbi Zeira said from here: “And there shall be a sukka for shade in the daytime from the heat, up to twenty cubits a person is sitting in the shade of the sukka , more than twenty cubits high, a person is not sitting in the shade of the sukka but rather in the shade of the walls","Rabbi Zeira said from here: ""And a sukkah shall be for shade by day from the heat"" - up to twenty cubits a person sits in the shade of the sukkah, above twenty cubits - a person does not sit in the shade of the sukkah except in the shade of its walls.",35.8567,39.6552,0.7393,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Sukkah,2a,10,"אֲמַר לֵיהּ אַבָּיֵי: אֶלָּא מֵעַתָּה, הָעוֹשֶׂה סוּכָּתוֹ בְּעַשְׁתְּרוֹת קַרְנַיִם, הָכִי נָמֵי דְּלָא הָוֵי סוּכָּה?","Abaye said to him: But if so one who makes his sukka in Ashterot Karnayim, so too, is not a sukka ,","He said to him Abaye: Rather from now, one who makes his sukkah with two horns, is it not true that it is not a sukkah?",16.1551,81.8182,0.2852,0.0,-0.3252,0.0,1.0,0.0,0.089,0.911,0.0
