book_name,page_ref,line_index,hebrew_text,human_translation,llm_translation,bleu_score,ter_score,cosine_similarity_score,human_sentiment_compound,llm_sentiment_compound,human_sentiment_neg,human_sentiment_neu,human_sentiment_pos,llm_sentiment_neg,llm_sentiment_neu,llm_sentiment_pos
Tamid,25b,1,"מַתְנִי׳ בִּשְׁלֹשָׁה מְקוֹמוֹת הַכֹּהֲנִים שׁוֹמְרִים בְּבֵית הַמִּקְדָּשׁ: בֵּית אַבְטִינָס, בֵּית הַנִּיצוֹץ, בֵּית הַמּוֹקֵד. בְּבֵית אַבְטִינָס וּבְבֵית הַנִּיצוֹץ הָיוּ עֲלִיּוֹת, הָרוֹבִים שׁוֹמְרִים שָׁם.","The priests keep watch in three places in the Temple In the Chamber of Avtinas, and In the Chamber of the Spark, and in the Chamber of the Hearth, In the Chamber of Avtinas and in the Chamber of the Spark there were upper stories, the young keep watch there.","The Mishnah teaches: In three places the priests would keep watch in the Temple: Beit Avtinas, Beit Hanitzotz, Beit Hamoked. In Beit Avtinas and Beit Hanitzotz there were chambers, most of the priests would keep watch there.",10.8954,68.0,0.3609,0.4215,0.0,0.0,0.927,0.073,0.0,1.0,0.0
Tamid,25b,2,"בֵּית הַמּוֹקֵד כִּיפָּה, וּבַיִת הַגָּדוֹל הָיָה, מוּקָּף רוֹבְדִין שֶׁל אֶבֶן. זִקְנֵי בֵּית אָב יְשֵׁנִים שָׁם וּמַפְתְּחוֹת הָעֲזָרָה בְּיָדָם.","the Chamber of the Hearth, a cupola. And it was a large hall, surrounded rows of stone The elders of the patrilineal family sleep there, and the keys to the courtyard in their possession.","House of the hearth was like a dome, and the great house was surrounded by a row of stones. The elders of the father's house slept there, and the keys of the Temple courtyard were in their hands.",18.6357,58.8235,0.4019,0.0,0.765,0.0,1.0,0.0,0.0,0.837,0.163
Tamid,25b,3,"פִּרְחֵי כְהוּנָּה אִישׁ כִּסְתּוֹ בָּאָרֶץ. לֹא הָיוּ יְשֵׁנִים בְּבִגְדֵי קֹדֶשׁ, אֶלָּא הָיוּ פּוֹשְׁטִין וּמַנִּיחִין אוֹתָן תַּחַת רָאשֵׁיהֶם, וּמִתְכַּסִּין בִּכְסוּת עַצְמָן. אֵירַע קֶרִי לְאֶחָד מֵהֶן – יוֹצֵא וְהוֹלֵךְ לוֹ","young men of the priesthood, each his garment on the ground. they would not sleep in the sacred vestments; rather, they would remove And they place beneath their heads, and cover themselves with their own garments. a seminal emission befell one of he would leave and he would walk","Flowers of priesthood, a man his linen in the ground. They were not sleeping in holy garments, rather they would spread them out and place them under their heads, and cover themselves with their own garments. If one of them experienced a seminal emission - he goes out and walks away.",27.0409,59.1837,0.5125,-0.0516,0.0,0.025,0.975,0.0,0.0,1.0,0.0
Tamid,26a,1,בִּמְסִיבָּה הַהוֹלֶכֶת לוֹ תַּחַת הַבִּירָה. וְנֵרוֹת דּוֹלְקִין מִכָּאן וּמִכָּאן. עַד שֶׁהוּא מַגִּיעַ לְבֵית הַטְּבִילָה. וּמְדוּרָה הָיְתָה שָׁם. וּבֵית הַכִּסֵּא שֶׁל כָּבוֹד. זֶה הָיָה כְּבוֹדוֹ: מְצָאוֹ נָעוּל – יוֹדֵעַ שֶׁיֵּשׁ שָׁם אָדָם. פָּתוּחַ – בְּיָדוּעַ שֶׁאֵין שָׁם אָדָם.,"through the circuitous passage that extended beneath the Temple, And lamps burning on this and on that until he reached the Chamber of Immersion. And there was a fire there and a bathroom of honor, This was its honor: found closed, know that there was a person there, open, it was known that there was no person there,",In the gathering that was going beneath the palace. And the lamps were burning from here and from here. Until he reaches the bathhouse. And there was a fire there. And a throne of honor. This was his honor: if he found it locked - he knows that there is a person there. If it is open - he knows that there is no person there.,15.7572,63.7931,0.621,0.4939,0.4588,0.074,0.801,0.125,0.067,0.821,0.111
Tamid,26a,2,"יָרַד, וְטָבַל, עָלָה וְנִסְתַּפֵּג, וְנִתְחַמֵּם כְּנֶגֶד הַמְּדוּרָה. בָּא, וְיָשַׁב לוֹ אֵצֶל אֶחָיו הַכֹּהֲנִים, עַד שֶׁהָיוּ שְׁעָרִים נִפְתָּחִים, יוֹצֵא וְהוֹלֵךְ לוֹ.",descended and immersed ascended and dried himself and warmed himself opposite the fire. He came and sat with his brethren the priests until gates would be opened. leave and go on his,"He descended, and immersed, ascended and perspired, and warmed himself opposite the fire. He came, and sat with his fellow priests, until the gates were opened, he would go out and come back.",30.8844,53.125,0.7394,-0.128,-0.0772,0.104,0.836,0.061,0.068,0.873,0.059
Tamid,26a,3,"מִי שֶׁהוּא רוֹצֶה לִתְרוֹם אֶת הַמִּזְבֵּחַ, מַשְׁכִּים וְטוֹבֵל עַד שֶׁלֹּא יָבֹא הַמְמוּנֶּה. וְכִי בְּאֵיזֶה שָׁעָה בָּא הַמְמוּנֶּה? לֹא כׇּל הָעִתִּים שָׁווֹת, פְּעָמִים שֶׁהוּא בָּא מִקְּרוֹת הַגֶּבֶר, אוֹ סָמוּךְ לוֹ מִלְּפָנָיו אוֹ מֵאַחֲרָיו.","whoever wants to remove from the altar rises early and immerses before the appointed arrives, And at what time does the appointed arrive? The times are not all the same. times that he comes at the call of the rooster [ hagever ], or an adjacent before or after it.","One who wants to donate to the altar, he rises early and immerses until the appointed one does not come. And at what hour does the appointed one come? Not all times are equal, sometimes he comes from the outskirts of the city, or near him, either before or after him.",13.074,58.0,0.5635,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Tamid,26a,4,"הַמְמוּנֶּה בָּא, וְדָפַק עֲלֵיהֶן, וְהֵן פָּתְחוּ לוֹ, אָמַר לָהֶן: מִי שֶׁטָּבַל – יָבֹא וְיָפִיס, הֵפִיסוּ, מִי שֶׁזָּכָה – זָכָה בּוֹ.","The appointed arrived and he knocked to them And they opened for him, he said to them: Whoever immersed may come and participate in the lottery. They conducted the lottery, whoever won won","The trusted one came, and knocked on the door, and they opened for him, he said to them: ""Whoever has immersed - let him come and dry himself, they dried him, whoever has merited - has merited with him.""",22.9415,75.7576,0.4126,0.8126,0.7845,0.0,0.807,0.193,0.0,0.811,0.189
Tamid,26a,5,גְּמָ׳ מְנָא הָנֵי מִילֵּי? אָמַר אַבָּיֵי: אָמַר קְרָא ״וְהַחֹנִים לִפְנֵי הַמִּשְׁכָּן קֵדְמָה לִפְנֵי אֹהֶל מוֹעֵד מִזְרָחָה מֹשֶׁה וְאַהֲרֹן וּבָנָיו שֹׁמְרִים מִשְׁמֶרֶת הַמִּקְדָּשׁ לְמִשְׁמֶרֶת בְּנֵי יִשְׂרָאֵל״.,"From where are these matters Abaye said the verse states: “And those that were to camp before the Tabernacle eastward, before the Tent of Meeting toward the sunrise, were Moses and Aaron and his sons, keeping the watch of the Sanctuary, for the watch of the children of Israel,","Talmudic text: What are these words? Abaye said: The verse says, ""And those who camp before the Tabernacle eastward, before the Tent of Meeting toward the sunrise, Moses, Aaron, and his sons keeping the charge of the sanctuary for the charge of the children of Israel.""",40.0516,38.7755,0.762,0.0258,0.0,0.0,0.978,0.022,0.0,1.0,0.0
Tamid,26a,6,"אָמְרִי: אִין, שִׁימּוּר בְּעָלְמָא אַשְׁכְּחַן דְּבָעֵי, כֹּהֲנִים וּלְוִיִּם שִׁימּוּר. מִיהוּ מַתְנִיתִין קָתָנֵי: בִּשְׁלֹשָׁה מְקוֹמוֹת הַכֹּהֲנִים שׁוֹמְרִים בְּבֵית הַמִּקְדָּשׁ, וְהַלְוִיִּם בְּעֶשְׂרִים וְאֶחָד מָקוֹם, וְאִילּוּ קְרָא, כֹּהֲנִים וּלְוִיִּם בַּהֲדֵי הֲדָדֵי כְּתִיב!","say Yes, we have found that in general requires a watch priests and Levites watch, But the mishna teaches: The priests keep watch in three places in the Temple and the Levites in twenty-one places. whereas verse priests and Levites are written together,","They said: ""There is no watch in the world that requires more vigilance than that of the Kohanim and Leviim. However, the Mishnah teaches: In three places the Kohanim guard in the Temple, and the Leviim in twenty-one places. And regarding the verse, 'Kohanim and Leviim side by side,' it is written!""",8.1567,90.6977,0.3077,0.2144,-0.3595,0.0,0.957,0.043,0.047,0.953,0.0
Tamid,26a,7,"אָמְרִי, הָכִי קָאָמַר: ״וְהַחֹנִים לִפְנֵי הַמִּשְׁכָּן קֵדְמָה לִפְנֵי אֹהֶל מוֹעֵד מִזְרָחָה מֹשֶׁה וַהֲדַר אַהֲרֹן וּבָנָיו שֹׁמְרֵי מִשְׁמֶרֶת הַמִּקְדָּשׁ״. אַהֲרֹן – בְּחַד מָקוֹם, וּבָנָיו – בִּשְׁנֵי מְקוֹמוֹת.","say this is saying: “And those that were to camp before the Tabernacle eastward, before the Tent of Meeting toward the sunrise, were Moses,” And then “Aaron and his sons, keeping the watch of the Sanctuary.” Aaron in one place, and his sons in two places,","They said, thus he said: ""And those encamped before the Tabernacle eastward, before the Tent of Meeting toward the east, Moses and Aaron and his sons, guarding the duties of the sanctuary."" Aaron - in one place, and his sons - in two places.",39.5082,45.6522,0.7457,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
