book_name,page_ref,line_index,hebrew_text,human_translation,llm_translation,bleu_score,ter_score,cosine_similarity_score,human_sentiment_compound,llm_sentiment_compound,human_sentiment_neg,human_sentiment_neu,human_sentiment_pos,llm_sentiment_neg,llm_sentiment_neu,llm_sentiment_pos
Temurah,2a,1,"מַתְנִי׳ הַכֹּל מְמִירִין , אֶחָד אֲנָשִׁים וְאֶחָד נָשִׁים. לֹא שֶׁאָדָם רַשַּׁאי לְהָמִיר, אֶלָּא שֶׁאִם הֵמִיר — מוּמָר, וְסוֹפֵג אֶת הָאַרְבָּעִים.","Everyone substitutes both men and women. not that it is permitted for a person to effect substitution; rather, that if one substituted the substitution takes effect, And incurs the forty [ sofeg et ha’arba’im ]","The Mishnah teaches: ""One may exchange everything, both men and women. Not that a person is permitted to exchange, but if one exchanged - it is valid, and completes the forty.""",14.8963,71.4286,0.344,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Temurah,2a,2,"גְּמָ׳ הָא גוּפָא קַשְׁיָא: אָמְרַתְּ ״הַכֹּל מְמִירִין״ — לְכַתְּחִילָּה, וַהֲדַר תָּנֵי ״לֹא שֶׁאָדָם רַשַּׁאי לְהָמִיר אֶלָּא שֶׁאִם הֵמִיר מוּמָר״ — דִּיעֲבַד!","notes This itself difficult: You say everyone substitutes ab initio . And then you teach: not that it is permitted for a person to effect substitution; rather, that if one substituted the substitution takes effect, after the fact.","Talmudic text: ""Gemara: Ha ha gufa kashya: Amart 'hakol memirin' - lechatkhilah, vahadar tanei 'lo she'adam rashai lehamir ela she'im hemir mumar' - di'avad!"" English translation: ""The Gemara: This itself is difficult: You said 'one may exchange everything' - initially, and then it teaches 'only if one exchanged intentionally' - retroactively!""",3.5566,126.3158,0.0925,-0.3612,0.4374,0.067,0.933,0.0,0.048,0.848,0.104
Temurah,2a,3,"וְתִיסְבְּרָא ״הַכֹּל מְמִירִין״ — לְכַתְּחִילָּה? אַדְּקַשְׁיָא לָךְ מִמַּתְנִיתִין, תִּיקְשֵׁי לָךְ קְרָא! דִּכְתִיב ״לֹא יַחֲלִיפֶנּוּ וְלֹא יָמִיר אֹתוֹ״.","And can you understand Everyone substitutes, ab initio ? before the mishna poses a difficulty for you, the verse should pose a difficulty for you, as it is written: “He shall not alter it, nor substitute it”","""And it was thought, 'Do we say 'everyone is permitted' — initially? A question to you from the Mishnah, a question to you from the verse! For it is written, 'He shall not exchange it, nor shall he substitute it.'""",6.826,83.7838,0.301,-0.5859,0.0,0.13,0.87,0.0,0.0,1.0,0.0
Temurah,2a,4,"אֶלָּא אָמַר רַב יְהוּדָה: הָכִי קָתָנֵי — הַכֹּל מַתְפִּיסִין בִּתְמוּרָה, אֶחָד אֲנָשִׁים וְאֶחָד נָשִׁים, לֹא שֶׁאָדָם רַשַּׁאי לְהָמִיר, שֶׁאִם הֵמִיר — מוּמָר, וְסוֹפֵג אֶת הָאַרְבָּעִים.","Rather, Rav Yehuda says: This is teaching: Everyone can apply by substitution, both men and women. not that it is permitted for a person to effect substitution, as, if did effect substitution, substitution takes effect and he incurs the forty","Rather, Rav Yehudah said: Thus it was taught — all are eligible for substitution, whether men or women, not that a person is permitted to substitute, for if one does, it is considered a blemish, and he incurs the forty lashes.",14.8367,65.0,0.4523,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Temurah,2a,5,"הַכׇּל לְאֵיתוֹיֵי מַאי? לְאֵיתוֹיֵי יוֹרֵשׁ, וּדְלָא כְּרַבִּי יְהוּדָה.","What Everyone, to include? to include an inheritor, and not in accordance with Rabbi Yehuda.","All for the purpose of what? For the purpose of inheritance, but not according to Rabbi Yehuda.",8.8084,100.0,0.1279,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Temurah,2a,6,"דִּתְנַן: יוֹרֵשׁ סוֹמֵךְ, יוֹרֵשׁ מֵמִיר — דִּבְרֵי רַבִּי מֵאִיר. רַבִּי יְהוּדָה אוֹמֵר: יוֹרֵשׁ אֵינוֹ סוֹמֵךְ, וְיוֹרֵשׁ אֵינוֹ מֵמִיר.",As we learned An inheritor places hands an inheritor is able to substitute the statement of Rabbi Meir. Rabbi Yehuda says: An inheritor does not place hands and an inheritor does not substitute,"We have learned in a Mishnah: An heir who leans on a gift, an heir who transfers a gift — these are the words of Rabbi Meir. Rabbi Yehuda says: An heir does not lean on a gift, and an heir does not transfer a gift.",19.1718,87.8788,0.1717,0.0,0.891,0.0,1.0,0.0,0.0,0.756,0.244
Temurah,2a,7,"מַאי טַעְמָא דְּרַבִּי יְהוּדָה? — יָלֵיף תְּחִילַּת הֶקְדֵּשׁ מִסּוֹף הֶקְדֵּשׁ: מָה סוֹף הֶקְדֵּשׁ — יוֹרֵשׁ אֵינוֹ סוֹמֵךְ, אַף תְּחִילַּת הֶקְדֵּשׁ — יוֹרֵשׁ אֵינוֹ מֵמִיר.","What is the reasoning of Rabbi Yehuda? He derives the initial consecration from the end of the consecration, Just as the end of a consecrated an inheritor does not place hands so too, the initial consecration, an inheritor does not effect substitution","What is the reason for Rabbi Yehuda's opinion? — He derives the beginning of the sanctification from the end of the sanctification: Just as the end of the sanctification does not require leaning (support), so too the beginning of the sanctification does not require changing (support).",20.3278,59.5238,0.2801,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Temurah,2a,8,"וּסְמִיכָה גּוּפַהּ מְנָלַן? תְּלָת ״קׇרְבָּנוֹ״ כְּתִיבִי: חַד — ״קׇרְבָּנוֹ״ וְלֹא קׇרְבַּן גּוֹי, וְחַד — ״קׇרְבָּנוֹ״ וְלֹא קׇרְבַּן חֲבֵירוֹ, וְחַד — ״קׇרְבָּנוֹ״ וְלֹא קׇרְבַּן אָבִיו.","And from where do we placing hands itself? “his offering” is written three One his offering but not the offering of a gentile. And one his offering but not the offering of another, And one his offering but not the offering of his father,","Talmudic text: And where do we derive the principle of ""semikah"" itself? Three instances of ""korban"" are written: one - ""korban"" and not a non-Jewish offering, one - ""korban"" and not the offering of another, and one - ""korban"" and not the offering of his father. English translation:",18.6495,65.9091,0.3906,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Temurah,2a,9,"וּלְרַבִּי מֵאִיר דְּאָמַר יוֹרֵשׁ סוֹמֵךְ, וְהָכְתִיב ״קׇרְבָּנוֹ״! הַהוּא מִיבְּעֵי לֵיהּ לְרַבּוֹת כׇּל בַּעֲלֵי חוֹבְרִין לִסְמִיכָה.","But according to Rabbi Meir, who said an inheritor places hands isn’t “his offering” written He requires that to include all joint owners [ ba’alei ḥoverin ] in placing hands,","And for Rabbi Meir who said, ""An heir can rely,"" and it is written, ""his offering""! That one comes to include all joint debtors for reliance.",9.6726,83.3333,0.2999,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Temurah,2a,10,"וְרַבִּי יְהוּדָה, בַּעֲלֵי חוֹבְרִין לִסְמִיכָה לֵית לֵיהּ. מַאי טַעְמָא? דְּהָא לָא מְיַחַד קׇרְבָּן דִּידְהוּ. וְאִיבָּעֵית אֵימָא: לְעוֹלָם אִית לֵיהּ, וְקׇרְבַּן גּוֹי וְקׇרְבַּן חֲבֵירוֹ מֵחַד קְרָא נָפְקָא, דְּאִיַּיתַּר לֵיהּ חַד לְבַעֲלֵי חוֹבְרִין לִסְמִיכָה.","And Rabbi Yehuda, he does not accept joint owners placing hands. What is the reason that their offering is not specific And if you wish, say actually, he accepts and he derives the offering of a gentile and the offering of another from one verse, that one remains for him to joint owners in placing hands","Rabbi Yehuda, the authors of the Halachic Midrashim do not have the concept of leaning on the sacrifice. What is the reason? Because it does not unite their own sacrifice. And if you wish, I can say: Indeed, it does have the concept of leaning, and the sacrifice of a gentile and the sacrifice of his fellow Jew are derived from one verse, for one leaning is more appropriate for the authors of the Halachic Midrashim.",17.8213,98.2143,0.1667,0.4245,0.4019,0.037,0.879,0.084,0.0,0.964,0.036
