book_name,page_ref,line_index,hebrew_text,human_translation,llm_translation,bleu_score,ter_score,cosine_similarity_score,human_sentiment_compound,llm_sentiment_compound,human_sentiment_neg,human_sentiment_neu,human_sentiment_pos,llm_sentiment_neg,llm_sentiment_neu,llm_sentiment_pos
Yevamot,2a,1,חֲמֵשׁ עֶשְׂרֵה נָשִׁים פּוֹטְרוֹת צָרוֹתֵיהֶן וְצָרוֹת צָרוֹתֵיהֶן מִן הַחֲלִיצָה וּמִן הַיִּיבּוּם עַד סוֹף הָעוֹלָם.,"Fifteen women exempt their rival wives and the rival wives of their rival wives from ḥalitza and from levirate marriage forever,",Fifteen women exempt their co-wives and the co-wives of their co-wives from halitzah and from yibbum until the end of the world.,15.7868,66.6667,0.5217,0.1027,0.1027,0.0,0.935,0.065,0.0,0.938,0.062
Yevamot,2a,2,"וְאֵלּוּ הֵן: בִּתּוֹ, וּבַת בִּתּוֹ, וּבַת בְּנוֹ, בַּת אִשְׁתּוֹ,","And these are: The daughter And the daughter of daughter of or the daughter of his son, the daughter of wife.","And these are they: his daughter, and his granddaughter, and his great-granddaughter, the daughter of his wife,",21.3831,71.4286,0.4705,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Yevamot,2a,3,"וּבַת בְּנָהּ, וּבַת בִּתָּהּ, חֲמוֹתוֹ, וְאֵם חֲמוֹתוֹ, וְאֵם חָמִיו,","And the daughter of son or the daughter of daughter, or mother-in-law or his mother-in-law’s mother, or his father-in-law’s mother,","And daughter-in-law, and granddaughter, his mother-in-law, and mother-in-law of his mother-in-law, and mother of his father-in-law,",2.9361,80.0,0.7798,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Yevamot,2a,4,"אֲחוֹתוֹ מֵאִמּוֹ, וַאֲחוֹת אִמּוֹ, וַאֲחוֹת אִשְׁתּוֹ, וְאֵשֶׁת אָחִיו מֵאִמּוֹ,","maternal sister or sister of his mother, or his wife’s sister, Or the wife of his maternal brother,","His sister from his mother, and the sister of his mother, and the sister of his wife, and the wife of his brother from his mother,",22.1213,94.4444,0.6492,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Yevamot,2b,1,"וְאֵשֶׁת אָחִיו שֶׁלֹּא הָיָה בְּעוֹלָמוֹ, וְכַלָּתוֹ. הֲרֵי אֵלּוּ פּוֹטְרוֹת צָרוֹתֵיהֶן וְצָרוֹת צָרוֹתֵיהֶן מִן הַחֲלִיצָה וּמִן הַיִּיבּוּם עַד סוֹף הָעוֹלָם.","And wife of a brother with whom he did not coexist, And his daughter-in-law, These exempt their rival wives and the rival wives of their rival wives from ḥalitza and levirate marriage forever.","And the wife of his brother who was not in his world, and his daughter-in-law. These exempt their co-wives and the co-wives of their co-wives from halitzah and from levirate marriage until the end of the world.",7.5162,69.697,0.5269,0.1027,0.1027,0.0,0.957,0.043,0.0,0.963,0.037
Yevamot,2b,2,"וְכוּלָּן אִם מֵתוּ אוֹ מֵיאֲנוּ,",And all of these if they died or they refused,"And all of them, if they died or refused,",35.0844,30.0,0.8637,-0.7003,-0.7003,0.42,0.58,0.0,0.453,0.547,0.0
Yevamot,2b,3,אוֹ נִתְגָּרְשׁוּ אוֹ שֶׁנִּמְצְאוּ אַיְלוֹנִית — צָרוֹתֵיהֶן מוּתָּרוֹת.,"Or were divorced or were found to be a sexually underdeveloped woman [ aylonit ], their rival wives are permitted,",Or if they were divorced or if they were found to be Aylonit - their rival wives are permitted.,33.1939,55.0,0.7971,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Yevamot,2b,4,וְאִי אַתָּה יָכוֹל לוֹמַר בַּחֲמוֹתוֹ וּבְאֵם חֲמוֹתוֹ וּבְאֵם חָמִיו שֶׁנִּמְצְאוּ אַיְלוֹנִית אוֹ שֶׁמֵּיאֲנוּ.,"And you cannot say with regard to his mother-in-law and with regard to his mother-in-law’s mother and with regard to his father-in-law’s mother that they were found to be an aylonit , Nor Or refused,","And if you cannot say regarding his mother-in-law, and his father-in-law, and his mother-in-law's mother, that they were found to be Ilonit or Samaritan.",19.6129,57.1429,0.7016,0.2235,0.0,0.0,0.946,0.054,0.0,1.0,0.0
Yevamot,2b,5,"כֵּיצַד פּוֹטְרוֹת צָרוֹתֵיהֶן: הָיְתָה בִּתּוֹ אוֹ אַחַת מִכׇּל הָעֲרָיוֹת הָאֵלּוּ נְשׂוּאוֹת לְאָחִיו, וְלוֹ אִשָּׁה אַחֶרֶת, וָמֵת — כְּשֵׁם שֶׁבִּתּוֹ פְּטוּרָה, כָּךְ צָרָתָהּ פְּטוּרָה. הָלְכָה צָרַת בִּתּוֹ וְנִשֵּׂאת לְאָחִיו הַשֵּׁנִי, וְלוֹ אִשָּׁה אַחֶרֶת, וָמֵת — כְּשֵׁם שֶׁצָּרַת בִּתּוֹ פְּטוּרָה, כָּךְ צָרַת צָרָתָהּ פְּטוּרָה.","How do exempt their rival wives? his daughter or any one of those with whom relations are forbidden was married to his brother and had another wife, and died, just as his daughter is exempt so too her rival wife is exempt. his daughter’s rival wife went and married his second brother, and he had another wife, and he died just as his daughter’s rival wife is exempt, so too the rival wife of her rival wife is exempt.","How are their co-wives exempted? If his daughter or one of all these cities were married to his brother, and he has another wife, and he dies - just as his daughter is exempt, so too her co-wife is exempt. The halacha is that if his daughter's co-wife is married to his second brother, and he has another wife, and he dies - just as his daughter's co-wife is exempt, so too her co-wife is exempt.",31.7267,54.4304,0.6057,-0.7906,0.3818,0.114,0.807,0.08,0.0,0.926,0.074
Yevamot,2b,6,אֲפִילּוּ הֵן מֵאָה.,Even if they are one hundred,Even they are one hundred.,53.7285,33.3333,0.9642,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
