book_name,page_ref,line_index,hebrew_text,human_translation,llm_translation,bleu_score,ter_score,cosine_similarity_score,human_sentiment_compound,llm_sentiment_compound,human_sentiment_neg,human_sentiment_neu,human_sentiment_pos,llm_sentiment_neg,llm_sentiment_neu,llm_sentiment_pos
Yoma,2a,1,שִׁבְעַת יָמִים קוֹדֶם יוֹם הַכִּפּוּרִים מַפְרִישִׁין כֹּהֵן גָּדוֹל מִבֵּיתוֹ לְלִשְׁכַּת פַּרְהֶדְרִין. וּמַתְקִינִין לוֹ כֹּהֵן אַחֵר תַּחְתָּיו שֶׁמָּא יֶאֱרַע בּוֹ פְּסוּל.,"Seven days prior to Yom Kippur remove the High Priest, from his house to the Chamber of Parhedrin , And they would designate another priest in his stead lest a disqualification","Seven days before Yom Kippur, they would separate the High Priest from his house to the Chamber of Parhedrin. And they would appoint another priest in his place, lest he become disqualified.",36.0962,45.1613,0.6298,0.0,-0.4215,0.0,1.0,0.0,0.083,0.917,0.0
Yoma,2a,2,"רַבִּי יְהוּדָה אוֹמֵר: אַף אִשָּׁה אַחֶרֶת מַתְקִינִין לוֹ, שֶׁמָּא תָּמוּת אִשְׁתּוֹ, שֶׁנֶּאֱמַר: ״וְכִפֶּר בַּעֲדוֹ וּבְעַד בֵּיתוֹ״, ״בֵּיתוֹ״ — זוֹ אִשְׁתּוֹ. אָמְרוּ לוֹ: אִם כֵּן, אֵין לַדָּבָר סוֹף.","Rabbi Yehuda says: even designate another wife for him lest his wife die, as it is stated “And it will atone for him and for his house” His house, that is his wife. The Rabbis said If so, there is no end to the matter,","Rabbi Yehuda says: Even another woman they arrange for him, lest his wife die, as it is stated: ""And he shall make atonement for himself and for his household"" - ""his household"" - this is his wife. They said to him: If so, there is no end to the matter.",38.3171,51.1111,0.7093,-0.7402,-0.7402,0.129,0.849,0.022,0.121,0.858,0.021
Yoma,2a,3,"גְּמָ׳ תְּנַן הָתָם: שִׁבְעַת יָמִים קוֹדֶם שְׂרֵיפַת הַפָּרָה הָיוּ מַפְרִישִׁין כֹּהֵן הַשּׂוֹרֵף אֶת הַפָּרָה מִבֵּיתוֹ לַלִּשְׁכָּה שֶׁעַל פְּנֵי הַבִּירָה צָפוֹנָה מִזְרָחָה, וְלִשְׁכַּת בֵּית הָאֶבֶן הָיְתָה נִקְרֵאת. וְלָמָּה נִקְרָא שְׁמָהּ לִשְׁכַּת בֵּית הָאֶבֶן — שֶׁכׇּל מַעֲשֶׂיהָ בִּכְלֵי גְלָלִים, בִּכְלֵי אֲבָנִים, וּבִכְלֵי אֲדָמָה.","we learned there, Seven days prior to the burning of the heifer, would remove the priest who burns the heifer from his house to the chamber that was before the bira northeast was called the Chamber of the Stone House. And why was it called the Chamber of the Stone House? because all the actions in dung vessels, stone vessels, and earth vessels,","Talmudic text: We learned there: Seven days before the burning of the cow, the priest who burns the cow would separate from his house to the chamber that is on the north-eastern side of the Temple courtyard, and the chamber of the House of Stone was called. And why was it called by the name ""the chamber of the House of Stone""? Because all its utensils were of earthenware, of stone, and of clay. English translation:",23.6472,63.4921,0.6612,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Yoma,2a,4,"מַאי טַעְמָא? כֵּיוָן דִּטְבוּל יוֹם כָּשֵׁר בַּפָּרָה, דִּתְנַן: מְטַמְּאִין הָיוּ הַכֹּהֵן הַשּׂוֹרֵף אֶת הַפָּרָה וּמַטְבִּילִין אוֹתוֹ, לְהוֹצִיא מִלִּבָּן שֶׁל צַדּוּקִין, שֶׁהָיוּ אוֹמְרִים: בִּמְעוֹרְבֵי הַשֶּׁמֶשׁ הָיְתָה נַעֲשֵׂית.",What is the reason since immersed that day is fit heifer as we learned They would render the priest who burns the heifer ritually impure and immerse him to remove from the hearts of the Sadducees As would say: Only those for whom the sun set was performed.,"What is the reason? Since he immersed during the day, it is valid for the cow, as we learned in a Mishnah: The priests who burn the cow become impure and immerse themselves to remove the influence of the Sadducees, who used to say: ""It was done in the twilight of the sun.""",10.6772,66.6667,0.4342,0.3612,0.0,0.0,0.949,0.051,0.0,1.0,0.0
Yoma,2a,5,"תַּקִּינוּ לַהּ רַבָּנַן: כְּלֵי גְלָלִים, כְּלֵי אֲבָנִים, וּכְלֵי אֲדָמָה — דְּלָא לִיקַבְּלוּ טוּמְאָה, כִּי הֵיכִי דְּלָא לִיזַלְזְלוּ בַּהּ.","the Sages instituted dung vessels, stone vessels, and earth vessels, which do not become ritually impure, lest people to treat with contempt","The sages instituted for her: vessels of dung, vessels of stones, and vessels of earth - so that they should not become susceptible to impurity, in order that they should not degrade through them.",3.5821,122.7273,0.5683,-0.2732,0.3412,0.143,0.755,0.102,0.0,0.93,0.07
Yoma,2a,6,"מַאי שְׁנָא צָפוֹנָה מִזְרָחָה? כֵּיוָן דְּחַטָּאת הִיא, וְחַטָּאת טְעוּנָה צָפוֹנָה. וּכְתִיב בָּהּ: ״אֶל נֹכַח פְּנֵי אֹהֶל מוֹעֵד״ — תַּקִּינוּ לַהּ רַבָּנַן לִשְׁכָּה צָפוֹנָה מִזְרָחָה, כִּי הֵיכִי דְּלֶהֱוֵי לַהּ הֶיכֵּירָא.","What is different about northeast since it is a sin-offering, a sin-offering north and it is written with regard to before the opening of the Tent of Meeting” the established a chamber in the northeast that will have a distinctive indicator;","What is different about the northern side from the eastern side? Since it is a sin offering, and a sin offering requires the northern side. And it is written about it: ""In front of the tent of meeting"" — the Sages established for it a chamber on the northern side of the eastern side, so that it would be recognizable to it.",7.9158,95.122,0.3321,0.0,-0.802,0.0,1.0,0.0,0.114,0.886,0.0
Yoma,2a,7,"מַאי ״בִּירָה״? אָמַר רַבָּה בַּר בַּר חָנָה אָמַר רַבִּי יוֹחָנָן: מָקוֹם הָיָה בְּהַר הַבַּיִת וּ״בִירָה״ שְׁמוֹ. וְרֵישׁ לָקִישׁ אָמַר: כׇּל הַמִּקְדָּשׁ כּוּלּוֹ קָרוּי ״בִּירָה״, שֶׁנֶּאֱמַר: ״הַבִּירָה אֲשֶׁר הֲכִינוֹתִי״.","What is bira Rabba bar bar Ḥana said Rabbi Yoḥanan said: There was a place on the Temple Mount and its name is bira , And Reish Lakish said: The entire Temple is called bira , as it is stated the bira for which I have made provision”","What is ""Bira""? Rabba bar bar Ḥana said in the name of Rabbi Yoḥanan: It was a place on the Temple Mount, and its name was ""Bira."" And Reish Lakish said: The entire Temple is called ""Bira,"" as it is stated: ""The Bira that I have prepared.""",37.4131,41.6667,0.9358,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Yoma,2a,8,"מְנָא הָנֵי מִילֵּי? אָמַר רַב מִנְיוֹמֵי בַּר חִלְקִיָּה אָמַר רַבִּי מַחְסֵיָא בַּר אִידִי אָמַר רַבִּי יוֹחָנָן, אָמַר קְרָא: ״כַּאֲשֶׁר עָשָׂה בַּיּוֹם הַזֶּה צִוָּה ה׳ לַעֲשׂוֹת לְכַפֵּר עֲלֵיכֶם״. ״לַעֲשׂוֹת״ — אֵלּוּ מַעֲשֵׂי פָרָה, ״לְכַפֵּר״ — אֵלּוּ מַעֲשֵׂי יוֹם הַכִּפּוּרִים.","From where are these matters Rav Minyomi bar Ḥilkiya said Rabbi Maḥseya bar Idi said Rabbi Yoḥanan said as the verse states: “As has been done this day, so the Lord has commanded to do, to make atonement for you” “To do”; these are the actions the heifer “to make atonement”; these are the actions Yom Kippur,","Talmudic text: ""What are these words?"" Rav said: From the teachings of Bar Chilkiyah. Rabbi Machseya bar Idi said: Rabbi Yochanan said, the verse says: 'As He has done on this day, the Lord has commanded to do to make atonement for you.' 'To do' - these are the actions of the heifer, 'to make atonement' - these are the actions of Yom Kippur.""",20.9674,59.6491,0.7721,0.0258,0.0,0.0,0.981,0.019,0.0,1.0,0.0
Yoma,2a,9,"בִּשְׁלָמָא, כּוּלֵּיהּ קְרָא בְּפָרָה לֹא מִתּוֹקַם — ״לְכַפֵּר״ כְּתִיב, וּפָרָה לָאו בַּת כַּפָּרָה הִיא. אֶלָּא, אֵימָא כּוּלֵּיהּ קְרָא בְּיוֹם הַכִּפּוּרִים כְּתִיב!","Granted, the entire verse is not established as referring to heifer, “To atone,” is written, and the heifer is not capable of atonement; Rather, say the entire verse is written with regard to Yom Kippur,","In truth, the entire verse regarding the cow is not established - ""for atonement"" is written, and a cow is not like atonement. Rather, say the entire verse is established on Yom Kippur!",29.701,54.2857,0.5468,-0.0475,0.1235,0.059,0.887,0.054,0.063,0.86,0.077
Yoma,2a,10,"אָמְרִי: יָלֵיף ״צִוָּה״ ״צִוָּה״. כְּתִיב הָכָא: ״צִוָּה ה׳ לַעֲשׂוֹת״, וּכְתִיב הָתָם: ״זֹאת חֻקַּת הַתּוֹרָה אֲשֶׁר צִוָּה ה׳ לֵאמֹר״. מָה לְהַלָּן פָּרָה, אַף כָּאן פָּרָה. וּמָה כָּאן פְּרִישָׁה, אַף לְהַלָּן פְּרִישָׁה.","say Derive commanded commanded. It is stated here, “The Lord commanded to do,” and it is stated there, “This is the statute of the Torah that the Lord commanded, saying” Just as there to the heifer, so too here, to the heifer. And just as here, sequestering so too there, sequestering","They said: ""Derive 'commanded' from 'commanded.' It is written here: 'The Lord commanded to do,' and it is written there: 'This is the statute of the Torah that the Lord commanded, saying.' Just as there it is a cow, so too here it is a cow. And just as here it is separation, so too there it is separation.",32.2435,60.7843,0.7614,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
