book_name,page_ref,line_index,hebrew_text,human_translation,llm_translation,bleu_score,ter_score,cosine_similarity_score,human_sentiment_compound,llm_sentiment_compound,human_sentiment_neg,human_sentiment_neu,human_sentiment_pos,llm_sentiment_neg,llm_sentiment_neu,llm_sentiment_pos
Zevachim,2a,1,מתני׳ כל הזבחים שנזבחו שלא לשמן כשרים אלא שלא עלו לבעלים לשם חובה חוץ מן הפסח והחטאת הפסח בזמנו והחטאת בכל זמן,"All slaughtered offerings that were slaughtered not for their own sake, are fit, But did not satisfy the obligation of the owner, except for the Paschal offering and the sin offering. The Paschal offering at its time, the sin offering any time","Mishnah: All sacrifices that were slaughtered not for their sake are valid, except that they did not fulfill the obligation for the owners, except for the Passover offering and the sin offering. The Passover offering must be slaughtered at its designated time, and the sin offering can be slaughtered at any time.",29.2556,54.7619,0.6617,-0.9227,-0.8627,0.247,0.72,0.033,0.164,0.836,0.0
Zevachim,2a,2,רבי אליעזר אומר אף האשם הפסח בזמנו והחטאת והאשם בכל זמן אמר רבי אליעזר החטאת באה על חטא והאשם בא על חטא מה חטאת פסולה שלא לשמה אף האשם פסול שלא לשמו,"Rabbi Eliezer says: The guilt offering too The Paschal offering at its time, the sin offering and the guilt offering at all times. Rabbi Eliezer said The sin offering is brought for a transgression and the guilt offering is brought for a transgression. Just as a sin offering is unfit not for its sake, so too, the guilt offering is unfit not for its sake.","Rabbi Eliezer says: Even the guilt-offering of the Passover sacrifice in its time, and the sin-offering and the guilt-offering at any time. Rabbi Eliezer said: The sin-offering comes for a sin, and the guilt-offering comes for a sin. Just as a sin-offering is invalid if not for its sake, so too a guilt-offering is invalid if not for its sake.",28.3779,53.8462,0.7602,-0.9531,-0.802,0.259,0.741,0.0,0.118,0.882,0.0
Zevachim,2a,3,יוסי בן חוני אומר הנשחטין לשם פסח ולשם חטאת פסולין,Yosei ben Ḥoni says: that are slaughtered for the sake of a Paschal offering and for the sake of a sin offering are unfit.,Yosei ben Ḥoni says: Those slaughtered for the sake of the Passover offering and for the sake of a sin offering are invalid.,62.6758,20.8333,0.8201,-0.5574,-0.5574,0.146,0.854,0.0,0.146,0.854,0.0
Zevachim,2a,4,שמעון אחי עזריה אומר שחטן לשם גבוה מהן כשרין לשם נמוך מהן פסולין,"Shimon, brother of Azarya, says one slaughtered them for the sake of greater than theirs, they are fit; for the sake of less than theirs, they are unfit.","Shimon, the brother of Azaria, says: ""If one slaughters for the sake of a higher altar, they are valid; for the sake of a lower altar, they are invalid.""",24.8559,50.0,0.3905,0.6124,-0.296,0.0,0.839,0.161,0.078,0.922,0.0
Zevachim,2a,5,כיצד קדשי קדשים ששחטן לשם קדשים קלים פסולין קדשים קלים ששחטן לשם קדשי קדשים כשרין הבכור והמעשר ששחטן לשם שלמים כשרין שלמים ששחטן לשם בכור ולשם מעשר פסולין:,"How so? Offerings of the most sacred order, that one slaughtered for the sake of offerings of lesser sanctity, are unfit. Offerings of lesser sanctity that one slaughtered for the sake of offerings of the most sacred order are fit. The firstborn and the tithe that one slaughtered for the sake of a peace offering are fit, Peace offerings that one slaughtered for the sake of a firstborn or for the sake of tithe are unfit.",How are the most holy sacrifices that were slaughtered for the sake of lesser holy sacrifices? They are invalid. Lesser holy sacrifices that were slaughtered for the sake of the most holy sacrifices are valid. The firstborn and the tithe that were slaughtered for the sake of peace offerings are valid. Peace offerings that were slaughtered for the sake of firstborn or for the sake of tithe are invalid.,36.5685,36.8421,0.6809,0.9001,0.7906,0.0,0.854,0.146,0.0,0.905,0.095
Zevachim,2a,6,גמ׳ למה לי למיתנא אלא שלא עלו ליתני ולא עלו לבעלים לשם חובה,Why do I to teach But they did not [ ella shelo ] satisfy Let it teach And they did not [ velo ] satisfy the obligation of the owner.,"Gemara: Why do I need to teach it? Rather, to teach that they did not ascend to the Yatni and did not ascend to the owners for the purpose of obligation.",9.4918,66.6667,0.3706,-0.7536,0.0,0.219,0.781,0.0,0.0,1.0,0.0
Zevachim,2a,7,"הא קמ""ל לבעלים הוא דלא עלו לשם חובה אבל בקדושתייהו קיימי ואסור לשנויי בהו","this teaches us is that they did not satisfy the obligation of the owner, but they retain their sanctity, and it is prohibited to deviate of their","This teaches that it is not the owners who ascend there for the obligation, but rather, they are established in their sanctity, and it is forbidden to change them.",19.5274,66.6667,0.3772,-0.1877,-0.5719,0.063,0.937,0.0,0.117,0.883,0.0
Zevachim,2a,8,וכדרבא דאמר רבא עולה ששחטה שלא לשמה אסור לזרוק דמה שלא לשמה,"And in accordance with of Rava, as Rava says: a burnt offering that one slaughtered not for its sake, prohibited to sprinkle its blood not for its sake.","And like Rava said, Rava said: An offering that was slaughtered not for its sake, it is forbidden to sprinkle its blood not for its sake.",43.4093,46.4286,0.7711,0.0,-0.0772,0.0,1.0,0.0,0.096,0.819,0.085
Zevachim,2a,9,איבעית אימא סברא איבעית אימא קרא איבעית אימא סברא משום דשני בה כל הני לישני בה וליזיל,"If you wish, propose a logical argument if you wish, cite a verse If you wish, propose a logical argument: because deviated in its he should continue to deviate in all","If you wish, say it is a logical argument; if you wish, say it is a scriptural verse; if you wish, say it is a logical argument, because he repeated it and went away.",19.5191,70.9677,0.6113,0.4767,0.4767,0.139,0.637,0.224,0.128,0.665,0.207
Zevachim,2a,10,"איבעית אימא קרא (דברים כג, כד) מוצא שפתיך תשמור ועשית כאשר נדרת לה' אלהיך נדבה וגו' האי נדבה","if you wish, cite a verse: “That which has gone out of your lips you shall observe and do; according to what you have vowed [ nadarta ] freely [ nedava ] to the Lord your God, this a gift nedava","If you wish, say: A verse is raised (Deuteronomy 23:24), ""You shall keep and perform what emerges from your lips, just as you vowed voluntarily to the Lord your God, whatever you spoke.""",15.8905,70.7317,0.3998,0.8772,0.5859,0.0,0.737,0.263,0.0,0.862,0.138
